What has hands but cannot clap?,A clock,A glove,A person,A statue,A) A clock,A clock has hands (the hour and minute hands) but obviously cannot clap.,Puzzles,Riddles
"Find the next number in the series: 10, 13, 16, 19, 22, ?",23,25,26,28,B) 25,"Each term increases by 3, so the next number is 22 + 3 = 25.",Puzzles,Sequence Puzzles
"Find the next number in the series: 10, 17, 24, 31, 38, ?",45,47,43,48,A) 45,"Each term increases by 7, so the next number is 38 + 7 = 45.",Puzzles,Sequence Puzzles
"A person walks 15 km east, then 11 km further east. How far is he from the starting point?",26 km,15 km,11 km,4 km,A) 26 km,Walking in the same direction adds the distances: 15 + 11 = 26 km from the start.,Puzzles,Direction Puzzles
"A person walks 8 km east, then 6 km further east. How far is he from the starting point?",6 km,8 km,2 km,14 km,D) 14 km,Walking in the same direction adds the distances: 8 + 6 = 14 km from the start.,Puzzles,Direction Puzzles
"A man has 3 daughters, and each daughter has one brother. How many children does the man have?",6,3,7,4,D) 4,"Each daughter shares the same one brother, so the man has 3 daughters plus 1 son, totaling 4 children.",Puzzles,Logic Puzzles
"A person walks 9 km east, then 9 km further east. How far is he from the starting point?",9 km,9 km,18 km,0 km,C) 18 km,Walking in the same direction adds the distances: 9 + 9 = 18 km from the start.,Puzzles,Direction Puzzles
"Find the next number in the series: 6, 13, 20, 27, 34, ?",35,45,34,41,D) 41,"Each term increases by 7, so the next number is 34 + 7 = 41.",Puzzles,Sequence Puzzles
"Find the next number in the series: 6, 16, 26, 36, 46, ?",57,54,56,49,C) 56,"Each term increases by 10, so the next number is 46 + 10 = 56.",Puzzles,Sequence Puzzles
"A person walks 2 km east, then 12 km further east. How far is he from the starting point?",10 km,2 km,12 km,14 km,D) 14 km,Walking in the same direction adds the distances: 2 + 12 = 14 km from the start.,Puzzles,Direction Puzzles
"Find the missing number in the pattern: 121, 144, 169, ?",190,196,180,200,B) 196,"These are consecutive perfect squares: 11²=121, 12²=144, 13²=169, so 14²=196 comes next.",Puzzles,Number Puzzles
What travels around the world but stays in one corner?,A coin,A map,A stamp,A letter,C) A stamp,"A postage stamp travels around the world on letters and packages, yet stays fixed in the corner of the envelope.",Puzzles,Riddles
"A person walks 4 km east, then 6 km further east. How far is he from the starting point?",4 km,10 km,6 km,2 km,B) 10 km,Walking in the same direction adds the distances: 4 + 6 = 10 km from the start.,Puzzles,Direction Puzzles
"A person walks 7 km east, then 3 km further east. How far is he from the starting point?",7 km,3 km,4 km,10 km,D) 10 km,Walking in the same direction adds the distances: 7 + 3 = 10 km from the start.,Puzzles,Direction Puzzles
"Find the next number in the series: 14, 19, 24, 29, 34, ?",44,40,39,35,C) 39,"Each term increases by 5, so the next number is 34 + 5 = 39.",Puzzles,Sequence Puzzles
"A person walks 5 km north, then 5 km south. How far is he from the starting point?",5 km,0 km,2.5 km,10 km,B) 0 km,Walking 5 km north and then 5 km south returns the person exactly to the starting point.,Puzzles,Direction Puzzles
"Find the next number in the series: 18, 30, 42, 54, 66, ?",66,78,87,75,B) 78,"Each term increases by 12, so the next number is 66 + 12 = 78.",Puzzles,Sequence Puzzles
"Find the next number in the series: 13, 24, 35, 46, 57, ?",62,74,68,67,C) 68,"Each term increases by 11, so the next number is 57 + 11 = 68.",Puzzles,Sequence Puzzles
"Find the next number in the series: 9, 19, 29, 39, 49, ?",69,59,63,50,B) 59,"Each term increases by 10, so the next number is 49 + 10 = 59.",Puzzles,Sequence Puzzles
"Find the next number in the series: 6, 12, 18, 24, 30, ?",34,33,40,36,D) 36,"Each term increases by 6, so the next number is 30 + 6 = 36.",Puzzles,Sequence Puzzles
"What comes once in a minute, twice in a moment, but never in a thousand years?",The letter N,The letter T,The letter M,The letter E,C) The letter M,"The letter 'M' appears once in 'minute', twice in 'moment', but not at all in 'thousand years'.",Puzzles,Word Puzzles
"If you overtake the person in second place in a race, what position are you in?",Second,First,Third,Fourth,A) Second,"Overtaking the person in second place means you take their position, making you second.",Puzzles,Logic Puzzles
"A person walks 7 km east, then 2 km further east. How far is he from the starting point?",2 km,5 km,7 km,9 km,D) 9 km,Walking in the same direction adds the distances: 7 + 2 = 9 km from the start.,Puzzles,Direction Puzzles
"A person walks 10 km east, then 5 km further east. How far is he from the starting point?",5 km,5 km,10 km,15 km,D) 15 km,Walking in the same direction adds the distances: 10 + 5 = 15 km from the start.,Puzzles,Direction Puzzles
"Find the next number in the series: 11, 15, 19, 23, 27, ?",27,33,29,31,D) 31,"Each term increases by 4, so the next number is 27 + 4 = 31.",Puzzles,Sequence Puzzles
"Find the odd one out: Apple, Mango, Carrot, Banana.",Banana,Carrot,Mango,Apple,B) Carrot,"Apple, Mango, and Banana are fruits, while Carrot is a vegetable, making it the odd one out.",Puzzles,Odd One Out
"A person walks 10 km east, then 14 km further east. How far is he from the starting point?",24 km,14 km,4 km,10 km,A) 24 km,Walking in the same direction adds the distances: 10 + 14 = 24 km from the start.,Puzzles,Direction Puzzles
"A person walks 6 km east, then 11 km further east. How far is he from the starting point?",17 km,6 km,5 km,11 km,A) 17 km,Walking in the same direction adds the distances: 6 + 11 = 17 km from the start.,Puzzles,Direction Puzzles
Which weighs more: 1 kg of iron or 1 kg of cotton?,Iron is heavier,They weigh the same,Cotton is heavier,Cannot be determined,B) They weigh the same,"Both weigh exactly 1 kg; weight is the same regardless of the material, though cotton takes up more volume.",Puzzles,Logic Puzzles
"Find the next number in the series: 18, 26, 34, 42, 50, ?",54,58,60,56,B) 58,"Each term increases by 8, so the next number is 50 + 8 = 58.",Puzzles,Sequence Puzzles
"Find the next number in the series: 17, 22, 27, 32, 37, ?",44,39,38,42,D) 42,"Each term increases by 5, so the next number is 37 + 5 = 42.",Puzzles,Sequence Puzzles
"Two coins add up to 30 cents, and one is not a nickel. What are the two coins?",Three dimes,Two dimes and a nickel,A quarter and a nickel,A nickel and a dime,C) A quarter and a nickel,"One coin is a quarter (25 cents) and the other is a nickel (5 cents); the quarter, not the nickel, is 'not a nickel'.",Puzzles,Brain Teasers
"A person walks 7 km east, then 4 km further east. How far is he from the starting point?",7 km,3 km,11 km,4 km,C) 11 km,Walking in the same direction adds the distances: 7 + 4 = 11 km from the start.,Puzzles,Direction Puzzles
"A bus has 10 passengers. At the next stop, 3 get off and 5 get on. How many passengers are there now?",8,15,12,10,C) 12,"Starting with 10, subtract 3 who got off (7) and add 5 who got on, giving 12 passengers.",Puzzles,Logic Puzzles
"Find the next number in the series: 6, 8, 10, 12, 14, ?",15,16,14,17,B) 16,"Each term increases by 2, so the next number is 14 + 2 = 16.",Puzzles,Sequence Puzzles
Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
"Question: brain teaser: a room has 4 corners, one cat sits in each corner, how many cats total?",A window,House,Thermometer,4,D) 4,"There are 4 corners, and one cat sits in each, so there are 4 cats total.",Puzzles,Brain Teasers
Is 1079 a prime number?,Cannot be determined,No,Yes,Only if even,B) No,"1079 has at least one other divisor, so it is not prime.",Puzzles,Number Puzzles
"Find the next number in the series: 161, 100, 161, 100, 161, ?",100,98,105,104,A) 100,"The series alternates between 161 and 100. Since the last number is 161, the next number = 100.",Puzzles,Pattern Puzzles
"A person walks 4 km east, then 15 km further east. How far is he from the starting point?",15 km,11 km,19 km,4 km,C) 19 km,Walking in the same direction adds the distances: 4 + 15 = 19 km.,Puzzles,Direction Puzzles
"Find the next number in the series: 25, 213, 25, 213, 25, ?",214,208,213,216,C) 213,"The series alternates between 25 and 213. Since the last number is 25, the next number = 213.",Puzzles,Pattern Puzzles
"A person walks 17 km north, then 20 km south. How far is he from the starting point?",20 km,3 km,37 km,17 km,B) 3 km,"Walking in opposite directions, the net distance is |17 - 20| = 3 km from the start.",Puzzles,Direction Puzzles
"A bus has 7 passengers. At the next stop, 1 get off and 18 get on. How many passengers are there now?",24,21,23,22,A) 24,"Starting with 7, subtract 1 who got off (6) and add 18 who got on, giving 24.",Puzzles,Logic Puzzles
"Find the missing number in the series: 27, ?, 47, 57, 67.",34,33,37,38,C) 37,"The series increases by 10 each time, so the missing number = 27 + 10 = 37.",Puzzles,Number Puzzles
"Consider the following puzzle: brain teaser: a farmer has 10 sheep, all but 3 run away, how many remain?",A bottle,3,The letter M,The last child took the basket too,B) 3,"'All but 3' means all except 3 ran away, so exactly 3 sheep remain.",Puzzles,Brain Teasers
"Find the next number in the series: 163, 165, 167, 169, 171, ?",175,173,172,171,B) 173,This is a series of consecutive odd numbers. Next number = 171 + 2 = 173.,Puzzles,Pattern Puzzles
"Find the next number in the series: 358, 360, 362, 364, 366, ?",365,368,370,367,B) 368,This is a series of consecutive even numbers. Next number = 366 + 2 = 368.,Puzzles,Pattern Puzzles
match: the tool used to measure temperature is a?,Thermometer,A quarter and a nickel,A puppy,A kitten,A) Thermometer,A thermometer is the tool used to measure temperature.,Puzzles,Matching Puzzles
"A person walks 9 km north, then 13 km south. How far is he from the starting point?",9 km,4 km,13 km,22 km,B) 4 km,"Walking in opposite directions, the net distance is |9 - 13| = 4 km from the start.",Puzzles,Direction Puzzles
"which odd item does not belong: Doctor, Teacher, Engineer, River?",Thermometer,The letter M,Carrot,River,D) River,"Doctor, Teacher, and Engineer are professions, while a River is a natural feature, making it the odd one out.",Puzzles,Odd One Out
"Find the next number in the series: 88, 261, 88, 261, 88, ?",257,261,265,260,B) 261,"The series alternates between 88 and 261. Since the last number is 88, the next number = 261.",Puzzles,Pattern Puzzles
"Find the next number in the series: 19, 24, 29, 34, 39, ?",44,42,46,43,A) 44,"Each term increases by 5, so the next number is 39 + 5 = 44.",Puzzles,Sequence Puzzles
Is 1446 a prime number?,No,Cannot be determined,Only if even,Yes,A) No,"1446 has at least one other divisor, so it is not prime.",Puzzles,Number Puzzles
"Find the next number (differences increase by 1 each time): 12, 14, 19, 22, 24, ?",32,21,30,27,D) 27,"The differences are 2, 5, 3, 2, increasing by 1 each time. Next difference = 3, so next term = 24 + 3 = 27.",Puzzles,Pattern Puzzles
Consider the following puzzle: what has one eye but cannot see?,Thermometer,Seven → Even,A pride,A needle,D) A needle,A needle has an 'eye' (the hole for thread) but cannot see.,Puzzles,Riddles
"Find the next number in the series: 277, 150, 277, 150, 277, ?",146,150,149,147,B) 150,"The series alternates between 277 and 150. Since the last number is 277, the next number = 150.",Puzzles,Pattern Puzzles
Is 1144 a prime number?,Yes,Only if even,Cannot be determined,No,D) No,"1144 has at least one other divisor, so it is not prime.",Puzzles,Number Puzzles
"Find the next number in the series: 40, 58, 76, 94, 112, ?",130,147,142,145,A) 130,"Each term increases by 18, so the next number is 112 + 18 = 130.",Puzzles,Sequence Puzzles
"Find the next number in the series: 48, 50, 52, 54, 56, ?",60,58,59,57,B) 58,"Each term increases by 2, so the next number is 56 + 2 = 58.",Puzzles,Sequence Puzzles
"Find the next number (differences increase by 1 each time): 12, 16, 21, 25, 27, ?",27,30,36,25,B) 30,"The differences are 4, 5, 4, 2, increasing by 1 each time. Next difference = 3, so next term = 27 + 3 = 30.",Puzzles,Pattern Puzzles
match: the study of stars and planets is called what?,A comb,A piano,Astronomy,A towel,C) Astronomy,"The scientific study of stars, planets, and space is called astronomy.",Puzzles,Matching Puzzles
Is 1762 a prime number?,Only if even,No,Yes,Cannot be determined,B) No,"1762 has at least one other divisor, so it is not prime.",Puzzles,Number Puzzles
Is 855 a prime number?,Cannot be determined,Only if even,No,Yes,C) No,"855 has at least one other divisor, so it is not prime.",Puzzles,Number Puzzles
"Find the next number in the series: 1, 7, 8, 15, 23, 38, ?",55,61,60,59,B) 61,Each term is the sum of the two preceding terms. Next term = 38 + 23 = 61.,Puzzles,Sequence Puzzles
Consider the following puzzle: match: the study of stars and planets is called what?,River,Astronomy,A quarter and a nickel,A rubber band,B) Astronomy,"The scientific study of stars, planets, and space is called astronomy.",Puzzles,Matching Puzzles
"Find the next number in the series: 177, 226, 177, 226, 177, ?",224,223,226,230,C) 226,"The series alternates between 177 and 226. Since the last number is 177, the next number = 226.",Puzzles,Pattern Puzzles
"Find the next number in the series: 15, 17, 19, 21, 23, ?",26,24,27,25,D) 25,"Each term increases by 2, so the next number is 23 + 2 = 25.",Puzzles,Sequence Puzzles
"Find the next number in the series: 179, 61, 179, 61, 179, ?",56,62,64,61,D) 61,"The series alternates between 179 and 61. Since the last number is 179, the next number = 61.",Puzzles,Pattern Puzzles
"Find the next number in the series: 5, 25, 45, 65, 85, ?",103,93,125,105,D) 105,"Each term increases by 20, so the next number is 85 + 20 = 105.",Puzzles,Sequence Puzzles
A father and son have a combined age of 60. The father is 34 years older than the son. How old is the son?,15,18,13,10,C) 13,Let the son's age be x; father is x+34. So x + (x+34) = 60 → 2x = 26 → x = 13.,Puzzles,Logic Puzzles
"Find the next number in the series: 123, 271, 123, 271, 123, ?",272,273,270,271,D) 271,"The series alternates between 123 and 271. Since the last number is 123, the next number = 271.",Puzzles,Pattern Puzzles
what has keys but cannot open locks?,Dolphin,Short,A cold,A piano,D) A piano,"A piano has keys (its keyboard keys) that make music, not keys that open locks.",Puzzles,Riddles
Is 884 a prime number?,Only if even,No,Yes,Cannot be determined,B) No,"884 has at least one other divisor, so it is not prime.",Puzzles,Number Puzzles
"A person walks 6 km east, then 7 km further east. How far is he from the starting point?",6 km,1 km,7 km,13 km,D) 13 km,Walking in the same direction adds the distances: 6 + 7 = 13 km.,Puzzles,Direction Puzzles
"Question: brain teaser: what number, when you subtract 1 letter, changes seven into even?",They weigh the same,A kitten,Seven → Even,An envelope,C) Seven → Even,"Removing the 's' from 'seven' leaves 'even', a classic wordplay brain teaser.",Puzzles,Brain Teasers
"Find the missing number in the series: 4, ?, 12, 16, 20.",5,4,9,8,D) 8,"The series increases by 4 each time, so the missing number = 4 + 4 = 8.",Puzzles,Number Puzzles
"Find the next number (differences increase by 1 each time): 11, 13, 14, 15, 17, ?",14,24,20,17,C) 20,"The differences are 2, 1, 1, 2, increasing by 1 each time. Next difference = 3, so next term = 17 + 3 = 20.",Puzzles,Pattern Puzzles
what invention lets you look right through a wall?,A puppy,4,A stamp,A window,D) A window,A window is built into a wall and lets you see straight through it.,Puzzles,Riddles
"Find the next number in the series: 232, 159, 232, 159, 232, ?",159,158,155,164,A) 159,"The series alternates between 232 and 159. Since the last number is 232, the next number = 159.",Puzzles,Pattern Puzzles
Is 46 a prime number?,Only if even,No,Yes,Cannot be determined,B) No,"46 has at least one other divisor, so it is not prime.",Puzzles,Number Puzzles
"Find the next number in the series: 5, 9, 14, 23, 37, 60, ?",113,82,97,88,C) 97,Each term is the sum of the two preceding terms. Next term = 60 + 37 = 97.,Puzzles,Sequence Puzzles
"Find the missing number in the series: 15, 27, ?, 51, 63.",48,40,32,39,D) 39,"The series increases by 12 each time, so the missing number = 27 + 12 = 39.",Puzzles,Number Puzzles
Consider the following puzzle: match: the study of stars and planets is called what?,A puppy,A fence,Astronomy,A kitten,C) Astronomy,"The scientific study of stars, planets, and space is called astronomy.",Puzzles,Matching Puzzles
Question: match: a baby dog is called what?,A cold,3,A puppy,A towel,C) A puppy,A baby dog is called a puppy.,Puzzles,Matching Puzzles
what has keys but cannot open locks?,A puppy,The letter M,A piano,Dolphin,C) A piano,"A piano has keys (its keyboard keys) that make music, not keys that open locks.",Puzzles,Riddles
"Find the next number in the series: 499, 501, 503, 505, 507, ?",513,511,512,509,D) 509,This is a series of consecutive odd numbers. Next number = 507 + 2 = 509.,Puzzles,Pattern Puzzles
"A bus has 17 passengers. At the next stop, 14 get off and 4 get on. How many passengers are there now?",7,5,4,9,A) 7,"Starting with 17, subtract 14 who got off (3) and add 4 who got on, giving 7.",Puzzles,Logic Puzzles
"Find the next number in the series: 7, 16, 25, 34, 43, ?",45,47,51,52,D) 52,"Each term increases by 9, so the next number is 43 + 9 = 52.",Puzzles,Sequence Puzzles
"Find the missing number in the series: 1, 8, 15, ?, 29.",20,21,24,22,D) 22,"The series increases by 7 each time, so the missing number = 15 + 7 = 22.",Puzzles,Number Puzzles
Question: what has hands but cannot clap?,An envelope,River,Seven,A clock,D) A clock,A clock has hands (the hour and minute hands) but obviously cannot clap.,Puzzles,Riddles
"Find the next number in the series: 383, 385, 387, 389, 391, ?",393,389,391,397,A) 393,This is a series of consecutive odd numbers. Next number = 391 + 2 = 393.,Puzzles,Pattern Puzzles
"what begins with an e, ends with an e, and only has one letter in it?",A stamp,An envelope,A sponge,A quarter and a nickel,B) An envelope,"An envelope begins with 'e', ends with 'e', but contains only one letter (a written letter) inside it.",Puzzles,Word Puzzles
"Find the next number in the series: 129, 131, 133, 135, 137, ?",140,137,139,136,C) 139,This is a series of consecutive odd numbers. Next number = 137 + 2 = 139.,Puzzles,Pattern Puzzles
"A bus has 30 passengers. At the next stop, 26 get off and 13 get on. How many passengers are there now?",14,16,20,17,D) 17,"Starting with 30, subtract 26 who got off (4) and add 13 who got on, giving 17.",Puzzles,Logic Puzzles
A father and son have a combined age of 37. The father is 21 years older than the son. How old is the son?,4,8,3,7,B) 8,Let the son's age be x; father is x+21. So x + (x+21) = 37 → 2x = 16 → x = 8.,Puzzles,Logic Puzzles
"A person walks 15 km east, then 11 km further east. How far is he from the starting point?",26 km,15 km,4 km,11 km,A) 26 km,Walking in the same direction adds the distances: 15 + 11 = 26 km.,Puzzles,Direction Puzzles
"Find the next number (differences increase by 1 each time): 12, 14, 16, 18, 23, ?",22,24,27,29,D) 29,"The differences are 2, 2, 2, 5, increasing by 1 each time. Next difference = 6, so next term = 23 + 6 = 29.",Puzzles,Pattern Puzzles
"Find the next number in the series: 300, 117, 300, 117, 300, ?",115,116,119,117,D) 117,"The series alternates between 300 and 117. Since the last number is 300, the next number = 117.",Puzzles,Pattern Puzzles
"A bus has 31 passengers. At the next stop, 13 get off and 16 get on. How many passengers are there now?",32,34,31,38,B) 34,"Starting with 31, subtract 13 who got off (18) and add 16 who got on, giving 34.",Puzzles,Logic Puzzles
Is 1457 a prime number?,No,Only if even,Cannot be determined,Yes,A) No,"1457 has at least one other divisor, so it is not prime.",Puzzles,Number Puzzles
"Find the missing number in the series: 6, 11, 16, ?, 26.",22,18,16,21,D) 21,"The series increases by 5 each time, so the missing number = 16 + 5 = 21.",Puzzles,Number Puzzles
