Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
A number multiplied by 6 gives 300. What is the number?,50,45,56,57,A) 50,Let the number be x. 6x = 300 → x = 300 ÷ 6 = 50.,Math,Equations
"If 5x + 41 = 116, what is the value of x?",15,22,9,17,A) 15,5x + 41 = 116 → 5x = 75 → x = 75 ÷ 5 = 15.,Math,Algebra
What is 55% of 75?,41.25,42,34,48,A) 41.25,55% of 75 = (55/100) × 75 = 41.25.,Math,Percentages
"If 3x + 42 = 186, what is the value of x?",48,44,41,46,A) 48,3x + 42 = 186 → 3x = 144 → x = 144 ÷ 3 = 48.,Math,Algebra
What is √25?,0,4,9,5,D) 5,"√25 = 5, because 5×5 = 25.",Math,Mathematical Operations
"If 7x + 26 = 187, what is the value of x?",17,15,23,26,C) 23,7x + 26 = 187 → 7x = 161 → x = 161 ÷ 7 = 23.,Math,Algebra
"What is the average of 176, 107, 35, 82?",98,100,96,116,B) 100,Sum = 400. Average = 400 ÷ 4 = 100.,Math,Averages
"If 9x + 68 = 149, what is the value of x?",10,3,9,15,C) 9,9x + 68 = 149 → 9x = 81 → x = 81 ÷ 9 = 9.,Math,Algebra
"If 10x + 40 = 110, what is the value of x?",10,7,4,11,B) 7,10x + 40 = 110 → 10x = 70 → x = 70 ÷ 10 = 7.,Math,Algebra
"What is the average of 197, 182, 16, 89?",133,110,145,121,D) 121,Sum = 484. Average = 484 ÷ 4 = 121.,Math,Averages
"What is the average of 5, 47, 98, 62, 64, 60?",57,52,53,56,D) 56,Sum = 336. Average = 336 ÷ 6 = 56.,Math,Averages
"What is the average of 25, 10, 103, 130, 87, 95?",86,75,66,77,B) 75,Sum = 450. Average = 450 ÷ 6 = 75.,Math,Averages
What is 37 × 17?,629,536,616,575,A) 629,37 × 17 = 629.,Math,Basic Math
What is 9 × 43?,387,389,410,398,A) 387,9 × 43 = 387.,Math,Basic Math
Is 870489 a perfect square?,Yes,Only for even n,Cannot be determined,No,A) Yes,"870489 = 933 × 933, so it is a perfect square.",Math,Number System
Is 204 a prime number?,Only for even numbers,Cannot be determined,No,Yes,C) No,"204 is divisible by 2, so it is not a prime number.",Math,Number System
₹48 is divided between two people in the ratio 13:11. What is the first person's share?,27,20,26,32,C) 26,Total parts = 13+11 = 24. One part = 48÷24 = 2. First share = 13×2 = 26.,Math,Ratios
"What is the average of 176, 88, 100, 115, 91?",114,94,109,99,A) 114,Sum = 570. Average = 570 ÷ 5 = 114.,Math,Averages
What is 345.83 + 267.04?,609.06,615.28,612.87,622.49,C) 612.87,345.83 + 267.04 = 612.87.,Math,Decimals
Is 2304 a perfect square?,No,Cannot be determined,Yes,Only for even n,C) Yes,"2304 = 48 × 48, so it is a perfect square.",Math,Number System
"If 14x + 42 = 672, what is the value of x?",49,45,53,37,B) 45,14x + 42 = 672 → 14x = 630 → x = 630 ÷ 14 = 45.,Math,Algebra
"What is the average of 151, 19, 34, 119, 112?",70,72,87,81,C) 87,Sum = 435. Average = 435 ÷ 5 = 87.,Math,Averages
"If 6x + 29 = 155, what is the value of x?",24,21,20,19,B) 21,6x + 29 = 155 → 6x = 126 → x = 126 ÷ 6 = 21.,Math,Algebra
₹92 is divided between two people in the ratio 9:14. What is the first person's share?,36,34,43,41,A) 36,Total parts = 9+14 = 23. One part = 92÷23 = 4. First share = 9×4 = 36.,Math,Ratios
"What is the average of 110, 46, 125, 119, 3, 95?",96,85,83,88,C) 83,Sum = 498. Average = 498 ÷ 6 = 83.,Math,Averages
What is 5% of 60?,4,2,3,1,C) 3,5% of 60 = (5/100) × 60 = 3.,Math,Percentages
₹102 is divided between two people in the ratio 11:6. What is the first person's share?,66,55,65,60,A) 66,Total parts = 11+6 = 17. One part = 102÷17 = 6. First share = 11×6 = 66.,Math,Ratios
"If 4x + 4 = 36, what is the value of x?",16,0,10,8,D) 8,4x + 4 = 36 → 4x = 32 → x = 32 ÷ 4 = 8.,Math,Algebra
₹24 is divided between two people in the ratio 1:2. What is the first person's share?,6,9,8,10,C) 8,Total parts = 1+2 = 3. One part = 24÷3 = 8. First share = 1×8 = 8.,Math,Ratios
What is 5% of 90?,5,4.5,6,2,B) 4.5,5% of 90 = (5/100) × 90 = 4.5.,Math,Percentages
A number multiplied by 8 gives 80. What is the number?,8,10,16,5,B) 10,Let the number be x. 8x = 80 → x = 80 ÷ 8 = 10.,Math,Equations
What is 1943 ÷ 29?,67,70,58,82,A) 67,"1943 ÷ 29 = 67, since 29 × 67 = 1943.",Math,Basic Math
What is 200.01 - 83.63?,118.83,116.38,124.16,112.95,B) 116.38,200.01 - 83.63 = 116.38.,Math,Decimals
Is 739 an even or odd number?,Even,Odd,Neither,Both,B) Odd,"739 ÷ 2 leaves remainder 1, so it is an odd number.",Math,Number System
"If 2x + 25 = 45, what is the value of x?",10,17,5,9,A) 10,2x + 25 = 45 → 2x = 20 → x = 20 ÷ 2 = 10.,Math,Algebra
"If 2x + 73 = 141, what is the value of x?",34,27,33,35,A) 34,2x + 73 = 141 → 2x = 68 → x = 68 ÷ 2 = 34.,Math,Algebra
What is 194.81 - 40.97?,160.91,153.84,152.78,154.97,B) 153.84,194.81 - 40.97 = 153.84.,Math,Decimals
"If 13x + 77 = 428, what is the value of x?",26,28,25,27,D) 27,13x + 77 = 428 → 13x = 351 → x = 351 ÷ 13 = 27.,Math,Algebra
₹51 is divided between two people in the ratio 7:10. What is the first person's share?,17,21,26,23,B) 21,Total parts = 7+10 = 17. One part = 51÷17 = 3. First share = 7×3 = 21.,Math,Ratios
"What is the average of 199, 163, 101, 32, 78, 129?",117,138,122,139,A) 117,Sum = 702. Average = 702 ÷ 6 = 117.,Math,Averages
A number multiplied by 5 gives 65. What is the number?,13,6,5,19,A) 13,Let the number be x. 5x = 65 → x = 65 ÷ 5 = 13.,Math,Equations
What is 5064 - 3144?,1734,1920,2126,1858,B) 1920,5064 - 3144 = 1920.,Math,Basic Math
What is 46 × 43?,1734,1684,1954,1978,D) 1978,46 × 43 = 1978.,Math,Basic Math
"If 13x + 68 = 679, what is the value of x?",53,55,50,47,D) 47,13x + 68 = 679 → 13x = 611 → x = 611 ÷ 13 = 47.,Math,Algebra
Is 258 a prime number?,Only for even numbers,Yes,Cannot be determined,No,D) No,"258 is divisible by 2, so it is not a prime number.",Math,Number System
What is 4% of 1500?,60,59,71,53,A) 60,4% of 1500 = (4/100) × 1500 = 60.,Math,Percentages
What is 445.95 - 219.77?,231.52,230.71,224.75,226.18,D) 226.18,445.95 - 219.77 = 226.18.,Math,Decimals
What is 70% of 2000?,1451,1657,1400,1587,C) 1400,70% of 2000 = (70/100) × 2000 = 1400.,Math,Percentages
What is 4 × 23?,88,85,87,92,D) 92,4 × 23 = 92.,Math,Basic Math
"What is the average of 39, 174, 34, 185, 88?",100,98,104,124,C) 104,Sum = 520. Average = 520 ÷ 5 = 104.,Math,Averages
Is 7873 an even or odd number?,Neither,Even,Both,Odd,D) Odd,"7873 ÷ 2 leaves remainder 1, so it is an odd number.",Math,Number System
What is 50% of 1500?,796,750,775,631,B) 750,50% of 1500 = (50/100) × 1500 = 750.,Math,Percentages
A number multiplied by 7 gives 49. What is the number?,4,0,13,7,D) 7,Let the number be x. 7x = 49 → x = 49 ÷ 7 = 7.,Math,Equations
What is 814 + 1555?,2175,2369,2663,2435,B) 2369,814 + 1555 = 2369.,Math,Basic Math
What is 472.38 + 180.5?,660.71,651.4,652.88,655.37,C) 652.88,472.38 + 180.5 = 652.88.,Math,Decimals
What is 308.55 - 125.0?,180.18,188.04,190.79,183.55,D) 183.55,308.55 - 125.0 = 183.55.,Math,Decimals
"If 12x + 11 = 71, what is the value of x?",12,9,13,5,D) 5,12x + 11 = 71 → 12x = 60 → x = 60 ÷ 12 = 5.,Math,Algebra
"What is the average of 84, 10, 95?",63,72,62,64,A) 63,Sum = 189. Average = 189 ÷ 3 = 63.,Math,Averages
What is 297.83 - 98.95?,198.88,208.82,200.01,196.15,A) 198.88,297.83 - 98.95 = 198.88.,Math,Decimals
"If 2x + 15 = 105, what is the value of x?",45,46,49,40,A) 45,2x + 15 = 105 → 2x = 90 → x = 90 ÷ 2 = 45.,Math,Algebra
"If 13x + 31 = 681, what is the value of x?",51,50,56,42,B) 50,13x + 31 = 681 → 13x = 650 → x = 650 ÷ 13 = 50.,Math,Algebra
"If 15x + 18 = 318, what is the value of x?",27,26,20,15,C) 20,15x + 18 = 318 → 15x = 300 → x = 300 ÷ 15 = 20.,Math,Algebra
What is 376.15 - 125.06?,248.23,251.09,256.02,256.98,B) 251.09,376.15 - 125.06 = 251.09.,Math,Decimals
What is 43 × 31?,1364,1478,1438,1333,D) 1333,43 × 31 = 1333.,Math,Basic Math
Is 980100 a perfect square?,No,Yes,Only for even n,Cannot be determined,B) Yes,"980100 = 990 × 990, so it is a perfect square.",Math,Number System
"If 15x + 67 = 142, what is the value of x?",8,5,12,11,B) 5,15x + 67 = 142 → 15x = 75 → x = 75 ÷ 15 = 5.,Math,Algebra
Is 7468 an even or odd number?,Neither,Odd,Even,Both,C) Even,"7468 ÷ 2 leaves remainder 0, so it is an even number.",Math,Number System
Is 152 a prime number?,No,Only for even numbers,Yes,Cannot be determined,A) No,"152 is divisible by 2, so it is not a prime number.",Math,Number System
Is 93 a prime number?,Only for even numbers,Yes,Cannot be determined,No,D) No,"93 is divisible by 3, so it is not a prime number.",Math,Number System
"What is the average of 17, 167, 92, 57, 182?",108,103,121,89,B) 103,Sum = 515. Average = 515 ÷ 5 = 103.,Math,Averages
What is 273.65 - 196.18?,86.89,75.64,77.47,79.29,C) 77.47,273.65 - 196.18 = 77.47.,Math,Decimals
A number multiplied by 5 gives 45. What is the number?,3,6,9,8,C) 9,Let the number be x. 5x = 45 → x = 45 ÷ 5 = 9.,Math,Equations
"What is the average of 46, 61, 171, 63, 60, 49?",73,61,65,75,D) 75,Sum = 450. Average = 450 ÷ 6 = 75.,Math,Averages
"If 2x + 48 = 100, what is the value of x?",27,26,28,21,B) 26,2x + 48 = 100 → 2x = 52 → x = 52 ÷ 2 = 26.,Math,Algebra
₹138 is divided between two people in the ratio 12:11. What is the first person's share?,78,84,72,65,C) 72,Total parts = 12+11 = 23. One part = 138÷23 = 6. First share = 12×6 = 72.,Math,Ratios
"What is the average of 14, 44, 83?",55,54,47,52,C) 47,Sum = 141. Average = 141 ÷ 3 = 47.,Math,Averages
"If 11x + 69 = 564, what is the value of x?",44,46,45,43,C) 45,11x + 69 = 564 → 11x = 495 → x = 495 ÷ 11 = 45.,Math,Algebra
"What is the average of 129, 110, 152, 85?",139,134,116,119,D) 119,Sum = 476. Average = 476 ÷ 4 = 119.,Math,Averages
What is 26 × 32?,700,708,832,762,C) 832,26 × 32 = 832.,Math,Basic Math
What is 104.27 + 53.46?,157.73,156.96,167.1,159.39,A) 157.73,104.27 + 53.46 = 157.73.,Math,Decimals
What is 7700 - 6410?,1412,1162,1290,1179,C) 1290,7700 - 6410 = 1290.,Math,Basic Math
Is 4256 an even or odd number?,Neither,Both,Odd,Even,D) Even,"4256 ÷ 2 leaves remainder 0, so it is an even number.",Math,Number System
Is 5656 an even or odd number?,Even,Odd,Neither,Both,A) Even,"5656 ÷ 2 leaves remainder 0, so it is an even number.",Math,Number System
Is 8001 an even or odd number?,Even,Odd,Neither,Both,B) Odd,"8001 ÷ 2 leaves remainder 1, so it is an odd number.",Math,Number System
What is 3/9 + 5/9 in simplest form?,7/9,8/9,9/9,8/9,B) 8/9,"3/9 + 5/9 = 8/9, which simplifies to 8/9.",Math,Fractions
₹24 is divided between two people in the ratio 7:1. What is the first person's share?,26,23,19,21,D) 21,Total parts = 7+1 = 8. One part = 24÷8 = 3. First share = 7×3 = 21.,Math,Ratios
What is 3 × 24?,72,73,60,67,A) 72,3 × 24 = 72.,Math,Basic Math
"If 15x + 37 = 427, what is the value of x?",23,32,31,26,D) 26,15x + 37 = 427 → 15x = 390 → x = 390 ÷ 15 = 26.,Math,Algebra
What is 5715 - 4155?,1566,1424,1560,1367,C) 1560,5715 - 4155 = 1560.,Math,Basic Math
What is 17³?,5640,4187,5620,4913,D) 4913,17³ = 17×17×17 = 4913.,Math,Mathematical Operations
"If 5x + 55 = 210, what is the value of x?",33,31,39,35,B) 31,5x + 55 = 210 → 5x = 155 → x = 155 ÷ 5 = 31.,Math,Algebra
"If 11x + 16 = 148, what is the value of x?",9,5,20,12,D) 12,11x + 16 = 148 → 11x = 132 → x = 132 ÷ 11 = 12.,Math,Algebra
What is 55% of 900?,512,459,495,475,C) 495,55% of 900 = (55/100) × 900 = 495.,Math,Percentages
"What is the average of 171, 108, 129?",136,137,160,118,A) 136,Sum = 408. Average = 408 ÷ 3 = 136.,Math,Averages
A number multiplied by 2 gives 138. What is the number?,69,65,70,62,A) 69,Let the number be x. 2x = 138 → x = 138 ÷ 2 = 69.,Math,Equations
"What is the average of 187, 26, 102?",87,93,102,105,D) 105,Sum = 315. Average = 315 ÷ 3 = 105.,Math,Averages
What is 488.76 + 91.27?,578.46,580.03,586.53,583.91,B) 580.03,488.76 + 91.27 = 580.03.,Math,Decimals
Is 6819 an even or odd number?,Odd,Both,Even,Neither,A) Odd,"6819 ÷ 2 leaves remainder 1, so it is an odd number.",Math,Number System
What is 13 × 44?,572,528,665,648,A) 572,13 × 44 = 572.,Math,Basic Math
"What is the average of 84, 77, 190?",121,98,140,117,D) 117,Sum = 351. Average = 351 ÷ 3 = 117.,Math,Averages
What is 153.79 + 427.53?,584.41,577.0,581.32,589.21,C) 581.32,153.79 + 427.53 = 581.32.,Math,Decimals
What is 5011 + 7576?,12529,12139,12371,12587,D) 12587,5011 + 7576 = 12587.,Math,Basic Math
What is 207.47 - 46.83?,155.94,164.25,170.22,160.64,D) 160.64,207.47 - 46.83 = 160.64.,Math,Decimals
Is 753 an even or odd number?,Neither,Both,Odd,Even,C) Odd,"753 ÷ 2 leaves remainder 1, so it is an odd number.",Math,Number System
"What is the average of 16, 13, 101, 141, 1, 160?",84,85,75,72,D) 72,Sum = 432. Average = 432 ÷ 6 = 72.,Math,Averages
What is 9 × 25?,225,245,201,255,A) 225,9 × 25 = 225.,Math,Basic Math
"If 4x + 30 = 186, what is the value of x?",37,44,39,46,C) 39,4x + 30 = 186 → 4x = 156 → x = 156 ÷ 4 = 39.,Math,Algebra
"What is the average of 94, 25, 142?",74,92,87,101,C) 87,Sum = 261. Average = 261 ÷ 3 = 87.,Math,Averages
What is 7890 - 5478?,2545,2548,2683,2412,D) 2412,7890 - 5478 = 2412.,Math,Basic Math
"What is the average of 26, 6, 156, 184?",82,94,93,89,C) 93,Sum = 372. Average = 372 ÷ 4 = 93.,Math,Averages
"If 13x + 76 = 232, what is the value of x?",8,4,11,12,D) 12,13x + 76 = 232 → 13x = 156 → x = 156 ÷ 13 = 12.,Math,Algebra
Is 263169 a perfect square?,Yes,No,Cannot be determined,Only for even n,A) Yes,"263169 = 513 × 513, so it is a perfect square.",Math,Number System
₹160 is divided between two people in the ratio 13:7. What is the first person's share?,122,104,107,95,B) 104,Total parts = 13+7 = 20. One part = 160÷20 = 8. First share = 13×8 = 104.,Math,Ratios
Is 205209 a perfect square?,Yes,Cannot be determined,No,Only for even n,A) Yes,"205209 = 453 × 453, so it is a perfect square.",Math,Number System
What is 374.58 - 196.35?,178.23,178.81,185.49,176.6,A) 178.23,374.58 - 196.35 = 178.23.,Math,Decimals
"If 6x + 10 = 160, what is the value of x?",23,32,21,25,D) 25,6x + 10 = 160 → 6x = 150 → x = 150 ÷ 6 = 25.,Math,Algebra
What is 1634 ÷ 19?,66,86,106,78,B) 86,"1634 ÷ 19 = 86, since 19 × 86 = 1634.",Math,Basic Math
Is 2003 an even or odd number?,Even,Both,Odd,Neither,C) Odd,"2003 ÷ 2 leaves remainder 1, so it is an odd number.",Math,Number System
"If 2x + 47 = 115, what is the value of x?",37,38,28,34,D) 34,2x + 47 = 115 → 2x = 68 → x = 68 ÷ 2 = 34.,Math,Algebra
What is 399.82 - 391.94?,14.63,7.88,11.27,2.9,B) 7.88,399.82 - 391.94 = 7.88.,Math,Decimals
What is 211.15 + 237.76?,447.07,450.0,448.91,457.13,C) 448.91,211.15 + 237.76 = 448.91.,Math,Decimals
What is 9823 - 5152?,4671,4613,4298,4963,A) 4671,9823 - 5152 = 4671.,Math,Basic Math
What is 20% of 200?,44,40,39,42,B) 40,20% of 200 = (20/100) × 200 = 40.,Math,Percentages
"If 9x + 56 = 362, what is the value of x?",38,34,37,40,B) 34,9x + 56 = 362 → 9x = 306 → x = 306 ÷ 9 = 34.,Math,Algebra
What is 2420 + 4185?,6555,5790,6605,7324,C) 6605,2420 + 4185 = 6605.,Math,Basic Math
What is 50 × 44?,2040,2200,2119,2506,B) 2200,50 × 44 = 2200.,Math,Basic Math
"What is the average of 91, 54, 13, 5, 147, 170?",83,96,80,95,C) 80,Sum = 480. Average = 480 ÷ 6 = 80.,Math,Averages
Is 173056 a perfect square?,Yes,Cannot be determined,No,Only for even n,A) Yes,"173056 = 416 × 416, so it is a perfect square.",Math,Number System
"What is the average of 200, 97, 152, 101, 150?",150,140,133,146,B) 140,Sum = 700. Average = 700 ÷ 5 = 140.,Math,Averages
What is 60% of 120?,80,72,69,82,B) 72,60% of 120 = (60/100) × 120 = 72.,Math,Percentages
What is 1/9 + 6/9 in simplest form?,8/9,7/9,7/9,6/9,B) 7/9,"1/9 + 6/9 = 7/9, which simplifies to 7/9.",Math,Fractions
"What is the average of 138, 177, 137, 112?",156,120,132,141,D) 141,Sum = 564. Average = 564 ÷ 4 = 141.,Math,Averages
"What is the average of 21, 59, 118, 74?",67,56,68,58,C) 68,Sum = 272. Average = 272 ÷ 4 = 68.,Math,Averages
"If 12x + 6 = 234, what is the value of x?",15,22,19,27,C) 19,12x + 6 = 234 → 12x = 228 → x = 228 ÷ 12 = 19.,Math,Algebra
"What is the average of 105, 57, 165?",101,109,90,116,B) 109,Sum = 327. Average = 327 ÷ 3 = 109.,Math,Averages
"If 15x + 19 = 34, what is the value of x?",0,9,7,1,D) 1,15x + 19 = 34 → 15x = 15 → x = 15 ÷ 15 = 1.,Math,Algebra
What is 75% of 800?,680,546,600,573,C) 600,75% of 800 = (75/100) × 800 = 600.,Math,Percentages
"If 8x + 54 = 454, what is the value of x?",49,45,56,50,D) 50,8x + 54 = 454 → 8x = 400 → x = 400 ÷ 8 = 50.,Math,Algebra
"If 9x + 52 = 115, what is the value of x?",10,5,7,13,C) 7,9x + 52 = 115 → 9x = 63 → x = 63 ÷ 9 = 7.,Math,Algebra
What is 65% of 40?,22,25,23,26,D) 26,65% of 40 = (65/100) × 40 = 26.,Math,Percentages
"What is the average of 147, 8, 194, 127, 84?",113,107,106,112,D) 112,Sum = 560. Average = 560 ÷ 5 = 112.,Math,Averages
"If 9x + 30 = 426, what is the value of x?",49,40,45,44,D) 44,9x + 30 = 426 → 9x = 396 → x = 396 ÷ 9 = 44.,Math,Algebra
What is 3456 - 3196?,260,237,256,236,A) 260,3456 - 3196 = 260.,Math,Basic Math
"What is the average of 63, 135, 84, 7, 96?",92,77,72,81,B) 77,Sum = 385. Average = 385 ÷ 5 = 77.,Math,Averages
What is 1495 ÷ 23?,76,65,78,52,B) 65,"1495 ÷ 23 = 65, since 23 × 65 = 1495.",Math,Basic Math
What is 283.07 + 69.97?,350.63,353.04,360.24,354.35,B) 353.04,283.07 + 69.97 = 353.04.,Math,Decimals
What is 46.55 + 215.95?,261.98,262.5,266.21,268.0,B) 262.5,46.55 + 215.95 = 262.5.,Math,Decimals
"If 5x + 63 = 273, what is the value of x?",35,42,46,50,B) 42,5x + 63 = 273 → 5x = 210 → x = 210 ÷ 5 = 42.,Math,Algebra
Is 8068 an even or odd number?,Odd,Neither,Both,Even,D) Even,"8068 ÷ 2 leaves remainder 0, so it is an even number.",Math,Number System
What is 2859 - 1508?,1253,1225,1431,1351,D) 1351,2859 - 1508 = 1351.,Math,Basic Math
₹63 is divided between two people in the ratio 8:13. What is the first person's share?,24,28,22,26,A) 24,Total parts = 8+13 = 21. One part = 63÷21 = 3. First share = 8×3 = 24.,Math,Ratios
What is 34 × 12?,376,453,439,408,D) 408,34 × 12 = 408.,Math,Basic Math
What is 1716 ÷ 22?,78,63,68,90,A) 78,"1716 ÷ 22 = 78, since 22 × 78 = 1716.",Math,Basic Math
"If 12x + 34 = 610, what is the value of x?",55,52,48,40,C) 48,12x + 34 = 610 → 12x = 576 → x = 576 ÷ 12 = 48.,Math,Algebra
What is 825 ÷ 25?,36,35,34,33,D) 33,"825 ÷ 25 = 33, since 25 × 33 = 825.",Math,Basic Math
₹70 is divided between two people in the ratio 9:5. What is the first person's share?,54,56,50,45,D) 45,Total parts = 9+5 = 14. One part = 70÷14 = 5. First share = 9×5 = 45.,Math,Ratios
What is 4/15 + 10/15 in simplest form?,14/15,13/15,15/15,14/15,A) 14/15,"4/15 + 10/15 = 14/15, which simplifies to 14/15.",Math,Fractions
What is 84 ÷ 2?,39,49,42,40,C) 42,"84 ÷ 2 = 42, since 2 × 42 = 84.",Math,Basic Math
Is 45 an even or odd number?,Odd,Even,Neither,Both,A) Odd,"45 ÷ 2 leaves remainder 1, so it is an odd number.",Math,Number System
"What is the average of 149, 131, 115, 73, 14, 100?",83,105,97,109,C) 97,Sum = 582. Average = 582 ÷ 6 = 97.,Math,Averages
"What is the average of 64, 82, 187, 47?",94,109,95,79,C) 95,Sum = 380. Average = 380 ÷ 4 = 95.,Math,Averages
"What is the average of 151, 21, 187, 137?",138,124,117,141,B) 124,Sum = 496. Average = 496 ÷ 4 = 124.,Math,Averages
₹78 is divided between two people in the ratio 6:7. What is the first person's share?,45,36,37,40,B) 36,Total parts = 6+7 = 13. One part = 78÷13 = 6. First share = 6×6 = 36.,Math,Ratios
"If 13x + 55 = 302, what is the value of x?",15,23,25,19,D) 19,13x + 55 = 302 → 13x = 247 → x = 247 ÷ 13 = 19.,Math,Algebra
"What is the average of 179, 179, 78, 176?",153,145,123,151,A) 153,Sum = 612. Average = 612 ÷ 4 = 153.,Math,Averages
Is 99225 a perfect square?,Only for even n,No,Cannot be determined,Yes,D) Yes,"99225 = 315 × 315, so it is a perfect square.",Math,Number System
"What is the average of 185, 73, 160, 67, 65, 26?",94,86,96,84,C) 96,Sum = 576. Average = 576 ÷ 6 = 96.,Math,Averages
What is 447.24 - 45.41?,401.83,398.77,403.92,408.03,A) 401.83,447.24 - 45.41 = 401.83.,Math,Decimals
