What is the hummingbird?,"The largest living bird species, which is flightless","A critically endangered bird found in India, known for its large size",A large water bird known for its distinctive throat pouch,A tiny bird known for its ability to hover and fly backward,D) A tiny bird known for its ability to hover and fly backward,"The hummingbird is known for its small size, rapid wing beats, and unique ability to hover and fly backward.",Birds,Bird Species
Which of the following best describes the hummingbird?,A tiny bird known for its ability to hover and fly backward,A large water bird known for its distinctive throat pouch,"India's national bird, known for its colorful fan-like tail","A critically endangered bird found in India, known for its large size",A) A tiny bird known for its ability to hover and fly backward,"The hummingbird is known for its small size, rapid wing beats, and unique ability to hover and fly backward.",Birds,Bird Species
What is the kiwi (bird)?,"A small, common bird often found near human settlements",A large water bird known for its distinctive throat pouch,A flightless bird native to New Zealand with a long beak,A large seabird with one of the longest wingspans of any bird,C) A flightless bird native to New Zealand with a long beak,"The kiwi is a flightless bird native to New Zealand, known for its long beak and nocturnal habits.",Birds,Flightless Birds
Which of the following best describes the kiwi (bird)?,A large bird of prey known for keen eyesight and powerful flight,"The fastest bird, known for its high-speed diving hunting technique",A flightless bird native to New Zealand with a long beak,A bird known for laying its eggs in the nests of other bird species,C) A flightless bird native to New Zealand with a long beak,"The kiwi is a flightless bird native to New Zealand, known for its long beak and nocturnal habits.",Birds,Flightless Birds
What is the parrot?,A large seabird with one of the longest wingspans of any bird,A bird known for pecking holes in tree trunks with its strong beak,"A large, graceful water bird often associated with elegance",A colorful bird known for its ability to mimic human speech,D) A colorful bird known for its ability to mimic human speech,"The parrot is a colorful bird species known for its intelligence and ability to mimic sounds, including human speech.",Birds,Bird Species
Which of the following best describes the parrot?,"The largest living bird species, which is flightless",A highly intelligent black bird found across most of the world,A colorful bird known for its ability to mimic human speech,"A tropical bird known for its large, colorful beak",C) A colorful bird known for its ability to mimic human speech,"The parrot is a colorful bird species known for its intelligence and ability to mimic sounds, including human speech.",Birds,Bird Species
What is the crow?,A large bird of prey and the national bird of the United States,A large seabird with one of the longest wingspans of any bird,A highly intelligent black bird found across most of the world,A colorful bird known for its ability to mimic human speech,C) A highly intelligent black bird found across most of the world,"The crow is a highly intelligent bird, recognized by its black feathers and found across most parts of the world.",Birds,Indian Birds
Which of the following best describes the crow?,"A tropical bird known for its large, colorful beak","A small, common bird often found near human settlements",A highly intelligent black bird found across most of the world,A common Indian bird known for its ability to mimic sounds,C) A highly intelligent black bird found across most of the world,"The crow is a highly intelligent bird, recognized by its black feathers and found across most parts of the world.",Birds,Indian Birds
What is the flamingo?,A wading bird known for its pink feathers and long legs,A common Indian bird known for its ability to mimic sounds,A large water bird known for its distinctive throat pouch,A large bird of prey known for keen eyesight and powerful flight,A) A wading bird known for its pink feathers and long legs,"The flamingo is a wading bird known for its distinctive pink coloring, caused by its diet, and long, thin legs.",Birds,Bird Habitats
Which of the following best describes the flamingo?,A bird known for pecking holes in tree trunks with its strong beak,A large bird of prey and the national bird of the United States,A large flightless bird native to Australia,A wading bird known for its pink feathers and long legs,D) A wading bird known for its pink feathers and long legs,"The flamingo is a wading bird known for its distinctive pink coloring, caused by its diet, and long, thin legs.",Birds,Bird Habitats
What is the sparrow?,A large bird of prey known for keen eyesight and powerful flight,A common Indian bird known for its ability to mimic sounds,A bird known for laying its eggs in the nests of other bird species,"A small, common bird often found near human settlements","D) A small, common bird often found near human settlements","The sparrow is a small bird species commonly found near human settlements, known for its brown and grey plumage.",Birds,Indian Birds
Which of the following best describes the sparrow?,A wading bird known for its pink feathers and long legs,A large bird of prey known for keen eyesight and powerful flight,"A small, common bird often found near human settlements",A common Indian bird known for its ability to mimic sounds,"C) A small, common bird often found near human settlements","The sparrow is a small bird species commonly found near human settlements, known for its brown and grey plumage.",Birds,Indian Birds
What is the migratory bird?,A large water bird known for its distinctive throat pouch,A bird that travels seasonally between breeding and non-breeding grounds,A large bird of prey known for keen eyesight and powerful flight,A nocturnal bird of prey known for its ability to rotate its head widely,B) A bird that travels seasonally between breeding and non-breeding grounds,"Migratory birds travel seasonally, often over long distances, between breeding and wintering grounds.",Birds,Migratory Birds
Which of the following best describes the migratory bird?,A tiny bird known for its ability to hover and fly backward,"A critically endangered bird found in India, known for its large size",A large bird of prey and the national bird of the United States,A bird that travels seasonally between breeding and non-breeding grounds,D) A bird that travels seasonally between breeding and non-breeding grounds,"Migratory birds travel seasonally, often over long distances, between breeding and wintering grounds.",Birds,Migratory Birds
What is the vulture?,A large bird of prey known for feeding on carrion (dead animals),A large seabird with one of the longest wingspans of any bird,A colorful bird known for its ability to mimic human speech,An extinct flightless bird once native to the island of Mauritius,A) A large bird of prey known for feeding on carrion (dead animals),The vulture is a large bird of prey known for scavenging and feeding primarily on carrion.,Birds,Birds of Prey
Which of the following best describes the vulture?,An extinct flightless bird once native to the island of Mauritius,A tiny bird known for its ability to hover and fly backward,A large bird of prey known for feeding on carrion (dead animals),A wading bird known for its pink feathers and long legs,C) A large bird of prey known for feeding on carrion (dead animals),The vulture is a large bird of prey known for scavenging and feeding primarily on carrion.,Birds,Birds of Prey
What is the woodpecker?,A bird known for pecking holes in tree trunks with its strong beak,"The largest living bird species, which is flightless",An extinct flightless bird once native to the island of Mauritius,"A large, graceful water bird often associated with elegance",A) A bird known for pecking holes in tree trunks with its strong beak,"The woodpecker uses its strong, chisel-like beak to peck holes in tree trunks, searching for insects.",Birds,Bird Species
Which of the following best describes the woodpecker?,An extinct flightless bird once native to the island of Mauritius,A bird that travels seasonally between breeding and non-breeding grounds,A common Indian bird known for its ability to mimic sounds,A bird known for pecking holes in tree trunks with its strong beak,D) A bird known for pecking holes in tree trunks with its strong beak,"The woodpecker uses its strong, chisel-like beak to peck holes in tree trunks, searching for insects.",Birds,Bird Species
What is the toucan?,"A tropical bird known for its large, colorful beak",A large water bird known for its distinctive throat pouch,A large bird of prey known for feeding on carrion (dead animals),A common Indian bird known for its ability to mimic sounds,"A) A tropical bird known for its large, colorful beak","The toucan is a tropical bird native to Central and South America, known for its oversized, colorful beak.",Birds,Bird Species
Which of the following best describes the toucan?,A wading bird known for its pink feathers and long legs,"A tropical bird known for its large, colorful beak",A bird that travels seasonally between breeding and non-breeding grounds,"The largest living bird species, which is flightless","B) A tropical bird known for its large, colorful beak","The toucan is a tropical bird native to Central and South America, known for its oversized, colorful beak.",Birds,Bird Species
What is the swan?,An extinct flightless bird once native to the island of Mauritius,A bird known for pecking holes in tree trunks with its strong beak,"The largest living bird species, which is flightless","A large, graceful water bird often associated with elegance","D) A large, graceful water bird often associated with elegance",The swan is a large water bird known for its long neck and graceful appearance while swimming.,Birds,Bird Habitats
Which of the following best describes the swan?,"A large, graceful water bird often associated with elegance",A flightless bird native to New Zealand with a long beak,A bird known for pecking holes in tree trunks with its strong beak,A colorful bird known for its ability to mimic human speech,"A) A large, graceful water bird often associated with elegance",The swan is a large water bird known for its long neck and graceful appearance while swimming.,Birds,Bird Habitats
What is the eagle?,A large bird of prey known for keen eyesight and powerful flight,"The largest living bird species, which is flightless",An extinct flightless bird once native to the island of Mauritius,"India's national bird, known for its colorful fan-like tail",A) A large bird of prey known for keen eyesight and powerful flight,"The eagle is a large bird of prey known for its keen eyesight, powerful talons, and strong flight.",Birds,Birds of Prey
Which of the following best describes the eagle?,A wading bird known for its pink feathers and long legs,"A tropical bird known for its large, colorful beak",A large bird of prey known for keen eyesight and powerful flight,A large seabird with one of the longest wingspans of any bird,C) A large bird of prey known for keen eyesight and powerful flight,"The eagle is a large bird of prey known for its keen eyesight, powerful talons, and strong flight.",Birds,Birds of Prey
What is the pelican?,"A small, common bird often found near human settlements",A large water bird known for its distinctive throat pouch,A large flightless bird native to Australia,"A large, graceful water bird often associated with elegance",B) A large water bird known for its distinctive throat pouch,"The pelican is a large water bird recognized by the distinctive pouch under its beak, used to catch fish.",Birds,Bird Habitats
Which of the following best describes the pelican?,A bird known for laying its eggs in the nests of other bird species,A large seabird with one of the longest wingspans of any bird,A large flightless bird native to Australia,A large water bird known for its distinctive throat pouch,D) A large water bird known for its distinctive throat pouch,"The pelican is a large water bird recognized by the distinctive pouch under its beak, used to catch fish.",Birds,Bird Habitats
What is the dodo?,A common Indian bird known for its ability to mimic sounds,"The largest living bird species, which is flightless",An extinct flightless bird once native to the island of Mauritius,A bird that travels seasonally between breeding and non-breeding grounds,C) An extinct flightless bird once native to the island of Mauritius,The dodo was a flightless bird native to Mauritius that became extinct in the 17th century due to human activity.,Birds,Endangered Birds
Which of the following best describes the dodo?,"The fastest bird, known for its high-speed diving hunting technique",An extinct flightless bird once native to the island of Mauritius,A tiny bird known for its ability to hover and fly backward,"A critically endangered bird found in India, known for its large size",B) An extinct flightless bird once native to the island of Mauritius,The dodo was a flightless bird native to Mauritius that became extinct in the 17th century due to human activity.,Birds,Endangered Birds
What is the great Indian bustard?,"A large, graceful water bird often associated with elegance",A nocturnal bird of prey known for its ability to rotate its head widely,"A critically endangered bird found in India, known for its large size",A flightless bird native to New Zealand with a long beak,"C) A critically endangered bird found in India, known for its large size","The great Indian bustard is a critically endangered bird species found in India, among the heaviest flying birds.",Birds,Endangered Birds
Which of the following best describes the great Indian bustard?,A highly intelligent black bird found across most of the world,"A critically endangered bird found in India, known for its large size",A large bird of prey known for feeding on carrion (dead animals),A large bird of prey and the national bird of the United States,"B) A critically endangered bird found in India, known for its large size","The great Indian bustard is a critically endangered bird species found in India, among the heaviest flying birds.",Birds,Endangered Birds
What is the cuckoo?,A bird known for laying its eggs in the nests of other bird species,"A critically endangered bird found in India, known for its large size",A highly intelligent black bird found across most of the world,A large bird of prey and the national bird of the United States,A) A bird known for laying its eggs in the nests of other bird species,"The cuckoo is known for its distinctive call and its brood parasitism, laying eggs in the nests of other birds.",Birds,Bird Species
Which of the following best describes the cuckoo?,"A large, graceful water bird often associated with elegance","The fastest bird, known for its high-speed diving hunting technique",A bird known for laying its eggs in the nests of other bird species,A large bird of prey known for keen eyesight and powerful flight,C) A bird known for laying its eggs in the nests of other bird species,"The cuckoo is known for its distinctive call and its brood parasitism, laying eggs in the nests of other birds.",Birds,Bird Species
What is the emu?,A bird known for pecking holes in tree trunks with its strong beak,A large flightless bird native to Australia,"India's national bird, known for its colorful fan-like tail",A large bird of prey known for keen eyesight and powerful flight,B) A large flightless bird native to Australia,"The emu is a large flightless bird native to Australia, the second-largest living bird after the ostrich.",Birds,Flightless Birds
Which of the following best describes the emu?,"A flightless bird adapted for swimming, found mostly in the Southern Hemisphere",A bird known for laying its eggs in the nests of other bird species,"A small, common bird often found near human settlements",A large flightless bird native to Australia,D) A large flightless bird native to Australia,"The emu is a large flightless bird native to Australia, the second-largest living bird after the ostrich.",Birds,Flightless Birds
What is the albatross?,An extinct flightless bird once native to the island of Mauritius,A large seabird with one of the longest wingspans of any bird,A bird that travels seasonally between breeding and non-breeding grounds,"The fastest bird, known for its high-speed diving hunting technique",B) A large seabird with one of the longest wingspans of any bird,The albatross is a large seabird known for having one of the longest wingspans of any living bird species.,Birds,Bird Records
Which of the following best describes the albatross?,A large bird of prey known for keen eyesight and powerful flight,"A tropical bird known for its large, colorful beak","A critically endangered bird found in India, known for its large size",A large seabird with one of the longest wingspans of any bird,D) A large seabird with one of the longest wingspans of any bird,The albatross is a large seabird known for having one of the longest wingspans of any living bird species.,Birds,Bird Records
What is the peregrine falcon?,A wading bird known for its pink feathers and long legs,"The fastest bird, known for its high-speed diving hunting technique",A flightless bird native to New Zealand with a long beak,A large water bird known for its distinctive throat pouch,"B) The fastest bird, known for its high-speed diving hunting technique","The peregrine falcon is the fastest bird in the world, capable of diving at speeds over 300 km/h while hunting.",Birds,Bird Records
Which of the following best describes the peregrine falcon?,"The fastest bird, known for its high-speed diving hunting technique",A large bird of prey known for keen eyesight and powerful flight,"A critically endangered bird found in India, known for its large size",A wading bird known for its pink feathers and long legs,"A) The fastest bird, known for its high-speed diving hunting technique","The peregrine falcon is the fastest bird in the world, capable of diving at speeds over 300 km/h while hunting.",Birds,Bird Records
What is the mynah?,A common Indian bird known for its ability to mimic sounds,"The largest living bird species, which is flightless",A bird that travels seasonally between breeding and non-breeding grounds,A large bird of prey and the national bird of the United States,A) A common Indian bird known for its ability to mimic sounds,"The mynah is a bird commonly found in India, known for its intelligence and ability to mimic sounds and speech.",Birds,Indian Birds
Which of the following best describes the mynah?,A common Indian bird known for its ability to mimic sounds,A bird that travels seasonally between breeding and non-breeding grounds,A bird known for laying its eggs in the nests of other bird species,"India's national bird, known for its colorful fan-like tail",A) A common Indian bird known for its ability to mimic sounds,"The mynah is a bird commonly found in India, known for its intelligence and ability to mimic sounds and speech.",Birds,Indian Birds
Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
What is the vulture?,A migratory bird species that historically wintered in parts of India,A large bird of prey known for feeding on carrion (dead animals),A common bird known for its cooing sound and use in message-carrying historically,A common coastal bird often seen near oceans and large bodies of water,B) A large bird of prey known for feeding on carrion (dead animals),The vulture is a large bird of prey known for scavenging and feeding primarily on carrion.,Birds,Birds of Prey
Choose the correct definition of the swallow.,An extinct flightless bird once native to the island of Mauritius,"A large, graceful water bird often associated with elegance","A small migratory bird known for its fast, agile flight","India's national bird, known for its colorful fan-like tail","C) A small migratory bird known for its fast, agile flight","The swallow is a small bird known for its fast and agile flight, and many species are known for seasonal migration.",Birds,Migratory Birds
Which of the following best describes the sparrow?,"A small, common bird often found near human settlements",A large bird of prey and the national bird of the United States,A structure built by birds to lay eggs and raise their young,A brightly colored bird known for diving to catch fish,"A) A small, common bird often found near human settlements","The sparrow is a small bird species commonly found near human settlements, known for its brown and grey plumage.",Birds,Indian Birds
Choose the correct definition of the vulture's role in ecosystems.,A structure built by birds to lay eggs and raise their young,"Vultures help ecosystems by cleaning up carcasses, preventing disease spread",A migratory bird species that historically wintered in parts of India,A tiny bird known for its ability to hover and fly backward,"B) Vultures help ecosystems by cleaning up carcasses, preventing disease spread","Vultures play an important ecological role by consuming carcasses quickly, which helps prevent the spread of disease.",Birds,Bird Facts
Choose the correct definition of the Siberian crane.,A migratory bird species that historically wintered in parts of India,A large flightless bird native to Australia,A large bird of prey and the national bird of the United States,A large seabird with one of the longest wingspans of any bird,A) A migratory bird species that historically wintered in parts of India,"The Siberian crane is a migratory bird species that historically traveled long distances, wintering in wetlands including parts of India.",Birds,Migratory Birds
What is the parrot?,A colorful bird known for its ability to mimic human speech,A nocturnal bird of prey known for its ability to rotate its head widely,A long-legged wading bird often found near water,A large bird of prey known for keen eyesight and powerful flight,A) A colorful bird known for its ability to mimic human speech,"The parrot is a colorful bird species known for its intelligence and ability to mimic sounds, including human speech.",Birds,Bird Species
Which statement correctly explains the heron?,A flightless bird native to New Zealand with a long beak,"India's national bird, known for its colorful fan-like tail",A long-legged wading bird often found near water,A bird's beak is shaped according to its diet and feeding habits,C) A long-legged wading bird often found near water,"The heron is a long-legged wading bird commonly found near rivers, lakes, and wetlands, hunting fish and small animals.",Birds,Bird Habitats
What is the vulture's role in ecosystems?,An extinct flightless bird once native to the island of Mauritius,"Vultures help ecosystems by cleaning up carcasses, preventing disease spread",A common coastal bird often seen near oceans and large bodies of water,A large bird of prey known for feeding on carrion (dead animals),"B) Vultures help ecosystems by cleaning up carcasses, preventing disease spread","Vultures play an important ecological role by consuming carcasses quickly, which helps prevent the spread of disease.",Birds,Bird Facts
What is the barn owl?,A structure built by birds to lay eggs and raise their young,A brightly colored bird known for diving to catch fish,A pale-colored owl species known for its heart-shaped facial disc,"A tropical bird known for its large, colorful beak",C) A pale-colored owl species known for its heart-shaped facial disc,The barn owl is a pale-colored owl species easily recognized by its distinctive heart-shaped facial disc.,Birds,Birds of Prey
Choose the correct definition of the sparrow.,"A small, common bird often found near human settlements",A bird known for laying its eggs in the nests of other bird species,An extinct flightless bird once native to the island of Mauritius,"A flightless bird adapted for swimming, found mostly in the Southern Hemisphere","A) A small, common bird often found near human settlements","The sparrow is a small bird species commonly found near human settlements, known for its brown and grey plumage.",Birds,Indian Birds
Which of the following best describes the vulture?,A large bird of prey known for feeding on carrion (dead animals),"A brightly colored bird, the state bird of several Indian states",A common coastal bird often seen near oceans and large bodies of water,"A flightless bird adapted for swimming, found mostly in the Southern Hemisphere",A) A large bird of prey known for feeding on carrion (dead animals),The vulture is a large bird of prey known for scavenging and feeding primarily on carrion.,Birds,Birds of Prey
Choose the correct definition of the sunbird.,"A small, brightly colored bird known for feeding on nectar","A tropical bird known for its large, colorful beak","The largest living bird species, which is flightless","A large, graceful water bird often associated with elegance","A) A small, brightly colored bird known for feeding on nectar","The sunbird is a small, often iridescent bird known for feeding on nectar, similar in role to hummingbirds.",Birds,Indian Birds
Which of the following best describes the hornbill?,"A large, graceful water bird often associated with elegance",A bird's beak is shaped according to its diet and feeding habits,"India's national bird, known for its colorful fan-like tail","A bird known for its large, curved bill, often with a casque on top","D) A bird known for its large, curved bill, often with a casque on top","The hornbill is a bird known for its large, curved bill, often topped with a bony structure called a casque.",Birds,Bird Species
Choose the correct definition of bird migration.,A nocturnal bird of prey known for its ability to rotate its head widely,The seasonal movement of birds between breeding and non-breeding areas,A large flightless bird native to Australia,A common Indian bird known for its ability to mimic sounds,B) The seasonal movement of birds between breeding and non-breeding areas,Bird migration is the regular seasonal movement of birds between their breeding grounds and non-breeding (wintering) grounds.,Birds,Migratory Birds
What is the parrot?,A bird that travels seasonally between breeding and non-breeding grounds,A colorful bird known for its ability to mimic human speech,"The fastest bird, known for its high-speed diving hunting technique",A migratory bird species that historically wintered in parts of India,B) A colorful bird known for its ability to mimic human speech,"The parrot is a colorful bird species known for its intelligence and ability to mimic sounds, including human speech.",Birds,Bird Species
Which statement correctly explains the kiwi (bird)?,An extinct flightless bird once native to the island of Mauritius,A large bird of prey and the national bird of the United States,A flightless bird native to New Zealand with a long beak,A wading bird known for its pink feathers and long legs,C) A flightless bird native to New Zealand with a long beak,"The kiwi is a flightless bird native to New Zealand, known for its long beak and nocturnal habits.",Birds,Flightless Birds
What is the hawk?,The layer of feathers covering a bird's body,A bird known for laying its eggs in the nests of other bird species,A medium to large bird of prey known for keen eyesight and hunting skill,A structure built by birds to lay eggs and raise their young,C) A medium to large bird of prey known for keen eyesight and hunting skill,The hawk is a bird of prey known for its keen eyesight and skill in hunting small animals.,Birds,Birds of Prey
Which statement correctly explains the Siberian crane?,A migratory bird species that historically wintered in parts of India,The layer of feathers covering a bird's body,A common Indian bird known for its ability to mimic sounds,A highly intelligent black bird found across most of the world,A) A migratory bird species that historically wintered in parts of India,"The Siberian crane is a migratory bird species that historically traveled long distances, wintering in wetlands including parts of India.",Birds,Migratory Birds
Choose the correct definition of the cassowary.,"A tropical bird known for its large, colorful beak",A common bird known for its cooing sound and use in message-carrying historically,A migratory bird species that historically wintered in parts of India,"A large flightless bird native to Australia and New Guinea, known for a bony head crest","D) A large flightless bird native to Australia and New Guinea, known for a bony head crest","The cassowary is a large flightless bird native to tropical forests of Australia and New Guinea, known for its bony head crest.",Birds,Flightless Birds
Which option best explains the meaning of the peacock?,A brightly colored bird known for diving to catch fish,"India's national bird, known for its colorful fan-like tail",A large bird of prey known for feeding on carrion (dead animals),"A large, graceful water bird often associated with elegance","B) India's national bird, known for its colorful fan-like tail","The peacock is India's national bird, famous for the male's iridescent, fan-shaped tail feathers.",Birds,Indian Birds
the peregrine falcon can be best defined as which of the following?,A fast-flying bird of prey known for its hunting speed and agility,"The largest living bird species, which is flightless",A long-legged wading bird often found near water,"The fastest bird, known for its high-speed diving hunting technique","D) The fastest bird, known for its high-speed diving hunting technique","The peregrine falcon is the fastest bird in the world, capable of diving at speeds over 300 km/h while hunting.",Birds,Bird Records
Which statement correctly explains the barn owl?,A pale-colored owl species known for its heart-shaped facial disc,A bird known for pecking holes in tree trunks with its strong beak,A large bird of prey known for feeding on carrion (dead animals),"The largest living bird species, which is flightless",A) A pale-colored owl species known for its heart-shaped facial disc,The barn owl is a pale-colored owl species easily recognized by its distinctive heart-shaped facial disc.,Birds,Birds of Prey
Which of the following best describes the kingfisher?,A wading bird known for its pink feathers and long legs,"A bird known for its large, curved bill, often with a casque on top",A brightly colored bird known for diving to catch fish,A structure built by birds to lay eggs and raise their young,C) A brightly colored bird known for diving to catch fish,The kingfisher is a brightly colored bird known for its striking dives into water to catch fish.,Birds,Indian Birds
Which statement correctly explains the Indian roller?,"A small, common bird often found near human settlements",A bird known for pecking holes in tree trunks with its strong beak,"A brightly colored bird, the state bird of several Indian states",A common Indian bird known for its ability to mimic sounds,"C) A brightly colored bird, the state bird of several Indian states","The Indian roller is a brightly colored bird known for its striking blue plumage, and is the state bird of several Indian states.",Birds,Indian Birds
Which option best explains the meaning of the Siberian crane?,An extinct flightless bird once native to the island of Mauritius,"A small, brightly colored bird known for feeding on nectar",A highly intelligent black bird found across most of the world,A migratory bird species that historically wintered in parts of India,D) A migratory bird species that historically wintered in parts of India,"The Siberian crane is a migratory bird species that historically traveled long distances, wintering in wetlands including parts of India.",Birds,Migratory Birds
Which of the following best describes the dodo?,An extinct flightless bird once native to the island of Mauritius,A large seabird with one of the longest wingspans of any bird,A pale-colored owl species known for its heart-shaped facial disc,A common Indian bird known for its ability to mimic sounds,A) An extinct flightless bird once native to the island of Mauritius,The dodo was a flightless bird native to Mauritius that became extinct in the 17th century due to human activity.,Birds,Endangered Birds
Choose the correct definition of the bald eagle.,"Vultures help ecosystems by cleaning up carcasses, preventing disease spread",A colorful bird known for its ability to mimic human speech,"A critically endangered bird found in India, known for its large size",A large bird of prey and the national bird of the United States,D) A large bird of prey and the national bird of the United States,The bald eagle is a large bird of prey known for its white head and is the national bird of the United States.,Birds,Birds of Prey
Which of the following best describes the ostrich?,"A small migratory bird known for its fast, agile flight",A bird that travels seasonally between breeding and non-breeding grounds,An extinct flightless bird once native to the island of Mauritius,"The largest living bird species, which is flightless","D) The largest living bird species, which is flightless","The ostrich is the largest living bird species, unable to fly but capable of running very fast.",Birds,Flightless Birds
Which of the following best describes a bird nest?,A structure built by birds to lay eggs and raise their young,A tiny bird known for its ability to hover and fly backward,A colorful bird known for its ability to mimic human speech,An extinct flightless bird once native to the island of Mauritius,A) A structure built by birds to lay eggs and raise their young,"A bird nest is a structure built by birds, often from twigs and grass, used to lay eggs and raise chicks.",Birds,Bird Facts
the cassowary can be best defined as which of the following?,"A small, common bird often found near human settlements",A large wading bird with a long beak and legs,"A small, brightly colored bird known for feeding on nectar","A large flightless bird native to Australia and New Guinea, known for a bony head crest","D) A large flightless bird native to Australia and New Guinea, known for a bony head crest","The cassowary is a large flightless bird native to tropical forests of Australia and New Guinea, known for its bony head crest.",Birds,Flightless Birds
Which option best explains the meaning of the ostrich?,"The largest living bird species, which is flightless",A colorful bird known for its ability to mimic human speech,A common bird known for its cooing sound and use in message-carrying historically,A long-legged wading bird often found near water,"A) The largest living bird species, which is flightless","The ostrich is the largest living bird species, unable to fly but capable of running very fast.",Birds,Flightless Birds
Which option best explains the meaning of the parrot?,A highly intelligent black bird found across most of the world,A colorful bird known for its ability to mimic human speech,"A small migratory bird known for its fast, agile flight",A bird known for pecking holes in tree trunks with its strong beak,B) A colorful bird known for its ability to mimic human speech,"The parrot is a colorful bird species known for its intelligence and ability to mimic sounds, including human speech.",Birds,Bird Species
Choose the correct definition of the emu.,A common bird known for its cooing sound and use in message-carrying historically,A large bird of prey and the national bird of the United States,A large flightless bird native to Australia,"India's national bird, known for its colorful fan-like tail",C) A large flightless bird native to Australia,"The emu is a large flightless bird native to Australia, the second-largest living bird after the ostrich.",Birds,Flightless Birds
Which of the following best describes a bird's beak (adaptation)?,A bird known for pecking holes in tree trunks with its strong beak,A common Indian bird known for its ability to mimic sounds,A migratory bird species that historically wintered in parts of India,A bird's beak is shaped according to its diet and feeding habits,D) A bird's beak is shaped according to its diet and feeding habits,"A bird's beak shape is typically adapted to its specific diet, such as a hooked beak for tearing meat in birds of prey.",Birds,Bird Facts
Which statement correctly explains the woodpecker?,"A small, brightly colored bird known for feeding on nectar","The fastest bird, known for its high-speed diving hunting technique",A bird known for pecking holes in tree trunks with its strong beak,A fast-flying bird of prey known for its hunting speed and agility,C) A bird known for pecking holes in tree trunks with its strong beak,"The woodpecker uses its strong, chisel-like beak to peck holes in tree trunks, searching for insects.",Birds,Bird Species
