Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
"""ನಿದ್ರೆ"" ಪದದ ಅರ್ಥ ಏನು?",ಚಿಕಿತ್ಸಾಲಯ,ನಿದ್ದೆ,ಕಾಲ,ವಹಿವಾಟು,B) ನಿದ್ದೆ,"""ನಿದ್ರೆ"" ಪದದ ಅರ್ಥ ""ನಿದ್ದೆ"" ಆಗಿದೆ.",ಕನ್ನಡ,ಕನ್ನಡ ಅರ್ಥಗಳು
ಈ ಪ್ರಶ್ನೆಗೆ ಸರಿಯಾದ ಉತ್ತರ ಯಾವುದು: ಕರ್ನಾಟಕದ ಅಧಿಕೃತ ಭಾಷೆ ಯಾವುದು?,ಬ್ರಾಹ್ಮಿ ಲಿಪಿ,ಕನ್ನಡ,ದ್ರಾವಿಡ ಭಾಷಾ ಕುಟುಂಬ,ನವೆಂಬರ್ 1,B) ಕನ್ನಡ,ಕರ್ನಾಟಕ ರಾಜ್ಯದ ಅಧಿಕೃತ ಭಾಷೆ ಕನ್ನಡ.,ಕನ್ನಡ,ಕನ್ನಡ ಭಾಷಾ ಸಂಗತಿಗಳು
ಸರಿಯಾದ ಉತ್ತರವನ್ನು ಆರಿಸಿ: ಕನ್ನಡ ಭಾಷೆಗೆ ಜ್ಞಾನಪೀಠ ಪ್ರಶಸ್ತಿ ಪಡೆದ ಮೊದಲ ಸಾಹಿತಿ ಯಾರು?,ಕುಪ್ಪಳ್ಳಿ,1956,ಸತಿ ಸುಲೋಚನಾ,ಕುವೆಂಪು,D) ಕುವೆಂಪು,ಕುವೆಂಪು ಅವರು ಕನ್ನಡಕ್ಕೆ ಮೊದಲ ಜ್ಞಾನಪೀಠ ಪ್ರಶಸ್ತಿ ತಂದುಕೊಟ್ಟರು.,ಕನ್ನಡ,ಕನ್ನಡ ಸಾಮಾನ್ಯ ಜ್ಞಾನ
ಸರಿಯಾದ ಉತ್ತರವನ್ನು ಆರಿಸಿ: ಕರ್ನಾಟಕದಲ್ಲಿ ಒಟ್ಟು ಎಷ್ಟು ಜಿಲ್ಲೆಗಳಿವೆ?,ಬೆಳಗಾವಿ,ಮುಳ್ಳಯ್ಯನಗಿರಿ,ಮಂಗಳೂರು,ಮೂವತ್ತೊಂದು,D) ಮೂವತ್ತೊಂದು,ಕರ್ನಾಟಕದಲ್ಲಿ ಪ್ರಸ್ತುತ ಮೂವತ್ತೊಂದು ಜಿಲ್ಲೆಗಳಿವೆ.,ಕನ್ನಡ,ಕರ್ನಾಟಕ ಸಾಮಾನ್ಯ ಜ್ಞಾನ
990 + 978 = ಎಷ್ಟು?,2057,1968,1963,2060,B) 1968,990 + 978 = 1968.,ಕನ್ನಡ,ಗಣಿತ
ಸರಿಯಾದ ಉತ್ತರವನ್ನು ಆರಿಸಿ: ಮಾನವ ದೇಹದಲ್ಲಿ ರಕ್ತವನ್ನು ಪಂಪ್ ಮಾಡುವ ಅಂಗ ಯಾವುದು?,ಹೃದಯ,100°C,ಮಂಗಳ ಗ್ರಹ,ಸುಮಾರು 37°C,A) ಹೃದಯ,"ಹೃದಯವು ಒಂದು ಸ್ನಾಯುವಿನ ಅಂಗವಾಗಿದ್ದು, ಇದು ರಕ್ತವನ್ನು ದೇಹದಾದ್ಯಂತ ಪಂಪ್ ಮಾಡುತ್ತದೆ.",ಕನ್ನಡ,ವಿಜ್ಞಾನ
ಈ ಪ್ರಶ್ನೆಗೆ ಸರಿಯಾದ ಉತ್ತರ ಯಾವುದು: ಪ್ರಜಾಪ್ರಭುತ್ವ ಎಂದರೇನು?,ಭೂಮಿಯನ್ನು ಉತ್ತರ ಮತ್ತು ದಕ್ಷಿಣ ಗೋಳಾರ್ಧಗಳಾಗಿ ವಿಭಜಿಸುವ ಕಾಲ್ಪನಿಕ ರೇಖೆ,ಭಾರತೀಯ ಸಂಸತ್ತಿನ ಮೇಲ್ಮನೆ,ಭಾರತೀಯ ಸಂಸತ್ತಿನ ಕೆಳಮನೆ,ಜನರಿಂದ ಆಯ್ಕೆಯಾದ ಪ್ರತಿನಿಧಿಗಳ ಮೂಲಕ ಆಡಳಿತ ನಡೆಸುವ ವ್ಯವಸ್ಥೆ,D) ಜನರಿಂದ ಆಯ್ಕೆಯಾದ ಪ್ರತಿನಿಧಿಗಳ ಮೂಲಕ ಆಡಳಿತ ನಡೆಸುವ ವ್ಯವಸ್ಥೆ,ಪ್ರಜಾಪ್ರಭುತ್ವವು ಜನರಿಂದ ಆಯ್ಕೆಯಾದ ಪ್ರತಿನಿಧಿಗಳ ಮೂಲಕ ಆಡಳಿತ ನಡೆಸುವ ವ್ಯವಸ್ಥೆಯಾಗಿದೆ.,ಕನ್ನಡ,ಸಮಾಜ ವಿಜ್ಞಾನ
ಈ ಪ್ರಶ್ನೆಗೆ ಸರಿಯಾದ ಉತ್ತರ ಯಾವುದು: ವಿಶ್ವದ ಅತಿ ದೊಡ್ಡ ಖಂಡ ಯಾವುದು?,ಏಷ್ಯಾ,26 ಜನವರಿ 1950,ಮೌಂಟ್ ಎವರೆಸ್ಟ್,ನವಿಲು,A) ಏಷ್ಯಾ,ಏಷ್ಯಾ ವಿಸ್ತೀರ್ಣ ಮತ್ತು ಜನಸಂಖ್ಯೆಯಲ್ಲಿ ವಿಶ್ವದ ಅತಿ ದೊಡ್ಡ ಖಂಡವಾಗಿದೆ.,ಕನ್ನಡ,ಸಾಮಾನ್ಯ ಜ್ಞಾನ
10 ಮತ್ತು 15 ಇವುಗಳ ಲ.ಸಾ.ಅ (LCM) ಎಷ್ಟು?,27,30,35,28,B) 30,10 ಮತ್ತು 15 ರ ಲ.ಸಾ.ಅ = 30.,ಕನ್ನಡ,ಸಂಖ್ಯಾ ಪ್ರಶ್ನೆಗಳು
"ಈ ಮಾದರಿಯ ಮುಂದಿನ ಸಂಖ್ಯೆ ಯಾವುದು: 64, 81, 100, 121, ?",144,151,137,147,A) 144,ಇದು ಸತತ ವರ್ಗ ಸಂಖ್ಯೆಗಳ ಸರಣಿ. ಮುಂದಿನ ಸಂಖ್ಯೆ = 12² = 144.,ಕನ್ನಡ,ಸಂಖ್ಯಾ ಒಗಟುಗಳು
ಭಾರತದಲ್ಲಿ ಮೊಘಲ್ ಸಾಮ್ರಾಜ್ಯವನ್ನು ಸ್ಥಾಪಿಸಿದವರು ಯಾರು?,ಡಾ. ಬಿ. ಆರ್. ಅಂಬೇಡ್ಕರ್,ಷಹಜಹಾನ್,ಬಾಬರ್,ಮಹಾತ್ಮ ಗಾಂಧಿ,C) ಬಾಬರ್,ಬಾಬರ್ 1526 ರಲ್ಲಿ ಪಾಣಿಪತ್ ಮೊದಲ ಯುದ್ಧದಲ್ಲಿ ಇಬ್ರಾಹಿಂ ಲೋದಿಯನ್ನು ಸೋಲಿಸಿ ಮೊಘಲ್ ಸಾಮ್ರಾಜ್ಯ ಸ್ಥಾಪಿಸಿದರು.,ಕನ್ನಡ,ಭಾರತ ಇತಿಹಾಸ
ಸರಿಯಾದ ಉತ್ತರವನ್ನು ಆರಿಸಿ: ಬರ್ಲಿನ್ ಗೋಡೆ ಯಾವ ವರ್ಷ ಕುಸಿಯಿತು?,ಪ್ರಾಚೀನ ಈಜಿಪ್ಟ್,ಅಥೆನ್ಸ್,1989,ಬ್ರಿಟನ್,C) 1989,"ಬರ್ಲಿನ್ ಗೋಡೆ 1989 ರಲ್ಲಿ ಕುಸಿಯಿತು, ಇದು ಶೀತಲ ಸಮರದ ಅಂತ್ಯದ ಸಂಕೇತವಾಗಿತ್ತು.",ಕನ್ನಡ,ವಿಶ್ವ ಇತಿಹಾಸ
ಈ ಪ್ರಶ್ನೆಗೆ ಸರಿಯಾದ ಉತ್ತರ ಯಾವುದು: ಭಾರತದ ಸಂವಿಧಾನದಲ್ಲಿ ಈಗ ಎಷ್ಟು ಮೂಲಭೂತ ಹಕ್ಕುಗಳಿವೆ?,ಲೋಕಸಭೆ ಮತ್ತು ರಾಜ್ಯಸಭೆ,ದೇಶದ ನಾಮಮಾತ್ರ ಮುಖ್ಯಸ್ಥ,ಆರು,18 ವರ್ಷ,C) ಆರು,ಭಾರತದ ಸಂವಿಧಾನ ಮೂಲತಃ ಏಳು ಮೂಲಭೂತ ಹಕ್ಕುಗಳನ್ನು ನೀಡಿತ್ತು; ಆಸ್ತಿಯ ಹಕ್ಕನ್ನು ತೆಗೆದುಹಾಕಿದ ನಂತರ ಈಗ ಆರು ಇವೆ.,ಕನ್ನಡ,ಕಾನೂನು ಮತ್ತು ಸಂವಿಧಾನ
ಈ ಪ್ರಶ್ನೆಗೆ ಸರಿಯಾದ ಉತ್ತರ ಯಾವುದು: ಕನ್ನಡ ಚಿತ್ರರಂಗದಲ್ಲಿ ಅಂತರರಾಷ್ಟ್ರೀಯ ಮನ್ನಣೆ ಗಳಿಸಿದ ಚಿತ್ರ 'ಕೆಜಿಎಫ್' ಯಾವ ಪ್ರಕಾರದ ಚಿತ್ರವಾಗಿದೆ?,ಬೆಂಗಳೂರು,ಆ್ಯಕ್ಷನ್ ಚಿತ್ರ,ಸ್ಯಾಂಡಲ್‌ವುಡ್,ಅಂಬರೀಶ್,B) ಆ್ಯಕ್ಷನ್ ಚಿತ್ರ,"'ಕೆಜಿಎಫ್' ಒಂದು ದೊಡ್ಡ ಬಜೆಟ್‌ನ ಆ್ಯಕ್ಷನ್ ಚಿತ್ರವಾಗಿದ್ದು, ವ್ಯಾಪಕ ಜನಪ್ರಿಯತೆ ಗಳಿಸಿತು.",ಕನ್ನಡ,ಕನ್ನಡ ಚಿತ್ರರಂಗ
ಸರಿಯಾದ ಉತ್ತರವನ್ನು ಆರಿಸಿ: ಭಾರತದ ರಾಷ್ಟ್ರೀಯ ಪ್ರಾಣಿ ಯಾವುದು?,ಆನೆ,ಹುಲಿ,ಪಾಂಡಾ,ಜೇನುನೊಣ,B) ಹುಲಿ,ಬಂಗಾಳ ಹುಲಿಯನ್ನು ಭಾರತದ ರಾಷ್ಟ್ರೀಯ ಪ್ರಾಣಿಯಾಗಿ ಘೋಷಿಸಲಾಗಿದೆ.,ಕನ್ನಡ,ಪ್ರಾಣಿಗಳು
ಗಟ್ಟಿಯಾದ ಕೊಕ್ಕಿನಿಂದ ಮರದ ಕಾಂಡಕ್ಕೆ ಕುಟ್ಟುವ ಪಕ್ಷಿ ಯಾವುದು?,ಗೂಬೆ,ಮರಕುಟುಕ,ಪೆಂಗ್ವಿನ್,ಆಸ್ಟ್ರಿಚ್,B) ಮರಕುಟುಕ,ಮರಕುಟುಕ ತನ್ನ ಗಟ್ಟಿಯಾದ ಕೊಕ್ಕಿನಿಂದ ಮರದ ಕಾಂಡವನ್ನು ಕುಟ್ಟಿ ಕೀಟಗಳನ್ನು ಹುಡುಕುತ್ತದೆ.,ಕನ್ನಡ,ಪಕ್ಷಿಗಳು
ಭಾರತದ ರಾಷ್ಟ್ರೀಯ ಹೂವು ಯಾವುದು?,ಆಲದ ಮರ,ಕಮಲ,ಕಳ್ಳಿ,ಮೊಳಕೆಯೊಡೆಯುವಿಕೆ,B) ಕಮಲ,ಕಮಲ ಹೂವು ನೀರಿನಲ್ಲಿ ಬೆಳೆಯುತ್ತದೆ ಮತ್ತು ಭಾರತದ ರಾಷ್ಟ್ರೀಯ ಹೂವಾಗಿದೆ.,ಕನ್ನಡ,ಸಸ್ಯಗಳು
ಸರಿಯಾದ ಉತ್ತರವನ್ನು ಆರಿಸಿ: ಫ್ರಾನ್ಸ್ ದೇಶದ ರಾಜಧಾನಿ ಯಾವುದು?,ಕೈರೋ,ವಾಷಿಂಗ್ಟನ್ ಡಿ.ಸಿ.,ನವದೆಹಲಿ,ಪ್ಯಾರಿಸ್,D) ಪ್ಯಾರಿಸ್,ಪ್ಯಾರಿಸ್ ಫ್ರಾನ್ಸ್ ದೇಶದ ರಾಜಧಾನಿಯಾಗಿದೆ.,ಕನ್ನಡ,ದೇಶಗಳು ಮತ್ತು ರಾಜಧಾನಿಗಳು
ಪ್ರಶ್ನೆ: ಭೂಮಿಯ ಮೇಲಿನ ಅತಿ ಎತ್ತರದ ಪರ್ವತ ಶಿಖರ ಯಾವುದು?,ಮೌಂಟ್ ಎವರೆಸ್ಟ್,ಕಾಂಚನಜುಂಗಾ,ಪೆಸಿಫಿಕ್ ಸಾಗರ,ಗಂಗಾ ನದಿ,A) ಮೌಂಟ್ ಎವರೆಸ್ಟ್,ಮೌಂಟ್ ಎವರೆಸ್ಟ್ ವಿಶ್ವದ ಅತಿ ಎತ್ತರದ ಪರ್ವತ ಶಿಖರವಾಗಿದೆ.,ಕನ್ನಡ,ಭೂಗೋಳ
ಈ ಪ್ರಶ್ನೆಗೆ ಸರಿಯಾದ ಉತ್ತರ ಯಾವುದು: ಸೌರಮಂಡಲದಲ್ಲಿ ಅತಿ ದೊಡ್ಡ ಗ್ರಹ ಯಾವುದು?,ಚಂದ್ರ,ಗುರು ಗ್ರಹ,ಇಸ್ರೋ (ISRO),ಮಂಗಳಯಾನ,B) ಗುರು ಗ್ರಹ,ಗುರು ಗ್ರಹವು ಸೌರಮಂಡಲದಲ್ಲಿ ಅತಿ ದೊಡ್ಡ ಗ್ರಹವಾಗಿದೆ.,ಕನ್ನಡ,ಬಾಹ್ಯಾಕಾಶ ಮತ್ತು ಖಗೋಳಶಾಸ್ತ್ರ
ಸರಿಯಾದ ಉತ್ತರವನ್ನು ಆರಿಸಿ: ರೊಬಾಟಿಕ್ಸ್ ಎಂದರೇನು?,ರೋಬಾಟ್‌ಗಳ ವಿನ್ಯಾಸ ಮತ್ತು ಬಳಕೆಗೆ ಸಂಬಂಧಿಸಿದ ಕ್ಷೇತ್ರ,ಡಿಜಿಟಲ್ ಮಾದರಿಯಿಂದ ಪದರ ಪದರವಾಗಿ ವಸ್ತುಗಳನ್ನು ನಿರ್ಮಿಸುವ ತಂತ್ರಜ್ಞಾನ,ವೇಗವಾದ ಡೇಟಾ ವೇಗ ನೀಡುವ ಐದನೇ ತಲೆಮಾರಿನ ಮೊಬೈಲ್ ನೆಟ್‌ವರ್ಕ್ ತಂತ್ರಜ್ಞಾನ,ಮಾನವ ಬುದ್ಧಿಮತ್ತೆಯನ್ನು ಅನುಕರಿಸುವ ಯಂತ್ರಗಳ ಸಾಮರ್ಥ್ಯ,A) ರೋಬಾಟ್‌ಗಳ ವಿನ್ಯಾಸ ಮತ್ತು ಬಳಕೆಗೆ ಸಂಬಂಧಿಸಿದ ಕ್ಷೇತ್ರ,ರೊಬಾಟಿಕ್ಸ್ ಎಂಬುದು ಕಾರ್ಯಗಳನ್ನು ನಿರ್ವಹಿಸುವ ರೋಬಾಟ್‌ಗಳ ವಿನ್ಯಾಸ ಮತ್ತು ಬಳಕೆಗೆ ಸಂಬಂಧಿಸಿದ ತಂತ್ರಜ್ಞಾನ ಕ್ಷೇತ್ರ.,ಕನ್ನಡ,ತಂತ್ರಜ್ಞಾನ
ಸರಿಯಾದ ಉತ್ತರವನ್ನು ಆರಿಸಿ: ಕಂಪ್ಯೂಟರ್‌ನ ಎಲ್ಲಾ ಘಟಕಗಳನ್ನು ಸಂಪರ್ಕಿಸುವ ಮುಖ್ಯ ಸರ್ಕ್ಯೂಟ್ ಬೋರ್ಡ್ ಯಾವುದು?,RAM,ಆಪರೇಟಿಂಗ್ ಸಿಸ್ಟಂ,ಮದರ್‌ಬೋರ್ಡ್,ವೆಬ್ ಬ್ರೌಸರ್,C) ಮದರ್‌ಬೋರ್ಡ್,"ಮದರ್‌ಬೋರ್ಡ್ ಎಂಬುದು ಸಿಪಿಯು, ರಾಂ ಮತ್ತು ಇತರ ಘಟಕಗಳನ್ನು ಸಂಪರ್ಕಿಸುವ ಮುಖ್ಯ ಸರ್ಕ್ಯೂಟ್ ಬೋರ್ಡ್ ಆಗಿದೆ.",ಕನ್ನಡ,ಕಂಪ್ಯೂಟರ್ ಮೂಲಾಂಶಗಳು
ಫುಟ್‌ಬಾಲ್ ಪಂದ್ಯದಲ್ಲಿ ಪ್ರತಿ ತಂಡದಲ್ಲಿ ಎಷ್ಟು ಆಟಗಾರರಿರುತ್ತಾರೆ?,ಹನ್ನೊಂದು,ಆರು,ನಾಲ್ಕು ವರ್ಷಗಳಿಗೊಮ್ಮೆ,ಶಟಲ್‌ಕಾಕ್,A) ಹನ್ನೊಂದು,ಪ್ರತಿ ಫುಟ್‌ಬಾಲ್ ತಂಡವು ಮೈದಾನದಲ್ಲಿ ಹನ್ನೊಂದು ಆಟಗಾರರನ್ನು ಹೊಂದಿರುತ್ತದೆ.,ಕನ್ನಡ,ಕ್ರೀಡೆಗಳು
ಸರಿಯಾದ ಉತ್ತರವನ್ನು ಆರಿಸಿ: 1975ರ ಮೊದಲ ಕ್ರಿಕೆಟ್ ವಿಶ್ವಕಪ್ ಗೆದ್ದ ತಂಡ ಯಾವುದು?,ರೋಹಿತ್ ಶರ್ಮಾ,ವೆಸ್ಟ್ ಇಂಡೀಸ್,ಡಕ್,ಇಪ್ಪತ್ತು,B) ವೆಸ್ಟ್ ಇಂಡೀಸ್,ವೆಸ್ಟ್ ಇಂಡೀಸ್ 1975 ರಲ್ಲಿ ಆಸ್ಟ್ರೇಲಿಯಾ ವಿರುದ್ಧ ಮೊದಲ ಕ್ರಿಕೆಟ್ ವಿಶ್ವಕಪ್ ಫೈನಲ್ ಗೆದ್ದಿತು.,ಕನ್ನಡ,ಕ್ರಿಕೆಟ್
ಮೈಕ್ರೋಸಾಫ್ಟ್ ಕಂಪನಿಯನ್ನು ಸ್ಥಾಪಿಸಿದವರು ಯಾರು?,ಸಚಿನ್ ತೆಂಡೂಲ್ಕರ್,ಮಹಾತ್ಮ ಗಾಂಧಿ,ಇಂದಿರಾ ಗಾಂಧಿ,ಬಿಲ್ ಗೇಟ್ಸ್ ಮತ್ತು ಪಾಲ್ ಅಲೆನ್,D) ಬಿಲ್ ಗೇಟ್ಸ್ ಮತ್ತು ಪಾಲ್ ಅಲೆನ್,ಬಿಲ್ ಗೇಟ್ಸ್ ಮತ್ತು ಪಾಲ್ ಅಲೆನ್ 1975 ರಲ್ಲಿ ಮೈಕ್ರೋಸಾಫ್ಟ್ ಸ್ಥಾಪಿಸಿದರು.,ಕನ್ನಡ,ಪ್ರಸಿದ್ಧ ವ್ಯಕ್ತಿಗಳು
ಭೂಮಿಯ ಸರಾಸರಿ ತಾಪಮಾನ ದೀರ್ಘಕಾಲದಿಂದ ಏರುತ್ತಿರುವ ವಿದ್ಯಮಾನಕ್ಕೆ ಏನೆಂದು ಕರೆಯುತ್ತಾರೆ?,ಜಾಗತಿಕ ತಾಪಮಾನ ಏರಿಕೆ,ಅರಣ್ಯನಾಶ,ಸೌರ ಶಕ್ತಿ,ವಾಯು ಮಾಲಿನ್ಯ,A) ಜಾಗತಿಕ ತಾಪಮಾನ ಏರಿಕೆ,ಜಾಗತಿಕ ತಾಪಮಾನ ಏರಿಕೆ ಎಂಬುದು ಭೂಮಿಯ ಸರಾಸರಿ ಮೇಲ್ಮೈ ತಾಪಮಾನದಲ್ಲಿ ದೀರ್ಘಕಾಲೀನ ಏರಿಕೆಯಾಗಿದೆ.,ಕನ್ನಡ,ಪರಿಸರ
ಈ ಪ್ರಶ್ನೆಗೆ ಸರಿಯಾದ ಉತ್ತರ ಯಾವುದು: ಮಾನವ ದೇಹದ ಸಾಮಾನ್ಯ ಸರಾಸರಿ ತಾಪಮಾನ ಎಷ್ಟು?,ಸುಮಾರು 37°C,ಪ್ಲೇಟ್‌ಲೆಟ್‌ಗಳು,ಹೃದಯ,ಬಿಳಿ ರಕ್ತ ಕಣಗಳು,A) ಸುಮಾರು 37°C,ಮಾನವ ದೇಹದ ಸಾಮಾನ್ಯ ಸರಾಸರಿ ತಾಪಮಾನ ಸುಮಾರು 37°C ಆಗಿದೆ.,ಕನ್ನಡ,ಆರೋಗ್ಯ ಮತ್ತು ಮಾನವ ದೇಹ
ಪ್ರಶ್ನೆ: ಕರ್ನಾಟಕ ಏಕೀಕರಣ ಚಳುವಳಿಯ ಮುಖ್ಯ ಗುರಿ ಏನಾಗಿತ್ತು?,ಕನ್ನಡ ಮಾತನಾಡುವ ಪ್ರದೇಶಗಳ ಏಕೀಕರಣ,ಮೈಸೂರು,ಬಾದಾಮಿ,ಬೇಲೂರು ಮತ್ತು ಹಳೇಬೀಡು,A) ಕನ್ನಡ ಮಾತನಾಡುವ ಪ್ರದೇಶಗಳ ಏಕೀಕರಣ,ಕರ್ನಾಟಕ ಏಕೀಕರಣ ಚಳುವಳಿಯು ವಿವಿಧ ಆಡಳಿತ ಪ್ರದೇಶಗಳಲ್ಲಿ ಹಂಚಿಹೋಗಿದ್ದ ಕನ್ನಡ ಮಾತನಾಡುವ ಪ್ರದೇಶಗಳನ್ನು ಒಂದುಗೂಡಿಸುವ ಗುರಿ ಹೊಂದಿತ್ತು.,ಕನ್ನಡ,ಕರ್ನಾಟಕ ಇತಿಹಾಸ
