Which of the following best describes transpiration?,The part of a plant that absorbs water and nutrients from soil,"A plant adapted to survive in dry, arid environments",The process by which plants lose water vapor through their leaves,"A tree that sheds its leaves seasonally, usually in autumn",C) The process by which plants lose water vapor through their leaves,Transpiration is the process by which water evaporates from a plant's leaves through small pores called stomata.,Plants,Plant Biology
What is a seed?,"India's national flower, which grows in water",The transfer of pollen from a male part to a female part of a flower,"A plant adapted to survive in dry, arid environments",A small embryonic plant enclosed in a protective outer covering,D) A small embryonic plant enclosed in a protective outer covering,"A seed is an embryonic plant enclosed in a protective coat, capable of developing into a new plant under the right conditions.",Plants,Plant Biology
Which of the following best describes a seed?,"India's national tree, known for its aerial roots",A small embryonic plant enclosed in a protective outer covering,A plant used for its therapeutic or healing properties,"A plant adapted to survive in dry, arid environments",B) A small embryonic plant enclosed in a protective outer covering,"A seed is an embryonic plant enclosed in a protective coat, capable of developing into a new plant under the right conditions.",Plants,Plant Biology
Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
Which statement correctly explains the cactus?,An evergreen coniferous tree with needle-like leaves,"A plant adapted to store water, commonly found in deserts",A bulb vegetable known for its strong flavor and layered structure,A tall flower known for turning to face the sun,"B) A plant adapted to store water, commonly found in deserts",The cactus is a desert plant adapted to store water in its thick stems and often has spines instead of leaves.,Plants,Plant Habitats
the jasmine can be best defined as which of the following?,A fragrant white flower often used in garlands and perfumes,A large deciduous tree known for its acorns and strong wood,"A commonly grown orange or yellow flower, popular in Indian festivals and decorations",A medicinal plant used in traditional Indian (Ayurvedic) medicine,A) A fragrant white flower often used in garlands and perfumes,"Jasmine is a fragrant white flowering plant commonly used in garlands, perfumes, and traditional ceremonies.",Plants,Flowers
Which of the following best describes the marigold?,"A plant adapted to survive in dry, arid environments",A large deciduous tree known for its acorns and strong wood,"A commonly grown orange or yellow flower, popular in Indian festivals and decorations",Plant tissue that transports food (sugars) produced by photosynthesis,"C) A commonly grown orange or yellow flower, popular in Indian festivals and decorations","The marigold is a widely grown orange or yellow flower, especially popular for garlands and decorations in Indian festivals.",Plants,Flowers
Which statement correctly explains banana?,A fragrant white flower often used in garlands and perfumes,The transfer of pollen from a male part to a female part of a flower,A widely consumed tropical fruit known for its elongated shape and yellow peel,"A plant adapted to store water, commonly found in deserts",C) A widely consumed tropical fruit known for its elongated shape and yellow peel,The banana is a widely consumed tropical fruit known for its elongated shape and yellow peel when ripe.,Plants,Fruits
Choose the correct definition of a seed.,A root system made up of many thin roots of similar size,Oxygen is released as a byproduct of the photosynthesis process,A small embryonic plant enclosed in a protective outer covering,"A single, thick main root that grows straight down",C) A small embryonic plant enclosed in a protective outer covering,"A seed is an embryonic plant enclosed in a protective coat, capable of developing into a new plant under the right conditions.",Plants,Plant Biology
phloem can be best defined as which of the following?,Plant tissue that transports water and minerals from roots to other parts,A starchy root vegetable that grows underground,A root system made up of many thin roots of similar size,Plant tissue that transports food (sugars) produced by photosynthesis,D) Plant tissue that transports food (sugars) produced by photosynthesis,Phloem is plant vascular tissue that transports the sugars produced during photosynthesis to other parts of the plant.,Plants,Plant Biology
Which option best explains the meaning of the carrot?,A root vegetable known for its orange color and high vitamin A content,A tall flower known for turning to face the sun,"A large, sacred fig tree native to the Indian subcontinent",A tropical fruit and India's national fruit,A) A root vegetable known for its orange color and high vitamin A content,The carrot is a root vegetable known for its typically orange color and its high content of vitamin A precursors.,Plants,Vegetables
What is the hibiscus?,The process by which a seed develops into a new plant,The part of a plant that supports leaves and flowers and transports nutrients,A starchy root vegetable that grows underground,"A large, colorful flowering plant common in tropical gardens","D) A large, colorful flowering plant common in tropical gardens","The hibiscus is a large, colorful flowering plant commonly grown in tropical and subtropical gardens.",Plants,Flowers
Which statement correctly explains the potato?,The transfer of pollen from a male part to a female part of a flower,"The mature, seed-bearing part of a flowering plant",Tiny pores on a leaf's surface that allow gas exchange,A starchy root vegetable that grows underground,D) A starchy root vegetable that grows underground,"The potato is a starchy vegetable that grows underground as a tuber, a key staple food worldwide.",Plants,Vegetables
Choose the correct definition of the oak tree.,A large deciduous tree known for its acorns and strong wood,A succulent plant known for its gel used in skin care and healing,"A single, thick main root that grows straight down",Plant tissue that transports food (sugars) produced by photosynthesis,A) A large deciduous tree known for its acorns and strong wood,"The oak tree is a large deciduous tree known for producing acorns and for its strong, durable wood.",Plants,Trees
Which of the following best describes tulsi (holy basil)?,"A plant adapted to store water, commonly found in deserts","A medicinal tree native to India, valued for its antibacterial properties","India's national flower, which grows in water",A medicinal and sacred plant commonly grown in Indian households,D) A medicinal and sacred plant commonly grown in Indian households,"Tulsi, or holy basil, is a medicinal plant considered sacred in India and commonly grown in households.",Plants,Medicinal Plants
What is tulsi (holy basil)?,A medicinal and sacred plant commonly grown in Indian households,"A single, thick main root that grows straight down",A root vegetable known for its orange color and high vitamin A content,"A plant adapted to survive in dry, arid environments",A) A medicinal and sacred plant commonly grown in Indian households,"Tulsi, or holy basil, is a medicinal plant considered sacred in India and commonly grown in households.",Plants,Medicinal Plants
Which statement correctly explains aloe vera?,"A medicinal tree native to India, valued for its antibacterial properties","The mature, seed-bearing part of a flowering plant",A succulent plant known for its gel used in skin care and healing,The reproductive structure of a flowering plant,C) A succulent plant known for its gel used in skin care and healing,"Aloe vera is a succulent plant known for its gel-filled leaves, commonly used in skin care and traditional healing.",Plants,Medicinal Plants
Which of the following best describes chlorophyll?,The green pigment in plants responsible for absorbing light for photosynthesis,The transfer of pollen from a male part to a female part of a flower,A tropical tree known for producing coconuts,A medicinal and sacred plant commonly grown in Indian households,A) The green pigment in plants responsible for absorbing light for photosynthesis,Chlorophyll is the green pigment found in plant cells that absorbs light energy for photosynthesis.,Plants,Photosynthesis
the sunflower can be best defined as which of the following?,Oxygen is released as a byproduct of the photosynthesis process,The process by which a seed develops into a new plant,"A medicinal tree native to India, valued for its antibacterial properties",A tall flower known for turning to face the sun,D) A tall flower known for turning to face the sun,The sunflower is known for its large bloom and the way young flower heads track the sun's movement across the sky.,Plants,Flowers
an apple (fruit) can be best defined as which of the following?,A plant adapted to grow in water or very wet conditions,A common fruit that grows on a temperate-climate tree,"A medicinal tree native to India, valued for its antibacterial properties",A tropical fruit and India's national fruit,B) A common fruit that grows on a temperate-climate tree,The apple is a common fruit grown on trees typically suited to temperate climates.,Plants,Fruits
Which of the following best describes a leaf?,A tree that retains its leaves throughout the year,The part of a plant that absorbs water and nutrients from soil,The part of a plant primarily responsible for photosynthesis,A flowering plant whose seeds typically have a single embryonic leaf,C) The part of a plant primarily responsible for photosynthesis,"Leaves are the primary site of photosynthesis in most plants, capturing sunlight to produce food.",Plants,Plant Biology
What is a chloroplast?,The plant cell organelle where photosynthesis takes place,A medicinal plant used in traditional Indian (Ayurvedic) medicine,An evergreen coniferous tree with needle-like leaves,A bulb vegetable known for its strong flavor and layered structure,A) The plant cell organelle where photosynthesis takes place,"A chloroplast is the organelle within plant cells where photosynthesis occurs, containing chlorophyll.",Plants,Photosynthesis
Which statement correctly explains the onion?,A bulb vegetable known for its strong flavor and layered structure,The reproductive structure of a flowering plant,A common fruit that grows on a temperate-climate tree,A tropical tree known for producing coconuts,A) A bulb vegetable known for its strong flavor and layered structure,The onion is a bulb vegetable known for its pungent flavor and characteristic layered internal structure.,Plants,Vegetables
Choose the correct definition of the coconut palm.,A widely consumed tropical fruit known for its elongated shape and yellow peel,A large deciduous tree known for its acorns and strong wood,A medicinal and sacred plant commonly grown in Indian households,A tropical tree known for producing coconuts,D) A tropical tree known for producing coconuts,"The coconut palm is a tropical tree that produces coconuts, valuable for their water, flesh, and oil.",Plants,Trees
Which statement correctly explains a deciduous tree?,A common fruit that grows on a temperate-climate tree,A succulent plant known for its gel used in skin care and healing,"The mature, seed-bearing part of a flowering plant","A tree that sheds its leaves seasonally, usually in autumn","D) A tree that sheds its leaves seasonally, usually in autumn","A deciduous tree sheds all of its leaves seasonally, typically during autumn, to conserve resources.",Plants,Trees
What is a vegetable?,"An edible part of a plant, such as its leaves, stems, or roots",The part of a plant that supports leaves and flowers and transports nutrients,A flowering plant whose seeds typically have two embryonic leaves,The reproductive structure of a flowering plant,"A) An edible part of a plant, such as its leaves, stems, or roots","A vegetable is an edible plant part, such as leaves, stems, or roots, typically eaten as part of a meal.",Plants,Vegetables
xylem can be best defined as which of the following?,"A large, sacred fig tree native to the Indian subcontinent",A large deciduous tree known for its acorns and strong wood,A widely consumed tropical fruit known for its elongated shape and yellow peel,Plant tissue that transports water and minerals from roots to other parts,D) Plant tissue that transports water and minerals from roots to other parts,Xylem is plant vascular tissue responsible for transporting water and dissolved minerals upward from the roots.,Plants,Plant Biology
Choose the correct definition of a flower.,A bulb vegetable known for its strong flavor and layered structure,The reproductive structure of a flowering plant,"A commonly grown orange or yellow flower, popular in Indian festivals and decorations",A common fruit that grows on a temperate-climate tree,B) The reproductive structure of a flowering plant,"A flower is the reproductive structure of a flowering plant, often involved in attracting pollinators.",Plants,Flowers
Which statement correctly explains photosynthesis?,The process by which plants use sunlight to make food from carbon dioxide and water,"A medicinal tree native to India, valued for its antibacterial properties",A fragrant white flower often used in garlands and perfumes,A starchy root vegetable that grows underground,A) The process by which plants use sunlight to make food from carbon dioxide and water,"Photosynthesis is the process by which plants convert sunlight, water, and carbon dioxide into glucose and oxygen.",Plants,Photosynthesis
Which option best explains the meaning of the lotus?,"A fragrant tree native to India, valued for its aromatic wood","A plant adapted to store water, commonly found in deserts",A tropical tree known for producing coconuts,"India's national flower, which grows in water","D) India's national flower, which grows in water","The lotus, India's national flower, grows in water and is a symbol of purity in Indian culture.",Plants,Flowers
Which option best explains the meaning of the hibiscus?,A widely consumed tropical fruit known for its elongated shape and yellow peel,"A large, colorful flowering plant common in tropical gardens",The part of a plant that absorbs water and nutrients from soil,A flowering plant whose seeds typically have two embryonic leaves,"B) A large, colorful flowering plant common in tropical gardens","The hibiscus is a large, colorful flowering plant commonly grown in tropical and subtropical gardens.",Plants,Flowers
Choose the correct definition of the cactus.,"A plant adapted to store water, commonly found in deserts",A tropical fruit and India's national fruit,A widely cultivated flower known for its fragrance and thorny stem,The process by which a seed develops into a new plant,"A) A plant adapted to store water, commonly found in deserts",The cactus is a desert plant adapted to store water in its thick stems and often has spines instead of leaves.,Plants,Plant Habitats
aloe vera can be best defined as which of the following?,A widely consumed tropical fruit known for its elongated shape and yellow peel,A succulent plant known for its gel used in skin care and healing,A medicinal and sacred plant commonly grown in Indian households,"An edible part of a plant, such as its leaves, stems, or roots",B) A succulent plant known for its gel used in skin care and healing,"Aloe vera is a succulent plant known for its gel-filled leaves, commonly used in skin care and traditional healing.",Plants,Medicinal Plants
a herb can be best defined as which of the following?,"A plant valued for its flavor, scent, or medicinal properties, typically with a soft stem",A small embryonic plant enclosed in a protective outer covering,A tall flower known for turning to face the sun,A starchy root vegetable that grows underground,"A) A plant valued for its flavor, scent, or medicinal properties, typically with a soft stem","A herb is a plant valued for its flavor, fragrance, or medicinal properties, usually having a soft, non-woody stem.",Plants,Medicinal Plants
Which of the following best describes a stoma (plural: stomata)?,The part of a plant that absorbs water and nutrients from soil,A tropical fruit and India's national fruit,Tiny pores on a leaf's surface that allow gas exchange,The process by which a seed develops into a new plant,C) Tiny pores on a leaf's surface that allow gas exchange,"A stoma is a tiny pore on the surface of a leaf that allows gases, like carbon dioxide and oxygen, to move in and out.",Plants,Photosynthesis
What is banana?,A root vegetable known for its orange color and high vitamin A content,A plant adapted to grow in water or very wet conditions,A medicinal and sacred plant commonly grown in Indian households,A widely consumed tropical fruit known for its elongated shape and yellow peel,D) A widely consumed tropical fruit known for its elongated shape and yellow peel,The banana is a widely consumed tropical fruit known for its elongated shape and yellow peel when ripe.,Plants,Fruits
Choose the correct definition of a root.,A fragrant white flower often used in garlands and perfumes,The part of a plant that absorbs water and nutrients from soil,The part of a plant primarily responsible for photosynthesis,A flowering plant whose seeds typically have two embryonic leaves,B) The part of a plant that absorbs water and nutrients from soil,Roots are the part of a plant that anchor it in soil and absorb water and nutrients.,Plants,Plant Biology
Which statement correctly explains an apple (fruit)?,A plant adapted to grow in water or very wet conditions,A flowering plant whose seeds typically have a single embryonic leaf,A tall flower known for turning to face the sun,A common fruit that grows on a temperate-climate tree,D) A common fruit that grows on a temperate-climate tree,The apple is a common fruit grown on trees typically suited to temperate climates.,Plants,Fruits
Which statement correctly explains xylem?,"A tree that sheds its leaves seasonally, usually in autumn",Plant tissue that transports water and minerals from roots to other parts,"India's national flower, which grows in water",A plant adapted to grow in water or very wet conditions,B) Plant tissue that transports water and minerals from roots to other parts,Xylem is plant vascular tissue responsible for transporting water and dissolved minerals upward from the roots.,Plants,Plant Biology
