Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
What is the function of white blood cells?,To transport nutrients,To help blood clot,To help fight infections and diseases,To carry oxygen,C) To help fight infections and diseases,"White blood cells are part of the immune system, helping the body fight off infections and diseases.",Health & Human Body,Blood
How many bones are there in an adult human body?,201,206,210,195,B) 206,An adult human skeleton typically has 206 bones.,Health & Human Body,Skeleton
"Which part of the human body controls thought, memory, and emotion?",The spinal cord,The liver,The brain,The heart,C) The brain,"The brain is the control center of the nervous system, responsible for thought, memory, and emotion.",Health & Human Body,Brain
What is the largest bone in the human body?,The tibia,The humerus,The femur (thigh bone),The skull,C) The femur (thigh bone),"The femur, or thigh bone, is the longest and strongest bone in the human body.",Health & Human Body,Skeleton
Which blood type is known as the 'universal donor'?,O negative,AB positive,A positive,B negative,A) O negative,"O negative blood lacks antigens that trigger immune reactions, making it safe to donate to most blood types.",Health & Human Body,Blood
What is the function of red blood cells?,To digest food,To fight infection,To carry oxygen throughout the body,To help blood clot,C) To carry oxygen throughout the body,"Red blood cells contain hemoglobin, which binds oxygen and transports it to tissues throughout the body.",Health & Human Body,Blood
Which nutrient is the body's main source of energy?,Carbohydrates,Vitamins,Water,Minerals,A) Carbohydrates,Carbohydrates are the body's primary and most readily available source of energy.,Health & Human Body,Nutrition
What is the function of the liver?,To store memories,To pump blood,To filter toxins from the blood and aid digestion,To control breathing,C) To filter toxins from the blood and aid digestion,"The liver filters toxins from the blood, produces bile for digestion, and performs many metabolic functions.",Health & Human Body,Human Organs
What is the largest organ in the human body?,The brain,The skin,The heart,The liver,B) The skin,"The skin is the largest organ, covering and protecting the entire body.",Health & Human Body,Human Body Facts
Which system in the body breaks down food for energy?,The respiratory system,The circulatory system,The nervous system,The digestive system,D) The digestive system,The digestive system breaks down food into nutrients that the body can absorb and use for energy.,Health & Human Body,Digestive System
Which option correctly answers this: Which organ produces insulin to regulate blood sugar?,A diet that provides all essential nutrients in appropriate proportions,The pancreas,To carry oxygen throughout the body,Vitamin D,B) The pancreas,"The pancreas produces insulin, a hormone that regulates blood sugar levels.",Health & Human Body,Human Organs
Which option correctly answers this: What is the function of the muscular system?,The spine (vertebral column),The skin,To enable movement of the body and its parts,Diabetes,C) To enable movement of the body and its parts,"The muscular system enables movement of the body, including voluntary actions and involuntary functions like the heartbeat.",Health & Human Body,Muscular System
Quiz question: Which sense organ is primarily responsible for taste?,Carbohydrates,To allow gas exchange between air and blood in the lungs,The tongue,The small intestine,C) The tongue,"The tongue contains taste buds responsible for detecting different tastes, such as sweet, sour, salty, and bitter.",Health & Human Body,Sense Organs
Which option correctly answers this: What is a common example of a non-communicable disease?,Diabetes,206,To filter toxins from the blood and aid digestion,To help fight infections and diseases,A) Diabetes,"Diabetes is a non-communicable disease, meaning it does not spread from person to person like an infection.",Health & Human Body,Diseases
Which option correctly answers this: Which part of the digestive system primarily absorbs nutrients?,Kidneys,To allow gas exchange between air and blood in the lungs,The small intestine,Oxygen,C) The small intestine,The small intestine is the primary site for nutrient absorption in the digestive system.,Health & Human Body,Digestive System
Quiz question: Which blood type is known as the 'universal donor'?,O negative,To allow gas exchange between air and blood in the lungs,Diabetes,32,A) O negative,"O negative blood lacks antigens that trigger immune reactions, making it safe to donate to most blood types.",Health & Human Body,Blood
Which organ produces insulin to regulate blood sugar?,The cerebrum (particularly the cerebral cortex),To carry oxygen throughout the body,To allow gas exchange between air and blood in the lungs,The pancreas,D) The pancreas,"The pancreas produces insulin, a hormone that regulates blood sugar levels.",Health & Human Body,Human Organs
Choose the correct answer: Which vitamin deficiency is commonly associated with scurvy?,The spine (vertebral column),The digestive system,Vitamin C,The pancreas,C) Vitamin C,"A deficiency of Vitamin C can lead to scurvy, a disease causing fatigue and gum problems, among other symptoms.",Health & Human Body,Vitamins & Minerals
Choose the correct answer: Which sense organ is primarily responsible for smell?,The nose,Calcium,The digestive system,"To provide structure, support, and protection for the body",A) The nose,"The nose contains receptors responsible for detecting odors, enabling the sense of smell.",Health & Human Body,Sense Organs
What is the function of the muscular system?,To enable movement of the body and its parts,32,To carry oxygen throughout the body,60–100 bpm,A) To enable movement of the body and its parts,"The muscular system enables movement of the body, including voluntary actions and involuntary functions like the heartbeat.",Health & Human Body,Muscular System
Quiz question: Which mineral is essential for strong bones and teeth?,Calcium,Vitamin D,Heart,Four,A) Calcium,Calcium is a mineral essential for building and maintaining strong bones and teeth.,Health & Human Body,Vitamins & Minerals
Quiz question: What is the average number of teeth in a full adult human mouth?,To carry oxygen throughout the body,Calcium,32,Vitamin D,C) 32,"A full set of adult (permanent) teeth typically numbers 32, including wisdom teeth.",Health & Human Body,Human Body Facts
Quiz question: Which muscle is responsible for pumping blood in the circulatory system?,To allow gas exchange between air and blood in the lungs,The heart muscle (cardiac muscle),Diabetes,Heart,B) The heart muscle (cardiac muscle),"The heart is made of cardiac muscle, which contracts rhythmically to pump blood throughout the body.",Health & Human Body,Muscular System
Quiz question: What is a common example of a non-communicable disease?,The tongue,O negative,Diabetes,To help blood clot and stop bleeding,C) Diabetes,"Diabetes is a non-communicable disease, meaning it does not spread from person to person like an infection.",Health & Human Body,Diseases
What is a common example of a non-communicable disease?,The pancreas,Four,Diabetes,To help fight infections and diseases,C) Diabetes,"Diabetes is a non-communicable disease, meaning it does not spread from person to person like an infection.",Health & Human Body,Diseases
Choose the correct answer: What is the average number of teeth in a full adult human mouth?,The small intestine,32,The liver,The tongue,B) 32,"A full set of adult (permanent) teeth typically numbers 32, including wisdom teeth.",Health & Human Body,Human Body Facts
Which option correctly answers this: What is the main function of platelets in the blood?,Kidneys,The ears,To carry oxygen throughout the body,To help blood clot and stop bleeding,D) To help blood clot and stop bleeding,"Platelets help the blood clot, preventing excessive bleeding when a blood vessel is injured.",Health & Human Body,Blood
Quiz question: Which body system is responsible for breathing?,"To provide structure, support, and protection for the body",To filter toxins from the blood and aid digestion,The respiratory system,Vitamin D,C) The respiratory system,"The respiratory system, including the lungs, is responsible for breathing and gas exchange.",Health & Human Body,Respiratory System
What is the immune system responsible for?,To carry oxygen throughout the body,Kidneys,Four,Defending the body against pathogens and disease,D) Defending the body against pathogens and disease,"The immune system defends the body against harmful pathogens like bacteria, viruses, and other disease-causing agents.",Health & Human Body,Immune System
Choose the correct answer: Which blood type is known as the 'universal donor'?,A diet that provides all essential nutrients in appropriate proportions,Oxygen,To allow gas exchange between air and blood in the lungs,O negative,D) O negative,"O negative blood lacks antigens that trigger immune reactions, making it safe to donate to most blood types.",Health & Human Body,Blood
Choose the correct answer: What is a common example of a non-communicable disease?,Diabetes,Calcium,60–100 bpm,The nervous system,A) Diabetes,"Diabetes is a non-communicable disease, meaning it does not spread from person to person like an infection.",Health & Human Body,Diseases
Which option correctly answers this: What is the function of the liver?,The common cold,The small intestine,To filter toxins from the blood and aid digestion,To help blood clot and stop bleeding,C) To filter toxins from the blood and aid digestion,"The liver filters toxins from the blood, produces bile for digestion, and performs many metabolic functions.",Health & Human Body,Human Organs
Which option correctly answers this: Which organ is primarily responsible for detoxifying alcohol in the body?,The liver,"To help the immune system fight infections, including producing antibodies",The skin,The pancreas,A) The liver,"The liver metabolizes and detoxifies substances like alcohol, breaking them down for elimination from the body.",Health & Human Body,Human Organs
"Quiz question: Which part of the human body controls thought, memory, and emotion?",The ears,To help fight infections and diseases,The nervous system,The brain,D) The brain,"The brain is the control center of the nervous system, responsible for thought, memory, and emotion.",Health & Human Body,Brain
Choose the correct answer: What is the function of the muscular system?,To break down food using acid and enzymes,The spine (vertebral column),206,To enable movement of the body and its parts,D) To enable movement of the body and its parts,"The muscular system enables movement of the body, including voluntary actions and involuntary functions like the heartbeat.",Health & Human Body,Muscular System
Which option correctly answers this: Which part of the brain is primarily responsible for coordinating balance and movement?,To break down food using acid and enzymes,Calcium,"To provide structure, support, and protection for the body",The cerebellum,D) The cerebellum,"The cerebellum, located at the back of the brain, is primarily responsible for coordinating balance and fine motor movements.",Health & Human Body,Brain
Quiz question: Which blood type is known as the 'universal donor'?,A neuron,O negative,To allow gas exchange between air and blood in the lungs,The common cold,B) O negative,"O negative blood lacks antigens that trigger immune reactions, making it safe to donate to most blood types.",Health & Human Body,Blood
Which option correctly answers this: Which system in the body breaks down food for energy?,The brain,The respiratory system,The skin,The digestive system,D) The digestive system,The digestive system breaks down food into nutrients that the body can absorb and use for energy.,Health & Human Body,Digestive System
Which organ pumps blood throughout the human body?,Heart,To carry oxygen throughout the body,32,Diabetes,A) Heart,The heart is a muscular organ that pumps blood through the circulatory system.,Health & Human Body,Heart
Choose the correct answer: Which vitamin is essential for healthy bones and is produced through sunlight exposure?,The respiratory system,O negative,Vitamin D,Defending the body against pathogens and disease,C) Vitamin D,"Vitamin D helps the body absorb calcium, supporting healthy bones, and is synthesized in the skin from sunlight.",Health & Human Body,Vitamins & Minerals
Which part of the brain is primarily responsible for coordinating balance and movement?,Oxygen,The spine (vertebral column),To break down food using acid and enzymes,The cerebellum,D) The cerebellum,"The cerebellum, located at the back of the brain, is primarily responsible for coordinating balance and fine motor movements.",Health & Human Body,Brain
Which option correctly answers this: What is the basic unit of the nervous system called?,Heart,The common cold,Vitamin C,A neuron,D) A neuron,"A neuron is the basic functional unit of the nervous system, transmitting electrical and chemical signals.",Health & Human Body,Nervous System
Quiz question: What is the largest bone in the human body?,The nervous system,60–100 bpm,The spine (vertebral column),The femur (thigh bone),D) The femur (thigh bone),"The femur, or thigh bone, is the longest and strongest bone in the human body.",Health & Human Body,Skeleton
Which option correctly answers this: What is the function of the muscular system?,The tongue,To enable movement of the body and its parts,Four,The liver,B) To enable movement of the body and its parts,"The muscular system enables movement of the body, including voluntary actions and involuntary functions like the heartbeat.",Health & Human Body,Muscular System
Which part of the brain is primarily responsible for coordinating balance and movement?,The cerebellum,To allow gas exchange between air and blood in the lungs,To filter toxins from the blood and aid digestion,The heart muscle (cardiac muscle),A) The cerebellum,"The cerebellum, located at the back of the brain, is primarily responsible for coordinating balance and fine motor movements.",Health & Human Body,Brain
What is a common example of a communicable (infectious) disease?,Carbohydrates,The common cold,The femur (thigh bone),"To provide structure, support, and protection for the body",B) The common cold,"The common cold is a communicable disease caused by viruses, spreading from person to person.",Health & Human Body,Diseases
Quiz question: Which system controls and coordinates body activities using electrical signals?,The heart muscle (cardiac muscle),Four,To allow gas exchange between air and blood in the lungs,The nervous system,D) The nervous system,"The nervous system, including the brain and spinal cord, coordinates body activities using electrical signals.",Health & Human Body,Nervous System
Choose the correct answer: What is the normal average resting heart rate for adults (beats per minute)?,60–100 bpm,Carbohydrates,The femur (thigh bone),The cerebellum,A) 60–100 bpm,A normal resting heart rate for adults typically ranges from 60 to 100 beats per minute.,Health & Human Body,Heart
Which option correctly answers this: Which sense organ is primarily responsible for smell?,A neuron,To help blood clot and stop bleeding,The nose,To filter toxins from the blood and aid digestion,C) The nose,"The nose contains receptors responsible for detecting odors, enabling the sense of smell.",Health & Human Body,Sense Organs
Which option correctly answers this: What is the function of red blood cells?,The nose,Vitamin A,To carry oxygen throughout the body,To break down food using acid and enzymes,C) To carry oxygen throughout the body,"Red blood cells contain hemoglobin, which binds oxygen and transports it to tissues throughout the body.",Health & Human Body,Blood
What is the role of white blood cells called lymphocytes?,"To help the immune system fight infections, including producing antibodies",The respiratory system,A diet that provides all essential nutrients in appropriate proportions,The femur (thigh bone),"A) To help the immune system fight infections, including producing antibodies","Lymphocytes are a type of white blood cell that plays a key role in the immune response, including antibody production.",Health & Human Body,Immune System
Quiz question: What is a balanced diet?,The pancreas,The nervous system,The respiratory system,A diet that provides all essential nutrients in appropriate proportions,D) A diet that provides all essential nutrients in appropriate proportions,"A balanced diet includes an appropriate proportion of carbohydrates, proteins, fats, vitamins, and minerals needed for good health.",Health & Human Body,Nutrition
What is the main function of platelets in the blood?,The cerebrum (particularly the cerebral cortex),Four,To help blood clot and stop bleeding,The heart muscle (cardiac muscle),C) To help blood clot and stop bleeding,"Platelets help the blood clot, preventing excessive bleeding when a blood vessel is injured.",Health & Human Body,Blood
Which vitamin deficiency is commonly associated with scurvy?,The pancreas,The spine (vertebral column),Vitamin C,O negative,C) Vitamin C,"A deficiency of Vitamin C can lead to scurvy, a disease causing fatigue and gum problems, among other symptoms.",Health & Human Body,Vitamins & Minerals
Which option correctly answers this: What is the function of the human skeleton?,The skin,Kidneys,Diabetes,"To provide structure, support, and protection for the body","D) To provide structure, support, and protection for the body","The skeleton provides structural support for the body, protects internal organs, and enables movement alongside muscles.",Health & Human Body,Skeleton
Quiz question: How many bones are there in an adult human body?,The nose,Heart,206,Kidneys,C) 206,An adult human skeleton typically has 206 bones.,Health & Human Body,Skeleton
Quiz question: Which part of the brain is primarily responsible for coordinating balance and movement?,The cerebellum,To help blood clot and stop bleeding,The tongue,The nervous system,A) The cerebellum,"The cerebellum, located at the back of the brain, is primarily responsible for coordinating balance and fine motor movements.",Health & Human Body,Brain
Quiz question: How many bones are there in an adult human body?,Oxygen,206,The common cold,Diabetes,B) 206,An adult human skeleton typically has 206 bones.,Health & Human Body,Skeleton
Which part of the brain is primarily responsible for coordinating balance and movement?,"To provide structure, support, and protection for the body",32,The cerebellum,A neuron,C) The cerebellum,"The cerebellum, located at the back of the brain, is primarily responsible for coordinating balance and fine motor movements.",Health & Human Body,Brain
"Choose the correct answer: Which part of the brain is considered responsible for higher-level thinking, like reasoning?",The respiratory system,The tongue,"To help the immune system fight infections, including producing antibodies",The cerebrum (particularly the cerebral cortex),D) The cerebrum (particularly the cerebral cortex),"The cerebrum, especially its outer cortex, is associated with higher-level functions like reasoning, language, and voluntary movement.",Health & Human Body,Brain
Which nutrient is the body's main source of energy?,Carbohydrates,The skin,The eyes,The spine (vertebral column),A) Carbohydrates,Carbohydrates are the body's primary and most readily available source of energy.,Health & Human Body,Nutrition
How many bones are there in an adult human body?,The small intestine,Calcium,206,The nervous system,C) 206,An adult human skeleton typically has 206 bones.,Health & Human Body,Skeleton
Which vitamin deficiency is commonly associated with scurvy?,Vitamin C,Vitamin D,The common cold,Defending the body against pathogens and disease,A) Vitamin C,"A deficiency of Vitamin C can lead to scurvy, a disease causing fatigue and gum problems, among other symptoms.",Health & Human Body,Vitamins & Minerals
What is the function of the respiratory system's alveoli?,The femur (thigh bone),To allow gas exchange between air and blood in the lungs,To enable movement of the body and its parts,206,B) To allow gas exchange between air and blood in the lungs,Alveoli are tiny air sacs in the lungs where oxygen and carbon dioxide are exchanged between the air and the bloodstream.,Health & Human Body,Respiratory System
Which option correctly answers this: Which organ pumps blood throughout the human body?,Heart,206,To filter toxins from the blood and aid digestion,"To provide structure, support, and protection for the body",A) Heart,The heart is a muscular organ that pumps blood through the circulatory system.,Health & Human Body,Heart
Quiz question: What is the function of the human skeleton?,To enable movement of the body and its parts,The digestive system,The respiratory system,"To provide structure, support, and protection for the body","D) To provide structure, support, and protection for the body","The skeleton provides structural support for the body, protects internal organs, and enables movement alongside muscles.",Health & Human Body,Skeleton
Which organ is primarily responsible for detoxifying alcohol in the body?,To break down food using acid and enzymes,The ears,Four,The liver,D) The liver,"The liver metabolizes and detoxifies substances like alcohol, breaking them down for elimination from the body.",Health & Human Body,Human Organs
Quiz question: How many bones are there in an adult human body?,The small intestine,The brain,206,Heart,C) 206,An adult human skeleton typically has 206 bones.,Health & Human Body,Skeleton
Which option correctly answers this: What is a common example of a non-communicable disease?,206,Diabetes,To help blood clot and stop bleeding,The spine (vertebral column),B) Diabetes,"Diabetes is a non-communicable disease, meaning it does not spread from person to person like an infection.",Health & Human Body,Diseases
Choose the correct answer: What is a balanced diet?,The respiratory system,A diet that provides all essential nutrients in appropriate proportions,60–100 bpm,To filter toxins from the blood and aid digestion,B) A diet that provides all essential nutrients in appropriate proportions,"A balanced diet includes an appropriate proportion of carbohydrates, proteins, fats, vitamins, and minerals needed for good health.",Health & Human Body,Nutrition
Which vitamin is important for good vision and is found in foods like carrots?,Vitamin A,To enable movement of the body and its parts,The cerebellum,The ears,A) Vitamin A,Vitamin A supports healthy vision and is found in foods like carrots and other orange vegetables.,Health & Human Body,Vitamins & Minerals
Which organ is responsible for filtering waste from the blood?,The eyes,To allow gas exchange between air and blood in the lungs,Vitamin C,Kidneys,D) Kidneys,"The kidneys filter waste products and excess fluid from the blood, forming urine.",Health & Human Body,Human Organs
Which option correctly answers this: Which sense organ is primarily responsible for vision?,The eyes,The cerebellum,Calcium,"To provide structure, support, and protection for the body",A) The eyes,"The eyes are the primary sense organs responsible for vision, detecting light and converting it into neural signals.",Health & Human Body,Sense Organs
Which option correctly answers this: What is the function of white blood cells?,32,The cerebrum (particularly the cerebral cortex),To carry oxygen throughout the body,To help fight infections and diseases,D) To help fight infections and diseases,"White blood cells are part of the immune system, helping the body fight off infections and diseases.",Health & Human Body,Immune System
Which option correctly answers this: Which organ pumps blood throughout the human body?,The nervous system,Heart,The tongue,To carry oxygen throughout the body,B) Heart,The heart is a muscular organ that pumps blood through the circulatory system.,Health & Human Body,Heart
Quiz question: Which organ pumps blood throughout the human body?,To enable movement of the body and its parts,The eyes,The ears,Heart,D) Heart,The heart is a muscular organ that pumps blood through the circulatory system.,Health & Human Body,Heart
What is the medical term for the human backbone?,Carbohydrates,Oxygen,The spine (vertebral column),Vitamin D,C) The spine (vertebral column),"The spine, or vertebral column, is the series of bones that supports the body and protects the spinal cord.",Health & Human Body,Skeleton
Choose the correct answer: Which sense organ is primarily responsible for vision?,The eyes,Carbohydrates,The pancreas,Defending the body against pathogens and disease,A) The eyes,"The eyes are the primary sense organs responsible for vision, detecting light and converting it into neural signals.",Health & Human Body,Sense Organs
Quiz question: What is the basic unit of the nervous system called?,Four,The brain,A neuron,"To help the immune system fight infections, including producing antibodies",C) A neuron,"A neuron is the basic functional unit of the nervous system, transmitting electrical and chemical signals.",Health & Human Body,Nervous System
Which part of the brain is primarily responsible for coordinating balance and movement?,The cerebellum,The nose,Vitamin D,32,A) The cerebellum,"The cerebellum, located at the back of the brain, is primarily responsible for coordinating balance and fine motor movements.",Health & Human Body,Brain
What is the function of white blood cells?,To break down food using acid and enzymes,The common cold,The ears,To help fight infections and diseases,D) To help fight infections and diseases,"White blood cells are part of the immune system, helping the body fight off infections and diseases.",Health & Human Body,Immune System
Which option correctly answers this: What is the medical term for the human backbone?,To enable movement of the body and its parts,The liver,The cerebellum,The spine (vertebral column),D) The spine (vertebral column),"The spine, or vertebral column, is the series of bones that supports the body and protects the spinal cord.",Health & Human Body,Skeleton
Choose the correct answer: Which organ is responsible for filtering waste from the blood?,The brain,To help blood clot and stop bleeding,To break down food using acid and enzymes,Kidneys,D) Kidneys,"The kidneys filter waste products and excess fluid from the blood, forming urine.",Health & Human Body,Human Organs
Which muscle is responsible for pumping blood in the circulatory system?,To allow gas exchange between air and blood in the lungs,The heart muscle (cardiac muscle),The pancreas,206,B) The heart muscle (cardiac muscle),"The heart is made of cardiac muscle, which contracts rhythmically to pump blood throughout the body.",Health & Human Body,Muscular System
Quiz question: Which organ is primarily responsible for detoxifying alcohol in the body?,The nervous system,The respiratory system,The liver,The heart muscle (cardiac muscle),C) The liver,"The liver metabolizes and detoxifies substances like alcohol, breaking them down for elimination from the body.",Health & Human Body,Human Organs
Which option correctly answers this: What is the main function of platelets in the blood?,To help blood clot and stop bleeding,The skin,Heart,To break down food using acid and enzymes,A) To help blood clot and stop bleeding,"Platelets help the blood clot, preventing excessive bleeding when a blood vessel is injured.",Health & Human Body,Blood
Which option correctly answers this: What is the function of the human skeleton?,To help blood clot and stop bleeding,"To provide structure, support, and protection for the body",To enable movement of the body and its parts,A neuron,"B) To provide structure, support, and protection for the body","The skeleton provides structural support for the body, protects internal organs, and enables movement alongside muscles.",Health & Human Body,Skeleton
Choose the correct answer: Which vitamin is important for good vision and is found in foods like carrots?,"To help the immune system fight infections, including producing antibodies",Heart,Vitamin A,The heart muscle (cardiac muscle),C) Vitamin A,Vitamin A supports healthy vision and is found in foods like carrots and other orange vegetables.,Health & Human Body,Vitamins & Minerals
Which option correctly answers this: What is the normal average resting heart rate for adults (beats per minute)?,Vitamin D,The eyes,The nervous system,60–100 bpm,D) 60–100 bpm,A normal resting heart rate for adults typically ranges from 60 to 100 beats per minute.,Health & Human Body,Heart
Quiz question: What is the largest organ in the human body?,The skin,The ears,The femur (thigh bone),To allow gas exchange between air and blood in the lungs,A) The skin,"The skin is the largest organ, covering and protecting the entire body.",Health & Human Body,Human Body Facts
Which option correctly answers this: Which muscle is responsible for pumping blood in the circulatory system?,The eyes,The cerebrum (particularly the cerebral cortex),The heart muscle (cardiac muscle),The common cold,C) The heart muscle (cardiac muscle),"The heart is made of cardiac muscle, which contracts rhythmically to pump blood throughout the body.",Health & Human Body,Muscular System
Choose the correct answer: Which sense organ is responsible for hearing?,Vitamin A,The common cold,The small intestine,The ears,D) The ears,The ears are the sense organs responsible for detecting sound waves and enabling hearing.,Health & Human Body,Sense Organs
Choose the correct answer: How many chambers does the human heart have?,The femur (thigh bone),The cerebellum,The nervous system,Four,D) Four,The human heart has four chambers: two atria and two ventricles.,Health & Human Body,Heart
Choose the correct answer: Which muscle is responsible for pumping blood in the circulatory system?,The heart muscle (cardiac muscle),Diabetes,To allow gas exchange between air and blood in the lungs,The ears,A) The heart muscle (cardiac muscle),"The heart is made of cardiac muscle, which contracts rhythmically to pump blood throughout the body.",Health & Human Body,Muscular System
Which option correctly answers this: What is the role of white blood cells called lymphocytes?,"To help the immune system fight infections, including producing antibodies",Diabetes,The respiratory system,A neuron,"A) To help the immune system fight infections, including producing antibodies","Lymphocytes are a type of white blood cell that plays a key role in the immune response, including antibody production.",Health & Human Body,Immune System
Which option correctly answers this: Which vitamin deficiency is commonly associated with scurvy?,Vitamin C,The ears,The brain,The heart muscle (cardiac muscle),A) Vitamin C,"A deficiency of Vitamin C can lead to scurvy, a disease causing fatigue and gum problems, among other symptoms.",Health & Human Body,Vitamins & Minerals
Choose the correct answer: Which sense organ is primarily responsible for vision?,The eyes,Vitamin D,Carbohydrates,Four,A) The eyes,"The eyes are the primary sense organs responsible for vision, detecting light and converting it into neural signals.",Health & Human Body,Sense Organs
Which option correctly answers this: Which blood type is known as the 'universal donor'?,Defending the body against pathogens and disease,O negative,Vitamin C,The femur (thigh bone),B) O negative,"O negative blood lacks antigens that trigger immune reactions, making it safe to donate to most blood types.",Health & Human Body,Blood
Quiz question: Which vitamin is essential for healthy bones and is produced through sunlight exposure?,Vitamin D,To help blood clot and stop bleeding,To enable movement of the body and its parts,Oxygen,A) Vitamin D,"Vitamin D helps the body absorb calcium, supporting healthy bones, and is synthesized in the skin from sunlight.",Health & Human Body,Vitamins & Minerals
Choose the correct answer: What is the function of the respiratory system's alveoli?,The nose,The skin,The liver,To allow gas exchange between air and blood in the lungs,D) To allow gas exchange between air and blood in the lungs,Alveoli are tiny air sacs in the lungs where oxygen and carbon dioxide are exchanged between the air and the bloodstream.,Health & Human Body,Respiratory System
Quiz question: What is the main function of platelets in the blood?,A diet that provides all essential nutrients in appropriate proportions,To help blood clot and stop bleeding,The digestive system,The eyes,B) To help blood clot and stop bleeding,"Platelets help the blood clot, preventing excessive bleeding when a blood vessel is injured.",Health & Human Body,Blood
Quiz question: Which vitamin deficiency is commonly associated with scurvy?,Vitamin C,206,"To help the immune system fight infections, including producing antibodies",Calcium,A) Vitamin C,"A deficiency of Vitamin C can lead to scurvy, a disease causing fatigue and gum problems, among other symptoms.",Health & Human Body,Vitamins & Minerals
Which sense organ is primarily responsible for smell?,The nose,To break down food using acid and enzymes,The femur (thigh bone),A neuron,A) The nose,"The nose contains receptors responsible for detecting odors, enabling the sense of smell.",Health & Human Body,Sense Organs
Which organ pumps blood throughout the human body?,Heart,Oxygen,60–100 bpm,The skin,A) Heart,The heart is a muscular organ that pumps blood through the circulatory system.,Health & Human Body,Heart
Quiz question: What is the medical term for the human backbone?,"To provide structure, support, and protection for the body",To allow gas exchange between air and blood in the lungs,The spine (vertebral column),Heart,C) The spine (vertebral column),"The spine, or vertebral column, is the series of bones that supports the body and protects the spinal cord.",Health & Human Body,Skeleton
Choose the correct answer: Which organ is primarily responsible for detoxifying alcohol in the body?,Four,The liver,Oxygen,Vitamin D,B) The liver,"The liver metabolizes and detoxifies substances like alcohol, breaking them down for elimination from the body.",Health & Human Body,Human Organs
Quiz question: Which system controls and coordinates body activities using electrical signals?,Four,The skin,60–100 bpm,The nervous system,D) The nervous system,"The nervous system, including the brain and spinal cord, coordinates body activities using electrical signals.",Health & Human Body,Nervous System
Which option correctly answers this: What is the role of the digestive system's stomach?,To break down food using acid and enzymes,The digestive system,The pancreas,To help blood clot and stop bleeding,A) To break down food using acid and enzymes,The stomach breaks down food using digestive acids and enzymes before it moves into the small intestine.,Health & Human Body,Digestive System
