Which of the following best describes Santorini?,A steep-sided canyon carved by the Colorado River in the United States,Ancient Egyptian pyramid structures located near Cairo,"An Indonesian island known for its beaches, temples, and rice terraces",A famous Greek island known for its white buildings and blue domes,D) A famous Greek island known for its white buildings and blue domes,"Santorini is a Greek island in the Aegean Sea, famous for its white-washed buildings and blue-domed churches.",Travel & Tourism,Famous Cities
What is the Grand Canyon?,A steep-sided canyon carved by the Colorado River in the United States,A famous performing arts venue with a distinctive sail-like design in Australia,A Japanese city known for its historic temples and traditional culture,"A hill station in West Bengal, India, famous for its tea gardens",A) A steep-sided canyon carved by the Colorado River in the United States,"The Grand Canyon, in Arizona, USA, is a vast canyon carved over millions of years by the Colorado River.",Travel & Tourism,National Parks
Which of the following best describes the Grand Canyon?,"A white marble mausoleum in Agra, India, built by Shah Jahan","A network of interconnected canals, lakes, and lagoons in southern India",A steep-sided canyon carved by the Colorado River in the United States,An Italian city famous for its canals instead of roads,C) A steep-sided canyon carved by the Colorado River in the United States,"The Grand Canyon, in Arizona, USA, is a vast canyon carved over millions of years by the Colorado River.",Travel & Tourism,National Parks
What is the Great Barrier Reef?,"One of the oldest continuously inhabited cities, located on the Ganges in India",A group of waterfalls on the border of the United States and Canada,"The world's largest coral reef system, located off Australia","The largest tropical rainforest in the world, located mainly in Brazil","C) The world's largest coral reef system, located off Australia","The Great Barrier Reef, off the coast of Queensland, Australia, is the world's largest coral reef system.",Travel & Tourism,Beaches
Which of the following best describes the Great Barrier Reef?,A Japanese city known for its historic temples and traditional culture,"The world's largest coral reef system, located off Australia","A large temple complex in Cambodia, originally built as a Hindu temple","A mountain range popular for trekking, mountaineering, and hill stations","B) The world's largest coral reef system, located off Australia","The Great Barrier Reef, off the coast of Queensland, Australia, is the world's largest coral reef system.",Travel & Tourism,Beaches
What is Venice?,A large statue located on Liberty Island in New York Harbor,"The largest tropical rainforest in the world, located mainly in Brazil",An Italian city famous for its canals instead of roads,A famous bell tower in Italy known for its unintended tilt,C) An Italian city famous for its canals instead of roads,"Venice, Italy, is famous for being built on a series of islands connected by canals instead of roads.",Travel & Tourism,Famous Cities
Which of the following best describes Venice?,A large statue located on Liberty Island in New York Harbor,An Italian city famous for its canals instead of roads,A group of waterfalls on the border of the United States and Canada,"The largest tropical rainforest in the world, located mainly in Brazil",B) An Italian city famous for its canals instead of roads,"Venice, Italy, is famous for being built on a series of islands connected by canals instead of roads.",Travel & Tourism,Famous Cities
What is Kyoto?,A famous Greek island known for its white buildings and blue domes,"A mountain range popular for trekking, mountaineering, and hill stations","A famous art museum in Paris, home to the Mona Lisa",A Japanese city known for its historic temples and traditional culture,D) A Japanese city known for its historic temples and traditional culture,"Kyoto, Japan, is renowned for its numerous historic temples, shrines, and traditional Japanese gardens.",Travel & Tourism,Famous Cities
Which of the following best describes Kyoto?,"A mountain range popular for trekking, mountaineering, and hill stations",A Japanese city known for its historic temples and traditional culture,"A city in Rajasthan, India, known as the 'Pink City'","A network of interconnected canals, lakes, and lagoons in southern India",B) A Japanese city known for its historic temples and traditional culture,"Kyoto, Japan, is renowned for its numerous historic temples, shrines, and traditional Japanese gardens.",Travel & Tourism,Famous Cities
What is the Sydney Opera House?,"A mountain range popular for trekking, mountaineering, and hill stations",A landmark or area recognized by UNESCO as having outstanding cultural or natural value,A famous performing arts venue with a distinctive sail-like design in Australia,"A network of interconnected canals, lakes, and lagoons in southern India",C) A famous performing arts venue with a distinctive sail-like design in Australia,"The Sydney Opera House, in Australia, is a famous performing arts venue recognized for its unique sail-shaped design.",Travel & Tourism,Famous Landmarks
Which of the following best describes the Sydney Opera House?,A famous bell tower in Italy known for its unintended tilt,A Japanese city known for its historic temples and traditional culture,"An ancient amphitheater located in Rome, Italy",A famous performing arts venue with a distinctive sail-like design in Australia,D) A famous performing arts venue with a distinctive sail-like design in Australia,"The Sydney Opera House, in Australia, is a famous performing arts venue recognized for its unique sail-shaped design.",Travel & Tourism,Famous Landmarks
What is Dubai?,"A network of interconnected canals, lakes, and lagoons in southern India",An Italian city famous for its canals instead of roads,An ancient city in Jordan famous for its rock-cut architecture,"A city in the UAE known for its modern skyscrapers, including the Burj Khalifa","D) A city in the UAE known for its modern skyscrapers, including the Burj Khalifa","Dubai, in the United Arab Emirates, is known for its ultra-modern skyline, including the Burj Khalifa, the world's tallest building.",Travel & Tourism,Famous Cities
Which of the following best describes Dubai?,"A city in the UAE known for its modern skyscrapers, including the Burj Khalifa","Japan's highest and most famous mountain, considered sacred","A white marble mausoleum in Agra, India, built by Shah Jahan","A hill station in West Bengal, India, famous for its tea gardens","A) A city in the UAE known for its modern skyscrapers, including the Burj Khalifa","Dubai, in the United Arab Emirates, is known for its ultra-modern skyline, including the Burj Khalifa, the world's tallest building.",Travel & Tourism,Famous Cities
What is Petra?,"A famous art museum in Paris, home to the Mona Lisa","A large temple complex in Cambodia, originally built as a Hindu temple",An ancient city in Jordan famous for its rock-cut architecture,"A popular hill station in Himachal Pradesh, India",C) An ancient city in Jordan famous for its rock-cut architecture,"Petra, in Jordan, is an ancient city famous for its elaborate structures carved directly into rose-colored rock.",Travel & Tourism,Famous Landmarks
Which of the following best describes Petra?,Ancient Egyptian pyramid structures located near Cairo,An ancient city in Jordan famous for its rock-cut architecture,"A hill station in West Bengal, India, famous for its tea gardens",An ancient series of walls and fortifications in northern China,B) An ancient city in Jordan famous for its rock-cut architecture,"Petra, in Jordan, is an ancient city famous for its elaborate structures carved directly into rose-colored rock.",Travel & Tourism,Famous Landmarks
What is Kerala backwaters?,"A hill station in West Bengal, India, famous for its tea gardens",A landmark or area recognized by UNESCO as having outstanding cultural or natural value,"A network of interconnected canals, lakes, and lagoons in southern India","An Indonesian island known for its beaches, temples, and rice terraces","C) A network of interconnected canals, lakes, and lagoons in southern India","The Kerala backwaters are a network of interconnected canals, lakes, and lagoons in Kerala, India, popular for houseboat tourism.",Travel & Tourism,Indian Tourist Places
Which of the following best describes Kerala backwaters?,"A popular hill station in Himachal Pradesh, India",A steep-sided canyon carved by the Colorado River in the United States,A landmark or area recognized by UNESCO as having outstanding cultural or natural value,"A network of interconnected canals, lakes, and lagoons in southern India","D) A network of interconnected canals, lakes, and lagoons in southern India","The Kerala backwaters are a network of interconnected canals, lakes, and lagoons in Kerala, India, popular for houseboat tourism.",Travel & Tourism,Indian Tourist Places
What is Jaipur?,A group of waterfalls on the border of the United States and Canada,A coastal Indian state known for its beaches and Portuguese heritage,"A mountain range popular for trekking, mountaineering, and hill stations","A city in Rajasthan, India, known as the 'Pink City'","D) A city in Rajasthan, India, known as the 'Pink City'","Jaipur, the capital of Rajasthan, is known as the 'Pink City' for the color of its historic buildings.",Travel & Tourism,Indian Tourist Places
Which of the following best describes Jaipur?,An Italian city famous for its canals instead of roads,"A popular hill station in Himachal Pradesh, India","A city in Rajasthan, India, known as the 'Pink City'","A city in the UAE known for its modern skyscrapers, including the Burj Khalifa","C) A city in Rajasthan, India, known as the 'Pink City'","Jaipur, the capital of Rajasthan, is known as the 'Pink City' for the color of its historic buildings.",Travel & Tourism,Indian Tourist Places
What is Goa?,An ancient city in Jordan famous for its rock-cut architecture,A coastal Indian state known for its beaches and Portuguese heritage,"A popular hill station in Himachal Pradesh, India","One of the oldest continuously inhabited cities, located on the Ganges in India",B) A coastal Indian state known for its beaches and Portuguese heritage,"Goa, on India's western coast, is known for its beaches, nightlife, and Portuguese colonial architecture.",Travel & Tourism,Beaches
Which of the following best describes Goa?,A Japanese city known for its historic temples and traditional culture,"An iron lattice tower located in Paris, France",A landmark or area recognized by UNESCO as having outstanding cultural or natural value,A coastal Indian state known for its beaches and Portuguese heritage,D) A coastal Indian state known for its beaches and Portuguese heritage,"Goa, on India's western coast, is known for its beaches, nightlife, and Portuguese colonial architecture.",Travel & Tourism,Beaches
What is the Himalayas (as a tourist destination)?,"An ancient amphitheater located in Rome, Italy","An Indonesian island known for its beaches, temples, and rice terraces","A mountain range popular for trekking, mountaineering, and hill stations",A large statue located on Liberty Island in New York Harbor,"C) A mountain range popular for trekking, mountaineering, and hill stations","The Himalayas are a major tourist destination in India and neighboring countries, popular for trekking and hill stations.",Travel & Tourism,Hill Stations
Which of the following best describes the Himalayas (as a tourist destination)?,A large statue located on Liberty Island in New York Harbor,"An iron lattice tower located in Paris, France",An ancient city in Jordan famous for its rock-cut architecture,"A mountain range popular for trekking, mountaineering, and hill stations","D) A mountain range popular for trekking, mountaineering, and hill stations","The Himalayas are a major tourist destination in India and neighboring countries, popular for trekking and hill stations.",Travel & Tourism,Hill Stations
What is UNESCO World Heritage Site?,A landmark or area recognized by UNESCO as having outstanding cultural or natural value,"A city in the UAE known for its modern skyscrapers, including the Burj Khalifa","A mountain range popular for trekking, mountaineering, and hill stations","An iron lattice tower located in Paris, France",A) A landmark or area recognized by UNESCO as having outstanding cultural or natural value,"A UNESCO World Heritage Site is a place recognized by UNESCO for having outstanding cultural, historical, or natural significance.",Travel & Tourism,UNESCO Sites
Which of the following best describes UNESCO World Heritage Site?,An ancient city in Jordan famous for its rock-cut architecture,A landmark or area recognized by UNESCO as having outstanding cultural or natural value,A Japanese city known for its historic temples and traditional culture,An Italian city famous for its canals instead of roads,B) A landmark or area recognized by UNESCO as having outstanding cultural or natural value,"A UNESCO World Heritage Site is a place recognized by UNESCO for having outstanding cultural, historical, or natural significance.",Travel & Tourism,UNESCO Sites
What is Bali?,A famous bell tower in Italy known for its unintended tilt,"A network of interconnected canals, lakes, and lagoons in southern India","An Indonesian island known for its beaches, temples, and rice terraces",A Japanese city known for its historic temples and traditional culture,"C) An Indonesian island known for its beaches, temples, and rice terraces","Bali, Indonesia, is a popular tourist island known for its beaches, Hindu temples, and scenic rice terraces.",Travel & Tourism,Beaches
Which of the following best describes Bali?,"A city in Rajasthan, India, known as the 'Pink City'",An ancient series of walls and fortifications in northern China,"A large temple complex in Cambodia, originally built as a Hindu temple","An Indonesian island known for its beaches, temples, and rice terraces","D) An Indonesian island known for its beaches, temples, and rice terraces","Bali, Indonesia, is a popular tourist island known for its beaches, Hindu temples, and scenic rice terraces.",Travel & Tourism,Beaches
What is the Louvre?,"A network of interconnected canals, lakes, and lagoons in southern India","A famous art museum in Paris, home to the Mona Lisa","One of the oldest continuously inhabited cities, located on the Ganges in India","A large temple complex in Cambodia, originally built as a Hindu temple","B) A famous art museum in Paris, home to the Mona Lisa","The Louvre, in Paris, France, is one of the world's largest art museums, home to the Mona Lisa.",Travel & Tourism,Famous Landmarks
Which of the following best describes the Louvre?,"A hill station in West Bengal, India, famous for its tea gardens","A popular hill station in Himachal Pradesh, India","An ancient amphitheater located in Rome, Italy","A famous art museum in Paris, home to the Mona Lisa","D) A famous art museum in Paris, home to the Mona Lisa","The Louvre, in Paris, France, is one of the world's largest art museums, home to the Mona Lisa.",Travel & Tourism,Famous Landmarks
What is Angkor Wat?,"Japan's highest and most famous mountain, considered sacred","A large temple complex in Cambodia, originally built as a Hindu temple","A white marble mausoleum in Agra, India, built by Shah Jahan",A landmark or area recognized by UNESCO as having outstanding cultural or natural value,"B) A large temple complex in Cambodia, originally built as a Hindu temple","Angkor Wat, in Cambodia, is a massive temple complex originally constructed as a Hindu temple in the 12th century.",Travel & Tourism,Monuments
Which of the following best describes Angkor Wat?,"A famous art museum in Paris, home to the Mona Lisa","A white marble mausoleum in Agra, India, built by Shah Jahan","A mountain range popular for trekking, mountaineering, and hill stations","A large temple complex in Cambodia, originally built as a Hindu temple","D) A large temple complex in Cambodia, originally built as a Hindu temple","Angkor Wat, in Cambodia, is a massive temple complex originally constructed as a Hindu temple in the 12th century.",Travel & Tourism,Monuments
What is the Amazon Rainforest?,"A popular hill station in Himachal Pradesh, India","The largest tropical rainforest in the world, located mainly in Brazil","An ancient amphitheater located in Rome, Italy",An ancient Inca citadel located in the Andes Mountains of Peru,"B) The largest tropical rainforest in the world, located mainly in Brazil","The Amazon Rainforest, located mainly in Brazil, is the largest tropical rainforest in the world, known for its biodiversity.",Travel & Tourism,National Parks
Which of the following best describes the Amazon Rainforest?,"A white marble mausoleum in Agra, India, built by Shah Jahan","The largest tropical rainforest in the world, located mainly in Brazil","A large temple complex in Cambodia, originally built as a Hindu temple","The world's largest coral reef system, located off Australia","B) The largest tropical rainforest in the world, located mainly in Brazil","The Amazon Rainforest, located mainly in Brazil, is the largest tropical rainforest in the world, known for its biodiversity.",Travel & Tourism,National Parks
What is Shimla?,"A popular hill station in Himachal Pradesh, India",A famous bell tower in Italy known for its unintended tilt,"An iron lattice tower located in Paris, France",A group of waterfalls on the border of the United States and Canada,"A) A popular hill station in Himachal Pradesh, India","Shimla, in Himachal Pradesh, is a popular Indian hill station known for its colonial architecture and cool climate.",Travel & Tourism,Hill Stations
Which of the following best describes Shimla?,"A network of interconnected canals, lakes, and lagoons in southern India",A group of waterfalls on the border of the United States and Canada,A steep-sided canyon carved by the Colorado River in the United States,"A popular hill station in Himachal Pradesh, India","D) A popular hill station in Himachal Pradesh, India","Shimla, in Himachal Pradesh, is a popular Indian hill station known for its colonial architecture and cool climate.",Travel & Tourism,Hill Stations
What is Darjeeling?,A large statue located on Liberty Island in New York Harbor,"A hill station in West Bengal, India, famous for its tea gardens",A group of waterfalls on the border of the United States and Canada,"A popular hill station in Himachal Pradesh, India","B) A hill station in West Bengal, India, famous for its tea gardens","Darjeeling, in West Bengal, India, is famous for its scenic hill station views and its high-quality tea gardens.",Travel & Tourism,Hill Stations
Which of the following best describes Darjeeling?,"A hill station in West Bengal, India, famous for its tea gardens","An Indonesian island known for its beaches, temples, and rice terraces","The largest tropical rainforest in the world, located mainly in Brazil","One of the oldest continuously inhabited cities, located on the Ganges in India","A) A hill station in West Bengal, India, famous for its tea gardens","Darjeeling, in West Bengal, India, is famous for its scenic hill station views and its high-quality tea gardens.",Travel & Tourism,Hill Stations
What is Varanasi?,"One of the oldest continuously inhabited cities, located on the Ganges in India","The world's largest coral reef system, located off Australia","A mountain range popular for trekking, mountaineering, and hill stations","A white marble mausoleum in Agra, India, built by Shah Jahan","A) One of the oldest continuously inhabited cities, located on the Ganges in India","Varanasi, on the banks of the Ganges in India, is one of the world's oldest continuously inhabited cities and a major pilgrimage site.",Travel & Tourism,Indian Tourist Places
Which of the following best describes Varanasi?,A Japanese city known for its historic temples and traditional culture,An Italian city famous for its canals instead of roads,A coastal Indian state known for its beaches and Portuguese heritage,"One of the oldest continuously inhabited cities, located on the Ganges in India","D) One of the oldest continuously inhabited cities, located on the Ganges in India","Varanasi, on the banks of the Ganges in India, is one of the world's oldest continuously inhabited cities and a major pilgrimage site.",Travel & Tourism,Indian Tourist Places
What is Niagara Falls?,An ancient city in Jordan famous for its rock-cut architecture,"A white marble mausoleum in Agra, India, built by Shah Jahan",A group of waterfalls on the border of the United States and Canada,A steep-sided canyon carved by the Colorado River in the United States,C) A group of waterfalls on the border of the United States and Canada,Niagara Falls consists of three waterfalls located on the border between the United States and Canada.,Travel & Tourism,Famous Landmarks
Which of the following best describes Niagara Falls?,A large statue located on Liberty Island in New York Harbor,"An Indonesian island known for its beaches, temples, and rice terraces",A group of waterfalls on the border of the United States and Canada,"The largest tropical rainforest in the world, located mainly in Brazil",C) A group of waterfalls on the border of the United States and Canada,Niagara Falls consists of three waterfalls located on the border between the United States and Canada.,Travel & Tourism,Famous Landmarks
What is the Leaning Tower of Pisa?,A Japanese city known for its historic temples and traditional culture,A famous bell tower in Italy known for its unintended tilt,"A city in the UAE known for its modern skyscrapers, including the Burj Khalifa",A famous performing arts venue with a distinctive sail-like design in Australia,B) A famous bell tower in Italy known for its unintended tilt,"The Leaning Tower of Pisa, in Italy, is famous for its noticeable, unintended tilt caused by unstable foundation ground.",Travel & Tourism,Monuments
Which of the following best describes the Leaning Tower of Pisa?,A large statue located on Liberty Island in New York Harbor,"A white marble mausoleum in Agra, India, built by Shah Jahan",A famous bell tower in Italy known for its unintended tilt,"An Indonesian island known for its beaches, temples, and rice terraces",C) A famous bell tower in Italy known for its unintended tilt,"The Leaning Tower of Pisa, in Italy, is famous for its noticeable, unintended tilt caused by unstable foundation ground.",Travel & Tourism,Monuments
What is Mount Fuji?,"Japan's highest and most famous mountain, considered sacred",A coastal Indian state known for its beaches and Portuguese heritage,A Japanese city known for its historic temples and traditional culture,"A network of interconnected canals, lakes, and lagoons in southern India","A) Japan's highest and most famous mountain, considered sacred","Mount Fuji is Japan's highest mountain and is considered a sacred site, as well as a popular tourist and climbing destination.",Travel & Tourism,National Parks
Which of the following best describes Mount Fuji?,"A popular hill station in Himachal Pradesh, India","Japan's highest and most famous mountain, considered sacred",A famous bell tower in Italy known for its unintended tilt,"An Indonesian island known for its beaches, temples, and rice terraces","B) Japan's highest and most famous mountain, considered sacred","Mount Fuji is Japan's highest mountain and is considered a sacred site, as well as a popular tourist and climbing destination.",Travel & Tourism,National Parks
Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
Which of the following best describes Darjeeling?,"A hill station in West Bengal, India, famous for its tea gardens",A Japanese city known for its historic temples and traditional culture,"The largest hot desert in the world, located in North Africa","A palace in Jaipur, India, known for its unique honeycomb-like facade","A) A hill station in West Bengal, India, famous for its tea gardens","Darjeeling, in West Bengal, India, is famous for its scenic hill station views and its high-quality tea gardens.",Travel & Tourism,Hill Stations
Which statement correctly explains the Sahara Desert (as a destination)?,"A large temple complex in Cambodia, originally built as a Hindu temple","An ancient amphitheater located in Rome, Italy","A city in Rajasthan, India, known as the 'Pink City'","The largest hot desert in the world, located in North Africa","D) The largest hot desert in the world, located in North Africa","The Sahara Desert, in North Africa, is the largest hot desert in the world and a popular destination for desert tourism.",Travel & Tourism,National Parks
Which option best explains the meaning of Goa?,"A popular hill station in Himachal Pradesh, India",A coastal Indian state known for its beaches and Portuguese heritage,A landmark or area recognized by UNESCO as having outstanding cultural or natural value,"One of the oldest continuously inhabited cities, located on the Ganges in India",B) A coastal Indian state known for its beaches and Portuguese heritage,"Goa, on India's western coast, is known for its beaches, nightlife, and Portuguese colonial architecture.",Travel & Tourism,Beaches
Choose the correct definition of Venice.,An Italian city famous for its canals instead of roads,One of the most visited national parks in the United States,A steep-sided canyon carved by the Colorado River in the United States,"A historic palace and fortress complex in Granada, Spain",A) An Italian city famous for its canals instead of roads,"Venice, Italy, is famous for being built on a series of islands connected by canals instead of roads.",Travel & Tourism,Famous Cities
Which statement correctly explains Jaipur?,A historic mosque in Istanbul known for its blue interior tiles,"The first national park in the world, known for its geysers","A city in Rajasthan, India, known as the 'Pink City'","A historic fort and palace complex located near Jaipur, India","C) A city in Rajasthan, India, known as the 'Pink City'","Jaipur, the capital of Rajasthan, is known as the 'Pink City' for the color of its historic buildings.",Travel & Tourism,Indian Tourist Places
Which option best explains the meaning of Angkor Wat?,A historic mosque in Istanbul known for its blue interior tiles,"A popular hill station in Tamil Nadu, India, known for its tea plantations","A large temple complex in Cambodia, originally built as a Hindu temple",Ancient Egyptian pyramid structures located near Cairo,"C) A large temple complex in Cambodia, originally built as a Hindu temple","Angkor Wat, in Cambodia, is a massive temple complex originally constructed as a Hindu temple in the 12th century.",Travel & Tourism,Monuments
Choose the correct definition of Andaman Islands.,An Italian city famous for its canals instead of roads,"A historic palace and fortress complex in Granada, Spain",An Indian archipelago known for its beaches and marine life,"The largest tropical rainforest in the world, located mainly in Brazil",C) An Indian archipelago known for its beaches and marine life,"The Andaman Islands, an Indian territory in the Bay of Bengal, are known for their beaches, coral reefs, and marine biodiversity.",Travel & Tourism,Beaches
Choose the correct definition of Machu Picchu.,An ancient Inca citadel located in the Andes Mountains of Peru,"A city in the UAE known for its modern skyscrapers, including the Burj Khalifa",An Italian city famous for its canals instead of roads,"A city in Uttarakhand, India, known as a hub for yoga and adventure tourism",A) An ancient Inca citadel located in the Andes Mountains of Peru,Machu Picchu is a 15th-century Inca citadel located high in the Andes Mountains of Peru.,Travel & Tourism,Famous Landmarks
a UNESCO World Heritage Site can be best defined as which of the following?,A landmark or area recognized by UNESCO as having outstanding cultural or natural value,"The first national park in the world, known for its geysers","An iron lattice tower located in Paris, France","A historic fort and palace complex located near Jaipur, India",A) A landmark or area recognized by UNESCO as having outstanding cultural or natural value,"A UNESCO World Heritage Site is a place recognized by UNESCO for having outstanding cultural, historical, or natural significance.",Travel & Tourism,UNESCO Sites
What is Dubai?,"An ancient amphitheater located in Rome, Italy","The largest hot desert in the world, located in North Africa","A city in the UAE known for its modern skyscrapers, including the Burj Khalifa","The first national park in the world, known for its geysers","C) A city in the UAE known for its modern skyscrapers, including the Burj Khalifa","Dubai, in the United Arab Emirates, is known for its ultra-modern skyline, including the Burj Khalifa, the world's tallest building.",Travel & Tourism,Famous Cities
What is the Amber Fort?,"A popular hill station in Tamil Nadu, India, known for its tea plantations","A historic fort and palace complex located near Jaipur, India","A famous art museum in Paris, home to the Mona Lisa","An ancient amphitheater located in Rome, Italy","B) A historic fort and palace complex located near Jaipur, India","The Amber Fort is a historic fort and palace complex located near Jaipur, Rajasthan, known for its artistic architectural style.",Travel & Tourism,Indian Tourist Places
What is Bali?,An ancient city in Jordan famous for its rock-cut architecture,"The world's largest coral reef system, located off Australia","An Indonesian island known for its beaches, temples, and rice terraces",A group of waterfalls on the border of the United States and Canada,"C) An Indonesian island known for its beaches, temples, and rice terraces","Bali, Indonesia, is a popular tourist island known for its beaches, Hindu temples, and scenic rice terraces.",Travel & Tourism,Beaches
Which of the following best describes Varanasi?,A historic mosque in Istanbul known for its blue interior tiles,"One of the oldest continuously inhabited cities, located on the Ganges in India",A Japanese city known for its historic temples and traditional culture,A national park in Tanzania known for its wildlife and annual migration,"B) One of the oldest continuously inhabited cities, located on the Ganges in India","Varanasi, on the banks of the Ganges in India, is one of the world's oldest continuously inhabited cities and a major pilgrimage site.",Travel & Tourism,Indian Tourist Places
Choose the correct definition of the Colosseum.,"An ancient amphitheater located in Rome, Italy","A famous monument located in Mumbai, overlooking the Arabian Sea","A network of interconnected canals, lakes, and lagoons in southern India","The largest hot desert in the world, located in North Africa","A) An ancient amphitheater located in Rome, Italy","The Colosseum is a large ancient amphitheater in Rome, Italy, once used for gladiatorial contests.",Travel & Tourism,Monuments
