Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
"Find the next number in the series: 487, 489, 491, 493, 495, ?",493,494,496,497,D) 497,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 495 + 2 = 497.",Number Puzzles,Odd & Even
"In a 3×3 magic square, if one row sums to 1199 and two of its numbers are 367 and 395, what is the third number?",416,354,437,430,C) 437,"Since the row total is 1199, the third number = 1199 - 367 - 395 = 437.",Number Puzzles,Magic Squares
"Find the next number in the series (differences increase by 1 each time): 8, 12, 14, 17, 20, ?",22,24,31,25,B) 24,"The differences between consecutive terms are 4, 2, 3, 3, increasing by 1 each time. The next difference is 4, so the next term = 20 + 4 = 24.",Number Puzzles,Number Patterns
"Find the next number in the series: 2, 4, 8, 16, ?",32,24,21,38,A) 32,Each term is multiplied by 2 (a geometric progression). Next term = 16 × 2 = 32.,Number Puzzles,Number Series
"In a 3×3 magic square, if one row sums to 644 and two of its numbers are 191 and 208, what is the third number?",255,208,237,245,D) 245,"Since the row total is 644, the third number = 644 - 191 - 208 = 245.",Number Puzzles,Magic Squares
Which of the following best describes 2327?,Composite number,Both prime and composite,Prime number,Neither prime nor composite,A) Composite number,"2327 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
Which of the following best describes 2735?,Composite number,Neither prime nor composite,Prime number,Both prime and composite,A) Composite number,"2735 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series (differences increase by 1 each time): 1, 4, 7, 10, 11, ?",10,14,11,13,D) 13,"The differences between consecutive terms are 3, 3, 3, 1, increasing by 1 each time. The next difference is 2, so the next term = 11 + 2 = 13.",Number Puzzles,Number Patterns
"In a 3×3 magic square, if one row sums to 373 and two of its numbers are 93 and 137, what is the third number?",169,132,158,143,D) 143,"Since the row total is 373, the third number = 373 - 93 - 137 = 143.",Number Puzzles,Magic Squares
"Find the next number in the series: 121, 233, 121, 233, 121, ?",234,228,237,233,D) 233,"The series alternates between 121 and 233. Since the last number is 121, the next number = 233.",Number Puzzles,Logic Number Puzzles
Which of the following best describes 1125?,Prime number,Both prime and composite,Composite number,Neither prime nor composite,C) Composite number,"1125 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"In a 3×3 magic square, if one row sums to 1196 and two of its numbers are 368 and 414, what is the third number?",367,357,414,481,C) 414,"Since the row total is 1196, the third number = 1196 - 368 - 414 = 414.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 797 and two of its numbers are 261 and 263, what is the third number?",281,296,283,273,D) 273,"Since the row total is 797, the third number = 797 - 261 - 263 = 273.",Number Puzzles,Magic Squares
"Find the next number in the series: 1924, 1926, 1928, 1930, 1932, ?",1931,1935,1934,1933,C) 1934,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 1932 + 2 = 1934.",Number Puzzles,Odd & Even
"Find the next number in the series: 417, 360, 417, 360, 417, ?",365,357,360,359,C) 360,"The series alternates between 417 and 360. Since the last number is 417, the next number = 360.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 263, 400, 263, 400, 263, ?",398,403,399,400,D) 400,"The series alternates between 263 and 400. Since the last number is 263, the next number = 400.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 102, 300, 102, 300, 102, ?",298,305,300,302,C) 300,"The series alternates between 102 and 300. Since the last number is 102, the next number = 300.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series (differences increase by 1 each time): 7, 8, 11, 15, 20, ?",30,17,26,32,C) 26,"The differences between consecutive terms are 1, 3, 4, 5, increasing by 1 each time. The next difference is 6, so the next term = 20 + 6 = 26.",Number Puzzles,Number Patterns
"Find the next number in the series: 571, 573, 575, 577, 579, ?",585,584,579,581,D) 581,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 579 + 2 = 581.",Number Puzzles,Odd & Even
"In a 3×3 magic square, if one row sums to 1506 and two of its numbers are 484 and 530, what is the third number?",405,512,492,552,C) 492,"Since the row total is 1506, the third number = 1506 - 484 - 530 = 492.",Number Puzzles,Magic Squares
"Find the next number in the series (differences increase by 1 each time): 5, 7, 12, 13, 17, ?",12,22,32,17,B) 22,"The differences between consecutive terms are 2, 5, 1, 4, increasing by 1 each time. The next difference is 5, so the next term = 17 + 5 = 22.",Number Puzzles,Number Patterns
"Find the next number in the series: 1025, 1027, 1029, 1031, 1033, ?",1038,1035,1036,1037,B) 1035,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 1033 + 2 = 1035.",Number Puzzles,Odd & Even
"In a 3×3 magic square, if one row sums to 905 and two of its numbers are 288 and 303, what is the third number?",314,368,364,354,A) 314,"Since the row total is 905, the third number = 905 - 288 - 303 = 314.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 971 and two of its numbers are 281 and 315, what is the third number?",375,339,388,306,A) 375,"Since the row total is 971, the third number = 971 - 281 - 315 = 375.",Number Puzzles,Magic Squares
Which of the following best describes 680?,Both prime and composite,Prime number,Composite number,Neither prime nor composite,C) Composite number,"680 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series: 111, 404, 111, 404, 111, ?",404,402,400,408,A) 404,"The series alternates between 111 and 404. Since the last number is 111, the next number = 404.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 578, 580, 582, 584, 586, ?",591,587,588,586,C) 588,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 586 + 2 = 588.",Number Puzzles,Odd & Even
"In a 3×3 magic square, if one row sums to 248 and two of its numbers are 36 and 82, what is the third number?",130,138,135,127,A) 130,"Since the row total is 248, the third number = 248 - 36 - 82 = 130.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 345 and two of its numbers are 96 and 111, what is the third number?",118,138,159,126,B) 138,"Since the row total is 345, the third number = 345 - 96 - 111 = 138.",Number Puzzles,Magic Squares
Which of the following best describes 426?,Composite number,Both prime and composite,Neither prime nor composite,Prime number,A) Composite number,"426 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series: 670, 672, 674, 676, 678, ?",678,680,682,684,B) 680,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 678 + 2 = 680.",Number Puzzles,Odd & Even
"Find the next number in the series (differences increase by 1 each time): 2, 3, 4, 6, 8, ?",16,10,11,17,C) 11,"The differences between consecutive terms are 1, 1, 2, 2, increasing by 1 each time. The next difference is 3, so the next term = 8 + 3 = 11.",Number Puzzles,Number Patterns
"Find the next number in the series: 928, 930, 932, 934, 936, ?",938,935,937,936,A) 938,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 936 + 2 = 938.",Number Puzzles,Odd & Even
Which of the following best describes 1889?,Prime number,Composite number,Both prime and composite,Neither prime nor composite,A) Prime number,"1889 has no divisors other than 1 and itself, so it is prime.",Number Puzzles,Prime Numbers
"In a 3×3 magic square, if one row sums to 388 and two of its numbers are 102 and 140, what is the third number?",146,174,163,130,A) 146,"Since the row total is 388, the third number = 388 - 102 - 140 = 146.",Number Puzzles,Magic Squares
Which of the following best describes 2149?,Both prime and composite,Composite number,Neither prime nor composite,Prime number,B) Composite number,"2149 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series: 1960, 1962, 1964, 1966, 1968, ?",1968,1971,1974,1970,D) 1970,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 1968 + 2 = 1970.",Number Puzzles,Odd & Even
"Find the next number in the series (differences increase by 1 each time): 6, 11, 13, 15, 19, ?",24,33,20,30,A) 24,"The differences between consecutive terms are 5, 2, 2, 4, increasing by 1 each time. The next difference is 5, so the next term = 19 + 5 = 24.",Number Puzzles,Number Patterns
"Find the next number in the series: 75, 77, 79, 81, 83, ?",89,85,83,82,B) 85,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 83 + 2 = 85.",Number Puzzles,Odd & Even
"Find the missing number in the series: 3, ?, 21, 30, 39.",7,8,10,12,D) 12,"The series increases by 9 each time, so the missing number = 3 + 9 = 12.",Number Puzzles,Missing Numbers
"Find the next number in the series: 854, 856, 858, 860, 862, ?",861,864,862,868,B) 864,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 862 + 2 = 864.",Number Puzzles,Odd & Even
"Find the next number in the series: 4, 18, 32, 46, 60, ?",77,74,86,78,B) 74,Each term increases by 14 (an arithmetic progression). Next term = 60 + 14 = 74.,Number Puzzles,Number Series
"In a 3×3 magic square, if one row sums to 555 and two of its numbers are 173 and 203, what is the third number?",179,174,156,144,A) 179,"Since the row total is 555, the third number = 555 - 173 - 203 = 179.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 556 and two of its numbers are 161 and 174, what is the third number?",258,248,221,246,C) 221,"Since the row total is 556, the third number = 556 - 161 - 174 = 221.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 152 and two of its numbers are 20 and 42, what is the third number?",82,75,105,90,D) 90,"Since the row total is 152, the third number = 152 - 20 - 42 = 90.",Number Puzzles,Magic Squares
"Find the missing number in the series: 4, 14, 24, ?, 44.",36,43,34,35,C) 34,"The series increases by 10 each time, so the missing number = 24 + 10 = 34.",Number Puzzles,Missing Numbers
Which of the following best describes 1565?,Both prime and composite,Neither prime nor composite,Composite number,Prime number,C) Composite number,"1565 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series (differences increase by 1 each time): 7, 11, 12, 13, 14, ?",15,17,16,13,C) 16,"The differences between consecutive terms are 4, 1, 1, 1, increasing by 1 each time. The next difference is 2, so the next term = 14 + 2 = 16.",Number Puzzles,Number Patterns
"Find the next number in the series: 1382, 1384, 1386, 1388, 1390, ?",1392,1390,1388,1395,A) 1392,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 1390 + 2 = 1392.",Number Puzzles,Odd & Even
"In a 3×3 magic square, if one row sums to 1349 and two of its numbers are 439 and 467, what is the third number?",443,444,453,448,A) 443,"Since the row total is 1349, the third number = 1349 - 439 - 467 = 443.",Number Puzzles,Magic Squares
"Find the next number in the series: 254, 203, 254, 203, 254, ?",202,199,203,198,C) 203,"The series alternates between 254 and 203. Since the last number is 254, the next number = 203.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series (differences increase by 1 each time): 9, 14, 16, 17, 21, ?",26,29,35,17,A) 26,"The differences between consecutive terms are 5, 2, 1, 4, increasing by 1 each time. The next difference is 5, so the next term = 21 + 5 = 26.",Number Puzzles,Number Patterns
"Find the missing number in the series: 18, 28, ?, 48, 58.",39,38,41,33,B) 38,"The series increases by 10 each time, so the missing number = 28 + 10 = 38.",Number Puzzles,Missing Numbers
"Find the next number in the series: 1905, 1907, 1909, 1911, 1913, ?",1919,1915,1913,1918,B) 1915,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 1913 + 2 = 1915.",Number Puzzles,Odd & Even
"Find the next number in the series: 288, 13, 288, 13, 288, ?",13,16,15,8,A) 13,"The series alternates between 288 and 13. Since the last number is 288, the next number = 13.",Number Puzzles,Logic Number Puzzles
"In a 3×3 magic square, if one row sums to 823 and two of its numbers are 238 and 247, what is the third number?",338,364,352,350,A) 338,"Since the row total is 823, the third number = 823 - 238 - 247 = 338.",Number Puzzles,Magic Squares
"Find the missing number in the series: 19, 24, 29, ?, 39.",37,30,34,29,C) 34,"The series increases by 5 each time, so the missing number = 29 + 5 = 34.",Number Puzzles,Missing Numbers
"In a 3×3 magic square, if one row sums to 123 and two of its numbers are 10 and 17, what is the third number?",106,96,77,110,B) 96,"Since the row total is 123, the third number = 123 - 10 - 17 = 96.",Number Puzzles,Magic Squares
"Find the next number in the series: 950, 952, 954, 956, 958, ?",957,959,958,960,D) 960,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 958 + 2 = 960.",Number Puzzles,Odd & Even
"In a 3×3 magic square, if one row sums to 917 and two of its numbers are 263 and 293, what is the third number?",430,306,361,377,C) 361,"Since the row total is 917, the third number = 917 - 263 - 293 = 361.",Number Puzzles,Magic Squares
Which of the following best describes 1293?,Prime number,Composite number,Neither prime nor composite,Both prime and composite,B) Composite number,"1293 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series (differences increase by 1 each time): 7, 9, 13, 18, 20, ?",27,23,21,18,B) 23,"The differences between consecutive terms are 2, 4, 5, 2, increasing by 1 each time. The next difference is 3, so the next term = 20 + 3 = 23.",Number Puzzles,Number Patterns
"Find the next number in the series (differences increase by 1 each time): 6, 10, 12, 17, 21, ?",17,21,32,26,D) 26,"The differences between consecutive terms are 4, 2, 5, 4, increasing by 1 each time. The next difference is 5, so the next term = 21 + 5 = 26.",Number Puzzles,Number Patterns
"Find the missing number in the series: 3, 15, ?, 39, 51.",18,32,27,38,C) 27,"The series increases by 12 each time, so the missing number = 15 + 12 = 27.",Number Puzzles,Missing Numbers
"Find the next number in the series (differences increase by 1 each time): 1, 4, 5, 9, 12, ?",11,12,16,15,C) 16,"The differences between consecutive terms are 3, 1, 4, 3, increasing by 1 each time. The next difference is 4, so the next term = 12 + 4 = 16.",Number Puzzles,Number Patterns
"Find the next number in the series: 1120, 1122, 1124, 1126, 1128, ?",1131,1133,1130,1128,C) 1130,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 1128 + 2 = 1130.",Number Puzzles,Odd & Even
"Find the next number in the series: 9, 21, 33, 45, 57, ?",69,81,59,62,A) 69,Each term increases by 12 (an arithmetic progression). Next term = 57 + 12 = 69.,Number Puzzles,Number Series
"Find the next number in the series: 21, 12, 21, 12, 21, ?",15,10,17,12,D) 12,"The series alternates between 21 and 12. Since the last number is 21, the next number = 12.",Number Puzzles,Logic Number Puzzles
"In a 3×3 magic square, if one row sums to 997 and two of its numbers are 300 and 307, what is the third number?",390,443,327,404,A) 390,"Since the row total is 997, the third number = 997 - 300 - 307 = 390.",Number Puzzles,Magic Squares
"Find the missing number in the series: 20, ?, 24, 26, 28.",23,20,21,22,D) 22,"The series increases by 2 each time, so the missing number = 20 + 2 = 22.",Number Puzzles,Missing Numbers
"Find the next number in the series: 490, 341, 490, 341, 490, ?",346,341,345,337,B) 341,"The series alternates between 490 and 341. Since the last number is 490, the next number = 341.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 235, 441, 235, 441, 235, ?",441,437,439,438,A) 441,"The series alternates between 235 and 441. Since the last number is 235, the next number = 441.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 275, 96, 275, 96, 275, ?",91,96,97,100,B) 96,"The series alternates between 275 and 96. Since the last number is 275, the next number = 96.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 256, 280, 256, 280, 256, ?",281,280,276,275,B) 280,"The series alternates between 256 and 280. Since the last number is 256, the next number = 280.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 94, 471, 94, 471, 94, ?",471,466,469,470,A) 471,"The series alternates between 94 and 471. Since the last number is 94, the next number = 471.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 81, 378, 81, 378, 81, ?",378,383,376,379,A) 378,"The series alternates between 81 and 378. Since the last number is 81, the next number = 378.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series (differences increase by 1 each time): 6, 9, 11, 12, 14, ?",18,21,17,20,C) 17,"The differences between consecutive terms are 3, 2, 1, 2, increasing by 1 each time. The next difference is 3, so the next term = 14 + 3 = 17.",Number Puzzles,Number Patterns
"Find the next number in the series: 98, 100, 102, 104, 106, ?",111,110,108,112,C) 108,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 106 + 2 = 108.",Number Puzzles,Odd & Even
"Find the next number in the series (differences increase by 1 each time): 7, 8, 10, 14, 16, ?",23,14,24,19,D) 19,"The differences between consecutive terms are 1, 2, 4, 2, increasing by 1 each time. The next difference is 3, so the next term = 16 + 3 = 19.",Number Puzzles,Number Patterns
Which of the following best describes 2093?,Neither prime nor composite,Both prime and composite,Prime number,Composite number,D) Composite number,"2093 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series (differences increase by 1 each time): 2, 7, 11, 16, 20, ?",33,16,21,25,D) 25,"The differences between consecutive terms are 5, 4, 5, 4, increasing by 1 each time. The next difference is 5, so the next term = 20 + 5 = 25.",Number Puzzles,Number Patterns
"Find the next number in the series: 377, 402, 377, 402, 377, ?",398,400,403,402,D) 402,"The series alternates between 377 and 402. Since the last number is 377, the next number = 402.",Number Puzzles,Logic Number Puzzles
"In a 3×3 magic square, if one row sums to 787 and two of its numbers are 224 and 257, what is the third number?",275,296,306,325,C) 306,"Since the row total is 787, the third number = 787 - 224 - 257 = 306.",Number Puzzles,Magic Squares
"Find the next number in the series (differences increase by 1 each time): 1, 3, 5, 10, 14, ?",21,19,29,22,B) 19,"The differences between consecutive terms are 2, 2, 5, 4, increasing by 1 each time. The next difference is 5, so the next term = 14 + 5 = 19.",Number Puzzles,Number Patterns
Which of the following best describes 448?,Both prime and composite,Prime number,Neither prime nor composite,Composite number,D) Composite number,"448 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series (differences increase by 1 each time): 9, 11, 12, 15, 16, ?",22,17,15,18,D) 18,"The differences between consecutive terms are 2, 1, 3, 1, increasing by 1 each time. The next difference is 2, so the next term = 16 + 2 = 18.",Number Puzzles,Number Patterns
"Find the next number in the series (differences increase by 1 each time): 8, 13, 18, 21, 24, ?",22,25,28,32,C) 28,"The differences between consecutive terms are 5, 5, 3, 3, increasing by 1 each time. The next difference is 4, so the next term = 24 + 4 = 28.",Number Puzzles,Number Patterns
"Find the next number in the series: 4, 8, 16, 32, ?",32,74,55,64,D) 64,Each term is multiplied by 2 (a geometric progression). Next term = 32 × 2 = 64.,Number Puzzles,Number Series
"In a 3×3 magic square, if one row sums to 1339 and two of its numbers are 405 and 431, what is the third number?",503,585,571,505,A) 503,"Since the row total is 1339, the third number = 1339 - 405 - 431 = 503.",Number Puzzles,Magic Squares
"Find the next number in the series: 687, 689, 691, 693, 695, ?",698,693,697,699,C) 697,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 695 + 2 = 697.",Number Puzzles,Odd & Even
"Find the next number in the series: 1089, 1091, 1093, 1095, 1097, ?",1101,1097,1098,1099,D) 1099,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 1097 + 2 = 1099.",Number Puzzles,Odd & Even
"In a 3×3 magic square, if one row sums to 676 and two of its numbers are 206 and 256, what is the third number?",230,218,186,214,D) 214,"Since the row total is 676, the third number = 676 - 206 - 256 = 214.",Number Puzzles,Magic Squares
"Find the next number in the series: 190, 20, 190, 20, 190, ?",24,15,20,17,C) 20,"The series alternates between 190 and 20. Since the last number is 190, the next number = 20.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 208, 222, 208, 222, 208, ?",225,220,227,222,D) 222,"The series alternates between 208 and 222. Since the last number is 208, the next number = 222.",Number Puzzles,Logic Number Puzzles
"Find the missing number in the series: 13, 17, 21, ?, 29.",23,28,26,25,D) 25,"The series increases by 4 each time, so the missing number = 21 + 4 = 25.",Number Puzzles,Missing Numbers
"Find the next number in the series: 171, 75, 171, 75, 171, ?",75,77,76,72,A) 75,"The series alternates between 171 and 75. Since the last number is 171, the next number = 75.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 1731, 1733, 1735, 1737, 1739, ?",1740,1741,1744,1745,B) 1741,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 1739 + 2 = 1741.",Number Puzzles,Odd & Even
"Find the next number in the series: 28, 5, 28, 5, 28, ?",0,1,4,5,D) 5,"The series alternates between 28 and 5. Since the last number is 28, the next number = 5.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 271, 480, 271, 480, 271, ?",479,480,475,483,B) 480,"The series alternates between 271 and 480. Since the last number is 271, the next number = 480.",Number Puzzles,Logic Number Puzzles
"In a 3×3 magic square, if one row sums to 948 and two of its numbers are 312 and 316, what is the third number?",294,299,354,320,D) 320,"Since the row total is 948, the third number = 948 - 312 - 316 = 320.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 867 and two of its numbers are 268 and 271, what is the third number?",319,312,293,328,D) 328,"Since the row total is 867, the third number = 867 - 268 - 271 = 328.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 979 and two of its numbers are 301 and 309, what is the third number?",369,312,375,355,A) 369,"Since the row total is 979, the third number = 979 - 301 - 309 = 369.",Number Puzzles,Magic Squares
"Find the next number in the series (differences increase by 1 each time): 10, 11, 12, 14, 15, ?",20,18,19,17,D) 17,"The differences between consecutive terms are 1, 1, 2, 1, increasing by 1 each time. The next difference is 2, so the next term = 15 + 2 = 17.",Number Puzzles,Number Patterns
"Find the next number in the series: 168, 203, 168, 203, 168, ?",203,208,206,202,A) 203,"The series alternates between 168 and 203. Since the last number is 168, the next number = 203.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series (differences increase by 1 each time): 9, 11, 12, 16, 21, ?",27,36,37,32,A) 27,"The differences between consecutive terms are 2, 1, 4, 5, increasing by 1 each time. The next difference is 6, so the next term = 21 + 6 = 27.",Number Puzzles,Number Patterns
Which of the following best describes 628?,Composite number,Both prime and composite,Neither prime nor composite,Prime number,A) Composite number,"628 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
Which of the following best describes 2958?,Composite number,Neither prime nor composite,Prime number,Both prime and composite,A) Composite number,"2958 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"In a 3×3 magic square, if one row sums to 1574 and two of its numbers are 500 and 522, what is the third number?",480,552,469,575,B) 552,"Since the row total is 1574, the third number = 1574 - 500 - 522 = 552.",Number Puzzles,Magic Squares
Which of the following best describes 68?,Both prime and composite,Prime number,Neither prime nor composite,Composite number,D) Composite number,"68 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series (differences increase by 1 each time): 2, 5, 6, 9, 13, ?",11,23,8,18,D) 18,"The differences between consecutive terms are 3, 1, 3, 4, increasing by 1 each time. The next difference is 5, so the next term = 13 + 5 = 18.",Number Puzzles,Number Patterns
"Find the next number in the series (differences increase by 1 each time): 3, 6, 10, 14, 15, ?",17,13,16,18,A) 17,"The differences between consecutive terms are 3, 4, 4, 1, increasing by 1 each time. The next difference is 2, so the next term = 15 + 2 = 17.",Number Puzzles,Number Patterns
"Find the next number in the series: 337, 339, 341, 343, 345, ?",347,348,345,344,A) 347,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 345 + 2 = 347.",Number Puzzles,Odd & Even
"Find the next number in the series: 425, 367, 425, 367, 425, ?",363,369,364,367,D) 367,"The series alternates between 425 and 367. Since the last number is 425, the next number = 367.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series (differences increase by 1 each time): 6, 9, 13, 17, 21, ?",28,29,26,24,C) 26,"The differences between consecutive terms are 3, 4, 4, 4, increasing by 1 each time. The next difference is 5, so the next term = 21 + 5 = 26.",Number Puzzles,Number Patterns
"In a 3×3 magic square, if one row sums to 1243 and two of its numbers are 387 and 405, what is the third number?",387,429,421,451,D) 451,"Since the row total is 1243, the third number = 1243 - 387 - 405 = 451.",Number Puzzles,Magic Squares
"Find the missing number in the series: 19, 26, 33, ?, 47.",40,45,44,43,A) 40,"The series increases by 7 each time, so the missing number = 33 + 7 = 40.",Number Puzzles,Missing Numbers
"Find the next number in the series (differences increase by 1 each time): 5, 10, 13, 16, 19, ?",16,22,23,26,C) 23,"The differences between consecutive terms are 5, 3, 3, 3, increasing by 1 each time. The next difference is 4, so the next term = 19 + 4 = 23.",Number Puzzles,Number Patterns
"Find the next number in the series: 103, 483, 103, 483, 103, ?",486,481,483,480,C) 483,"The series alternates between 103 and 483. Since the last number is 103, the next number = 483.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series (differences increase by 1 each time): 3, 6, 7, 12, 17, ?",35,30,23,16,C) 23,"The differences between consecutive terms are 3, 1, 5, 5, increasing by 1 each time. The next difference is 6, so the next term = 17 + 6 = 23.",Number Puzzles,Number Patterns
"In a 3×3 magic square, if one row sums to 1500 and two of its numbers are 495 and 498, what is the third number?",582,507,539,588,B) 507,"Since the row total is 1500, the third number = 1500 - 495 - 498 = 507.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 1287 and two of its numbers are 400 and 419, what is the third number?",490,531,468,505,C) 468,"Since the row total is 1287, the third number = 1287 - 400 - 419 = 468.",Number Puzzles,Magic Squares
"Find the missing number in the series: 7, 19, 31, ?, 55.",40,43,50,36,B) 43,"The series increases by 12 each time, so the missing number = 31 + 12 = 43.",Number Puzzles,Missing Numbers
"Find the next number in the series: 249, 251, 253, 255, 257, ?",262,259,256,255,B) 259,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 257 + 2 = 259.",Number Puzzles,Odd & Even
"Find the next number in the series: 14, 19, 24, 29, 34, ?",39,35,34,36,A) 39,Each term increases by 5 (an arithmetic progression). Next term = 34 + 5 = 39.,Number Puzzles,Number Series
"In a 3×3 magic square, if one row sums to 1029 and two of its numbers are 310 and 339, what is the third number?",380,329,317,336,A) 380,"Since the row total is 1029, the third number = 1029 - 310 - 339 = 380.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 313 and two of its numbers are 81 and 109, what is the third number?",123,114,141,130,A) 123,"Since the row total is 313, the third number = 313 - 81 - 109 = 123.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 1333 and two of its numbers are 402 and 433, what is the third number?",454,400,446,498,D) 498,"Since the row total is 1333, the third number = 1333 - 402 - 433 = 498.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 340 and two of its numbers are 92 and 130, what is the third number?",139,100,118,124,C) 118,"Since the row total is 340, the third number = 340 - 92 - 130 = 118.",Number Puzzles,Magic Squares
