Which of the following best describes an operating system?,Storing data on remote servers accessed via the internet,System software that manages computer hardware and resources,A device connected to a computer but not part of its core architecture,"The smallest unit of data in computing, represented as 0 or 1",B) System software that manages computer hardware and resources,An operating system manages a computer's hardware and provides a platform for running application software.,Computer Basics,Operating Systems
What is a peripheral device?,The result produced by a computer after processing input,A unit of digital information typically made up of 8 bits,A device connected to a computer but not part of its core architecture,A technology that allows wireless connection to a network,C) A device connected to a computer but not part of its core architecture,"A peripheral device, like a printer or mouse, is connected to a computer but is not part of its core internal architecture.",Computer Basics,Input Devices
Which of the following best describes a peripheral device?,The 'brain' of the computer that processes instructions,"The smallest unit of data in computing, represented as 0 or 1",A device connected to a computer but not part of its core architecture,Malicious software that can replicate and damage a computer system,C) A device connected to a computer but not part of its core architecture,"A peripheral device, like a printer or mouse, is connected to a computer but is not part of its core internal architecture.",Computer Basics,Input Devices
What is a web browser?,An electronic device that processes data according to instructions,"Local Area Network, a network confined to a small area like an office",Hardware used to store data and instructions for the computer to access,Software used to access and navigate websites on the internet,D) Software used to access and navigate websites on the internet,"A web browser is software used to access, navigate, and display content from websites on the internet.",Computer Basics,Internet
Which of the following best describes a web browser?,Storing data on remote servers accessed via the internet,Software used to access and navigate websites on the internet,The 'brain' of the computer that processes instructions,An electronic device that processes data according to instructions,B) Software used to access and navigate websites on the internet,"A web browser is software used to access, navigate, and display content from websites on the internet.",Computer Basics,Internet
What is an IP address?,A unit of digital information typically made up of 8 bits,A unique numerical label assigned to devices on a network,Software used to access and navigate websites on the internet,An electronic device that processes data according to instructions,B) A unique numerical label assigned to devices on a network,An IP address is a unique numerical label assigned to each device connected to a computer network.,Computer Basics,Networking
Which of the following best describes an IP address?,Measures taken to protect computer systems from threats,Data or instructions entered into a computer for processing,Hardware used to store data and instructions for the computer to access,A unique numerical label assigned to devices on a network,D) A unique numerical label assigned to devices on a network,An IP address is a unique numerical label assigned to each device connected to a computer network.,Computer Basics,Networking
What is a LAN?,A program designed to perform a specific task for the user,Data or instructions entered into a computer for processing,Measures taken to protect computer systems from threats,"Local Area Network, a network confined to a small area like an office","D) Local Area Network, a network confined to a small area like an office","A LAN (Local Area Network) connects computers within a limited area, such as a home, school, or office building.",Computer Basics,Networking
Which of the following best describes a LAN?,A secret string of characters used to authenticate a user,A named collection of data stored on a computer,"Local Area Network, a network confined to a small area like an office",A security system that monitors and filters network traffic,"C) Local Area Network, a network confined to a small area like an office","A LAN (Local Area Network) connects computers within a limited area, such as a home, school, or office building.",Computer Basics,Networking
What is a WAN?,Malicious software that can replicate and damage a computer system,"Hardware used to keep data permanently, even without power",A unique numerical label assigned to devices on a network,"Wide Area Network, a network that spans a large geographical area","D) Wide Area Network, a network that spans a large geographical area","A WAN (Wide Area Network) connects computers across large geographical distances, such as between cities or countries.",Computer Basics,Networking
Which of the following best describes a WAN?,"Wide Area Network, a network that spans a large geographical area",Hardware used to store data and instructions for the computer to access,A program designed to perform a specific task for the user,System software that manages computer hardware and resources,"A) Wide Area Network, a network that spans a large geographical area","A WAN (Wide Area Network) connects computers across large geographical distances, such as between cities or countries.",Computer Basics,Networking
What is Wi-Fi?,A technology that allows wireless connection to a network,"The smallest unit of data in computing, represented as 0 or 1",The result produced by a computer after processing input,The 'brain' of the computer that processes instructions,A) A technology that allows wireless connection to a network,Wi-Fi is a wireless networking technology that allows devices to connect to a network without physical cables.,Computer Basics,Networking
Which of the following best describes Wi-Fi?,"Local Area Network, a network confined to a small area like an office",A technology that allows wireless connection to a network,A program designed to perform a specific task for the user,Measures taken to protect computer systems from threats,B) A technology that allows wireless connection to a network,Wi-Fi is a wireless networking technology that allows devices to connect to a network without physical cables.,Computer Basics,Networking
What is a password?,The process of starting a computer and loading its operating system,A secret string of characters used to authenticate a user,Storing data on remote servers accessed via the internet,The result produced by a computer after processing input,B) A secret string of characters used to authenticate a user,A password is a secret combination of characters used to verify a user's identity before granting access.,Computer Basics,Computer Security
Which of the following best describes a password?,"Local Area Network, a network confined to a small area like an office","Wide Area Network, a network that spans a large geographical area",System software that manages computer hardware and resources,A secret string of characters used to authenticate a user,D) A secret string of characters used to authenticate a user,A password is a secret combination of characters used to verify a user's identity before granting access.,Computer Basics,Computer Security
What is a computer virus?,System software that manages computer hardware and resources,Data or instructions entered into a computer for processing,Malicious software that can replicate and damage a computer system,A container used to organize files on a computer,C) Malicious software that can replicate and damage a computer system,"A computer virus is malicious software that can replicate itself and spread, potentially damaging files or systems.",Computer Basics,Computer Security
Which of the following best describes a computer virus?,Malicious software that can replicate and damage a computer system,A program designed to perform a specific task for the user,The 'brain' of the computer that processes instructions,A named collection of data stored on a computer,A) Malicious software that can replicate and damage a computer system,"A computer virus is malicious software that can replicate itself and spread, potentially damaging files or systems.",Computer Basics,Computer Security
What is a firewall?,A device connected to a computer but not part of its core architecture,Malicious software that can replicate and damage a computer system,"Local Area Network, a network confined to a small area like an office",A security system that monitors and filters network traffic,D) A security system that monitors and filters network traffic,A firewall monitors and controls incoming and outgoing network traffic based on security rules.,Computer Basics,Computer Security
Which of the following best describes a firewall?,The result produced by a computer after processing input,A device connected to a computer but not part of its core architecture,A security system that monitors and filters network traffic,A unit of digital information typically made up of 8 bits,C) A security system that monitors and filters network traffic,A firewall monitors and controls incoming and outgoing network traffic based on security rules.,Computer Basics,Computer Security
What is cloud storage?,The result produced by a computer after processing input,Storing data on remote servers accessed via the internet,A technology that allows wireless connection to a network,"Hardware used to keep data permanently, even without power",B) Storing data on remote servers accessed via the internet,"Cloud storage allows users to save data on remote servers, accessible via the internet from any device.",Computer Basics,Storage
Which of the following best describes cloud storage?,The 'brain' of the computer that processes instructions,The process of starting a computer and loading its operating system,Hardware used to store data and instructions for the computer to access,Storing data on remote servers accessed via the internet,D) Storing data on remote servers accessed via the internet,"Cloud storage allows users to save data on remote servers, accessible via the internet from any device.",Computer Basics,Storage
What is a file?,A global network connecting millions of computers worldwide,A container used to organize files on a computer,A named collection of data stored on a computer,The process of starting a computer and loading its operating system,C) A named collection of data stored on a computer,A file is a named collection of related data or information stored on a computer's storage device.,Computer Basics,Storage
Which of the following best describes a file?,Malicious software that can replicate and damage a computer system,A named collection of data stored on a computer,"The smallest unit of data in computing, represented as 0 or 1",A unique numerical label assigned to devices on a network,B) A named collection of data stored on a computer,A file is a named collection of related data or information stored on a computer's storage device.,Computer Basics,Storage
What is a folder (directory)?,"Wide Area Network, a network that spans a large geographical area",A named collection of data stored on a computer,A security system that monitors and filters network traffic,A container used to organize files on a computer,D) A container used to organize files on a computer,"A folder, or directory, is used to organize and group related files together on a computer.",Computer Basics,Storage
Which of the following best describes a folder (directory)?,A container used to organize files on a computer,A secret string of characters used to authenticate a user,The 'brain' of the computer that processes instructions,An electronic device that processes data according to instructions,A) A container used to organize files on a computer,"A folder, or directory, is used to organize and group related files together on a computer.",Computer Basics,Storage
What is booting up?,Malicious software that can replicate and damage a computer system,The process of starting a computer and loading its operating system,"Hardware used to keep data permanently, even without power",A technology that allows wireless connection to a network,B) The process of starting a computer and loading its operating system,"Booting up is the process of turning on a computer, during which the operating system loads into memory.",Computer Basics,Computer Fundamentals
Which of the following best describes booting up?,"Local Area Network, a network confined to a small area like an office",A device connected to a computer but not part of its core architecture,Storing data on remote servers accessed via the internet,The process of starting a computer and loading its operating system,D) The process of starting a computer and loading its operating system,"Booting up is the process of turning on a computer, during which the operating system loads into memory.",Computer Basics,Computer Fundamentals
What is a software application?,Data or instructions entered into a computer for processing,The result produced by a computer after processing input,"The smallest unit of data in computing, represented as 0 or 1",A program designed to perform a specific task for the user,D) A program designed to perform a specific task for the user,"A software application is a program designed to help a user perform a specific task, like word processing or browsing.",Computer Basics,Computer Fundamentals
Which of the following best describes a software application?,An electronic device that processes data according to instructions,A named collection of data stored on a computer,A unique numerical label assigned to devices on a network,A program designed to perform a specific task for the user,D) A program designed to perform a specific task for the user,"A software application is a program designed to help a user perform a specific task, like word processing or browsing.",Computer Basics,Computer Fundamentals
Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
What is a folder (directory)?,A container used to organize files on a computer,Storing data on remote servers accessed via the internet,A technology that allows wireless connection to a network,A system of representing data using only 0s and 1s,A) A container used to organize files on a computer,"A folder, or directory, is used to organize and group related files together on a computer.",Computer Basics,Storage
Choose the correct definition of phishing.,A type of barcode that stores information readable by a smartphone camera,A cyberattack that tricks users into revealing sensitive information,The result produced by a computer after processing input,An electronic device that processes data according to instructions,B) A cyberattack that tricks users into revealing sensitive information,"Phishing is a type of cyberattack where attackers trick users into revealing sensitive information, like passwords, often via fake emails.",Computer Basics,Computer Security
networking (computer) can be best defined as which of the following?,A set of numbers separated by periods (in IPv4) that identifies a device,Connecting multiple computers to share resources and data,A secret string of characters used to authenticate a user,"Wide Area Network, a network that spans a large geographical area",B) Connecting multiple computers to share resources and data,"Networking involves connecting multiple computers together to share resources, files, and data.",Computer Basics,Networking
Which of the following best describes a QR code?,The stage where a computer performs operations on input data,A type of barcode that stores information readable by a smartphone camera,A security system that monitors and filters network traffic,Hardware used to store data and instructions for the computer to access,B) A type of barcode that stores information readable by a smartphone camera,"A QR code is a type of two-dimensional barcode that stores information, readable by smartphone cameras and scanning apps.",Computer Basics,Computer Fundamentals
Choose the correct definition of a file.,"A unit of data storage equal to approximately 1,024 kilobytes",A system of interlinked documents accessed via the internet,A named collection of data stored on a computer,An electronic device that processes data according to instructions,C) A named collection of data stored on a computer,A file is a named collection of related data or information stored on a computer's storage device.,Computer Basics,Storage
What is the CPU?,An electronic device that processes data according to instructions,The suffix at the end of a filename that indicates its format,A unique numerical label assigned to devices on a network,The 'brain' of the computer that processes instructions,D) The 'brain' of the computer that processes instructions,"The CPU (Central Processing Unit) is often called the brain of the computer, as it processes instructions and calculations.",Computer Basics,CPU
Choose the correct definition of cloud computing.,A unit of digital information typically made up of 8 bits,Delivering computing services like storage and processing over the internet,"Memory directly accessible by the CPU, such as RAM","Non-volatile memory used for long-term data storage, like a hard drive",B) Delivering computing services like storage and processing over the internet,"Cloud computing delivers computing services, such as storage and processing power, over the internet rather than local hardware.",Computer Basics,Internet
Which option best explains the meaning of networking (computer)?,Connecting multiple computers to share resources and data,A cyberattack that tricks users into revealing sensitive information,A method of exchanging digital messages over the internet,"A unit of data storage equal to approximately 1,024 kilobytes",A) Connecting multiple computers to share resources and data,"Networking involves connecting multiple computers together to share resources, files, and data.",Computer Basics,Networking
a password can be best defined as which of the following?,System software that manages computer hardware and resources,A global network connecting millions of computers worldwide,The suffix at the end of a filename that indicates its format,A secret string of characters used to authenticate a user,D) A secret string of characters used to authenticate a user,A password is a secret combination of characters used to verify a user's identity before granting access.,Computer Basics,Computer Security
Which of the following best describes a computer?,An electronic device that processes data according to instructions,"Wide Area Network, a network that spans a large geographical area",A computer or program that provides services or resources to other computers,System software that manages computer hardware and resources,A) An electronic device that processes data according to instructions,"A computer is an electronic device that accepts data, processes it according to instructions, and produces output.",Computer Basics,Computer Fundamentals
Which option best explains the meaning of a computer virus?,Connecting multiple computers to share resources and data,Malicious software that can replicate and damage a computer system,"Internet Service Provider, a company that provides access to the internet",The suffix at the end of a filename that indicates its format,B) Malicious software that can replicate and damage a computer system,"A computer virus is malicious software that can replicate itself and spread, potentially damaging files or systems.",Computer Basics,Computer Security
Which statement correctly explains a QR code?,"A unit of data storage equal to approximately 1,024 megabytes",Measures taken to protect computer systems from threats,Hardware used to present processed data to the user,A type of barcode that stores information readable by a smartphone camera,D) A type of barcode that stores information readable by a smartphone camera,"A QR code is a type of two-dimensional barcode that stores information, readable by smartphone cameras and scanning apps.",Computer Basics,Computer Fundamentals
Choose the correct definition of phishing.,"Hardware used to keep data permanently, even without power",An electronic device that processes data according to instructions,A type of barcode that stores information readable by a smartphone camera,A cyberattack that tricks users into revealing sensitive information,D) A cyberattack that tricks users into revealing sensitive information,"Phishing is a type of cyberattack where attackers trick users into revealing sensitive information, like passwords, often via fake emails.",Computer Basics,Computer Security
a folder (directory) can be best defined as which of the following?,Delivering computing services like storage and processing over the internet,A container used to organize files on a computer,"A unit of data storage equal to approximately 1,024 bytes",The process of copying data to protect against loss,B) A container used to organize files on a computer,"A folder, or directory, is used to organize and group related files together on a computer.",Computer Basics,Storage
Which statement correctly explains a WAN?,"Non-volatile memory used for long-term data storage, like a hard drive",A security system that monitors and filters network traffic,"Internet Service Provider, a company that provides access to the internet","Wide Area Network, a network that spans a large geographical area","D) Wide Area Network, a network that spans a large geographical area","A WAN (Wide Area Network) connects computers across large geographical distances, such as between cities or countries.",Computer Basics,Networking
What is the World Wide Web (WWW)?,A program designed to perform a specific task for the user,Hardware used to store data and instructions for the computer to access,"Internet Service Provider, a company that provides access to the internet",A system of interlinked documents accessed via the internet,D) A system of interlinked documents accessed via the internet,The World Wide Web is a system of interlinked hypertext documents and resources accessed over the internet.,Computer Basics,Internet
Which option best explains the meaning of a password?,"Hardware used to keep data permanently, even without power",A secret string of characters used to authenticate a user,A security system that monitors and filters network traffic,A set of numbers separated by periods (in IPv4) that identifies a device,B) A secret string of characters used to authenticate a user,A password is a secret combination of characters used to verify a user's identity before granting access.,Computer Basics,Computer Security
Which statement correctly explains output?,Storing data on remote servers accessed via the internet,Hardware used to present processed data to the user,The result produced by a computer after processing input,The maximum rate of data transfer across a network connection,C) The result produced by a computer after processing input,Output is the information or result produced by a computer after it has processed the input.,Computer Basics,Output Devices
Which option best explains the meaning of a web browser?,A container used to organize files on a computer,A device that directs data traffic between networks or devices,Software used to access and navigate websites,"Memory directly accessible by the CPU, such as RAM",C) Software used to access and navigate websites,"A web browser is software used to access, navigate, and display content from websites on the internet.",Computer Basics,Internet
Which of the following best describes a gigabyte (GB)?,A set of numbers separated by periods (in IPv4) that identifies a device,A technology that allows wireless connection to a network,System software that manages computer hardware and resources,"A unit of data storage equal to approximately 1,024 megabytes","D) A unit of data storage equal to approximately 1,024 megabytes","A gigabyte (GB) is a unit of digital storage roughly equal to 1,024 megabytes.",Computer Basics,Computer Fundamentals
What is an IP address?,A global network connecting millions of computers worldwide,A unique numerical label assigned to devices on a network,The process of starting a computer and loading its operating system,"Memory directly accessible by the CPU, such as RAM",B) A unique numerical label assigned to devices on a network,An IP address is a unique numerical label assigned to each device connected to a computer network.,Computer Basics,Networking
binary code can be best defined as which of the following?,Hardware used to present processed data to the user,A secret string of characters used to authenticate a user,A named collection of data stored on a computer,A system of representing data using only 0s and 1s,D) A system of representing data using only 0s and 1s,"Binary code represents data and instructions using only two digits: 0 and 1, the fundamental language of computers.",Computer Basics,Computer Fundamentals
Choose the correct definition of an output device.,"Memory directly accessible by the CPU, such as RAM",Measures taken to protect computer systems from threats,Hardware used to present processed data to the user,Hardware used to store data and instructions for the computer to access,C) Hardware used to present processed data to the user,"An output device, such as a monitor or printer, presents data that has been processed by the computer to the user.",Computer Basics,Output Devices
Which statement correctly explains email?,"The smallest unit of data in computing, represented as 0 or 1",A method of exchanging digital messages over the internet,A cyberattack that tricks users into revealing sensitive information,The process of starting a computer and loading its operating system,B) A method of exchanging digital messages over the internet,Email is a method of exchanging digital messages between people over the internet.,Computer Basics,Internet
Choose the correct definition of an input device.,The result produced by a computer after processing input,A device or program that requests services from a server,"A quick-access link to a file, folder, or program",Hardware used to enter data or commands into a computer,D) Hardware used to enter data or commands into a computer,"An input device, such as a keyboard or mouse, is hardware used to enter data or commands into a computer.",Computer Basics,Input Devices
a client (in networking) can be best defined as which of the following?,"Internet Service Provider, a company that provides access to the internet",The suffix at the end of a filename that indicates its format,"Wide Area Network, a network that spans a large geographical area",A device or program that requests services from a server,D) A device or program that requests services from a server,"In networking, a client is a device or program that requests data or services from a server.",Computer Basics,Networking
Which of the following best describes a web browser?,The result produced by a computer after processing input,Software used to access and navigate websites,A clickable reference that takes a user to another webpage or resource,Hardware used to present processed data to the user,B) Software used to access and navigate websites,"A web browser is software used to access, navigate, and display content from websites on the internet.",Computer Basics,Internet
cloud computing can be best defined as which of the following?,"Internet Service Provider, a company that provides access to the internet",Delivering computing services like storage and processing over the internet,A computer or program that provides services or resources to other computers,A unique numerical label assigned to devices on a network,B) Delivering computing services like storage and processing over the internet,"Cloud computing delivers computing services, such as storage and processing power, over the internet rather than local hardware.",Computer Basics,Internet
Choose the correct definition of a gigabyte (GB).,"Hardware used to keep data permanently, even without power",A set of numbers separated by periods (in IPv4) that identifies a device,A clickable reference that takes a user to another webpage or resource,"A unit of data storage equal to approximately 1,024 megabytes","D) A unit of data storage equal to approximately 1,024 megabytes","A gigabyte (GB) is a unit of digital storage roughly equal to 1,024 megabytes.",Computer Basics,Computer Fundamentals
Choose the correct definition of memory (computer).,"A unit of data storage equal to approximately 1,024 bytes",Hardware used to store data and instructions for the computer to access,An electronic device that processes data according to instructions,"Non-volatile memory used for long-term data storage, like a hard drive",B) Hardware used to store data and instructions for the computer to access,"Memory refers to hardware components, like RAM, used to store data and instructions that the computer needs to access.",Computer Basics,Memory
Which option best explains the meaning of cloud computing?,Delivering computing services like storage and processing over the internet,"A unit of data storage equal to approximately 1,024 bytes",A unique numerical label assigned to devices on a network,A security system that monitors and filters network traffic,A) Delivering computing services like storage and processing over the internet,"Cloud computing delivers computing services, such as storage and processing power, over the internet rather than local hardware.",Computer Basics,Internet
an IP address (numeric structure) can be best defined as which of the following?,A set of numbers separated by periods (in IPv4) that identifies a device,A named collection of data stored on a computer,A system of representing data using only 0s and 1s,"Hardware used to keep data permanently, even without power",A) A set of numbers separated by periods (in IPv4) that identifies a device,"A typical IPv4 address consists of four numbers separated by periods, uniquely identifying a device on a network.",Computer Basics,Networking
Choose the correct definition of cloud storage.,Storing data on remote servers accessed via the internet,A device connected to a computer but not part of its core architecture,A named collection of data stored on a computer,A system of representing data using only 0s and 1s,A) Storing data on remote servers accessed via the internet,"Cloud storage allows users to save data on remote servers, accessible via the internet from any device.",Computer Basics,Storage
What is input?,A container used to organize files on a computer,System software that manages computer hardware and resources,A unique numerical label assigned to devices on a network,Data or instructions entered into a computer for processing,D) Data or instructions entered into a computer for processing,Input refers to data or instructions fed into a computer system for processing.,Computer Basics,Input Devices
Which option best explains the meaning of cloud storage?,The process of copying data to protect against loss,Hardware used to store data and instructions for the computer to access,Storing data on remote servers accessed via the internet,The suffix at the end of a filename that indicates its format,C) Storing data on remote servers accessed via the internet,"Cloud storage allows users to save data on remote servers, accessible via the internet from any device.",Computer Basics,Storage
What is an IP address (numeric structure)?,A unique numerical label assigned to devices on a network,A system of interlinked documents accessed via the internet,A container used to organize files on a computer,A set of numbers separated by periods (in IPv4) that identifies a device,D) A set of numbers separated by periods (in IPv4) that identifies a device,"A typical IPv4 address consists of four numbers separated by periods, uniquely identifying a device on a network.",Computer Basics,Networking
Which of the following best describes networking (computer)?,Connecting multiple computers to share resources and data,A method of exchanging digital messages over the internet,"Hardware used to keep data permanently, even without power",A set of numbers separated by periods (in IPv4) that identifies a device,A) Connecting multiple computers to share resources and data,"Networking involves connecting multiple computers together to share resources, files, and data.",Computer Basics,Networking
Choose the correct definition of a QR code.,"Hardware used to keep data permanently, even without power",A device connected to a computer but not part of its core architecture,The result produced by a computer after processing input,A type of barcode that stores information readable by a smartphone camera,D) A type of barcode that stores information readable by a smartphone camera,"A QR code is a type of two-dimensional barcode that stores information, readable by smartphone cameras and scanning apps.",Computer Basics,Computer Fundamentals
Which option best explains the meaning of an output device?,Hardware used to present processed data to the user,"The smallest unit of data in computing, represented as 0 or 1",A container used to organize files on a computer,A named collection of data stored on a computer,A) Hardware used to present processed data to the user,"An output device, such as a monitor or printer, presents data that has been processed by the computer to the user.",Computer Basics,Output Devices
What is a file extension?,A technology that allows wireless connection to a network,The result produced by a computer after processing input,Hardware used to enter data or commands into a computer,The suffix at the end of a filename that indicates its format,D) The suffix at the end of a filename that indicates its format,"A file extension, like .docx or .jpg, is the suffix at the end of a filename that indicates the file's format.",Computer Basics,Storage
